seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
2,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.775398570864651,0.262152028486235
3,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6187539407313997,0.29049469580051
1,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.6924087816944959,0.2952343756662345
0,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7328205865439908,0.2868240002155127
6,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.699075270669998,0.2826589024990243
5,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.6673875092398912,0.2795590057581089
4,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7069686849462934,0.2781957113193553
8,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.6990853422215332,0.2769653129317029
28,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.694846464410156,0.2936713757704794
23,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7423805521931212,0.2802041928553836
16,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7166904221044348,0.2788558358755349
40,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6705244555468448,0.2913504856537646
7,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7296702607823471,0.2672457057172516
12,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7146166706472414,0.2779351765351296
24,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,2,0.6988284262879333,0.2911002656880067
32,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6604177231237323,0.2784742899820852
20,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,2,0.7398336338970936,0.2776951645483035
36,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7150575522668546,0.2738750771226865
48,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7052180043582561,0.2724705766182832
44,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.679418528816119,0.277283285830206
43,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7231736202936254,0.2835675230062716
15,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.7375033413525796,0.2783175418113527
35,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7237551573647913,0.280226474243276
19,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7463095339807668,0.2681428699496127
39,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7179090604620357,0.291312891550871
33,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6563148613430296,0.3029977329746897
27,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7215438946559929,0.2742986062869045
42,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.775054030256944,0.2661777243322774
31,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7251640353823761,0.2735698107360688
46,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7217288876223046,0.2844095120081026
47,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7138119425389677,0.2763951560382323
26,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7004108574122717,0.2806225771894983
11,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7078077250063188,0.2774185563331829
18,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7098318185679096,0.2708254440087765
22,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.7010676747187903,0.2899297514667642
30,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7240136054421769,0.2693826431597369
38,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.705491971196899,0.285860355059624
34,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7332293945566257,0.2769051024603994
14,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7406612604063322,0.2779648635918502
10,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7261282431573473,0.2807453449284556
45,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.6832695462001093,0.2846391116871234
41,beta,54,none,1.0,1.0,raw,none,,54,32.0,10,2,0.6720985123608572,0.2857534869157332
37,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6692035318564753,0.2859335586401285
13,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.7357536797750789,0.2663968037024049
29,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6756680192302886,0.2905679113450749
25,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.7576108165352561,0.2812135328386894
21,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.6742172588459844,0.2698470490855317
9,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.6705530589858817,0.2818733565881023
49,beta,54,none,1.0,1.0,raw,none,,54,32.0,50,2,0.7269869186814514,0.275378504276706
17,beta,54,none,1.0,1.0,raw,none,,54,32.0,20,2,0.7105221333690234,0.27080098594770596
