seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
2,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2890003111674273
10,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.3003868390503252
3,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2884210092701125
7,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2840666529747404
1,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3091468803268408
5,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2898995291821215
4,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.2942440504641012
0,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3095477243359531
23,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3059087267701461
6,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.3021189309663936
8,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2916378052373604
28,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.316386551891391
16,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3011368346455981
43,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3075401815275118
18,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2864747981917242
27,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2939788064218921
26,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.301309468545087
40,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2963244830027654
46,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3021826608185552
19,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2891132207137534
35,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3007781784098947
39,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.3090664707503474
15,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2994935972081805
31,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.5,0.2896602352978133
42,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.2919247527062075
22,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.5,0.307204511642916
47,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.5,0.2846286805458983
38,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2991548509819099
30,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2848082600768309
11,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.2938006986330579
14,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2961260860973905
34,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2937873846979243
12,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.2968995686453733
33,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3146560795884216
48,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2830891215304701
32,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2850548158808908
24,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.3130891134632867
17,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2874906434734225
20,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2933929297182016
36,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2955954104811528
44,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.2856794939081428
41,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.5,0.2871286035443617
37,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3002346571465109
45,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3049819941364976
9,beta,54,none,1.0,1.0,pca,none,,54,32.0,10,0.5,0.2903096385112621
29,beta,54,none,1.0,1.0,pca,none,,54,32.0,20,0.5,0.303340354596261
49,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2980060114414214
25,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.3108058065893808
21,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2826980559482262
13,beta,54,none,1.0,1.0,pca,none,,54,32.0,50,0.5,0.2973574933771315
