seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive,knn_selection_version
1,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4302274605822486,2.0
2,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4075182412166183,2.0
3,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.4077205634715283,2.0
7,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3955260849487593,2.0
5,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4149776278635675,2.0
0,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4300321930378143,2.0
6,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4253002915042118,2.0
4,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.414149239289855,2.0
9,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3982423790767072,2.0
8,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4112938862141929,2.0
36,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4204256805849938,2.0
21,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,5,0.5,0.3902933429387308,2.0
22,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4270087405712781,2.0
26,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4331816871780329,2.0
18,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4013586484274519,2.0
41,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5,0.3827264455490527,2.0
27,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4148723491861009,2.0
14,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3982774375592384,2.0
30,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.3975453767427778,2.0
39,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4233223318594077,2.0
46,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5,0.4170649730758253,2.0
37,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4182475755408065,2.0
49,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4153154238446535,2.0
42,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4095796983304681,2.0
11,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4107554826747828,2.0
29,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.4117467107091358,2.0
23,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.4290505803919042,2.0
15,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.4120430192362312,2.0
38,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4132217292254166,2.0
35,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4154606192927657,2.0
10,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4132948182732557,2.0
43,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4381556876750091,2.0
12,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4135907202517078,2.0
34,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4026973244822808,2.0
20,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4037582384514953,2.0
19,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.3890477189163228,2.0
24,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.4497176675439546,2.0
17,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4024716331425463,2.0
47,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3866942234160768,2.0
45,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4299637686635439,2.0
31,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3926624568110135,2.0
33,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4232879747692298,2.0
13,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.434162660197091,2.0
44,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3927266803000558,2.0
25,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4354633713120754,2.0
16,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.424235504128656,2.0
28,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.4386824058838036,2.0
40,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3953948059644872,2.0
48,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3838976058638877,2.0
32,bernoulli,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3887921247933731,2.0
