seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
2,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2890003111674273
3,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2884210092701125
1,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3091468803268408
5,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2898995291821215
6,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3021189309663936
0,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3095477243359531
23,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3059087267701461
4,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2942440504641012
8,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2916378052373604
11,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.2938006986330579
16,beta,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5,0.3011368346455981
28,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.316386551891391
43,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3075401815275118
10,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3003868390503252
40,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2963244830027654
27,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2939788064218921
39,beta,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5,0.3090664707503474
35,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3007781784098947
19,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2891132207137534
15,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2994935972081805
47,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2846286805458983
42,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2919247527062075
26,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.301309468545087
46,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3021826608185552
7,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2840666529747404
31,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2896602352978133
22,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.307204511642916
18,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.2864747981917242
30,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.2848082600768309
38,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2991548509819099
14,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2961260860973905
34,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2937873846979243
12,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.2968995686453733
48,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2830891215304701
33,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.3146560795884216
24,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3130891134632867
20,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2933929297182016
32,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2850548158808908
9,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.2903096385112621
36,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2955954104811528
41,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2871286035443617
45,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.3049819941364976
13,beta,54,none,1.0,1.0,sae,none,,54,32.0,10,0.5,0.2973574933771315
44,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2856794939081428
21,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2826980559482262
37,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.3002346571465109
29,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.303340354596261
17,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.2874906434734225
49,beta,54,none,1.0,1.0,sae,none,,54,32.0,20,0.5,0.2980060114414214
25,beta,54,none,1.0,1.0,sae,none,,54,32.0,50,0.5,0.31080580658938084
