n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.064,2,0.4872394128170833,0.2499999999999999,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7531908750534058, 1.6377222537994385, 1.7547869682312012, 1.949806571006775, 1.7030212879180908, 1.3886845111846924, 2.0475282669067383, 1.6327860355377197, 1.347658634185791, 2.154012680053711, 1.5017565488815308, 2.065394163131714, 1.7699782848358154, 1.8377652168273926, 1.456273078918457, 1.413835883140564, 1.3751996755599976, 1.7894351482391357, 1.580241084098816, 1.6667957305908203, 1.2145859003067017, 1.9816874265670776, 1.5839580297470093, 1.6198713779449463, 1.2794314622879028, 1.505007266998291, 1.7495218515396118, 1.6669766902923584, 1.6228677034378052, 1.797585129737854]",pca,Pre-4
1,beta,12,0.064,5,0.5464158992117144,0.5416666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7135062217712402, 1.3224480152130127, 1.7917888164520264, 1.5221500396728516, 1.9488418102264404, 1.7896060943603516, 1.981896996498108, 2.062375545501709, 2.1598167419433594, 1.6922221183776855, 1.9878315925598145, 1.905623197555542, 1.8551729917526245, 1.5928187370300293, 2.130514144897461, 1.91073739528656, 2.0781664848327637, 2.1348533630371094, 1.6700509786605835, 1.8748698234558105, 2.2451746463775635, 2.2539851665496826, 2.1330726146698, 1.2425740957260132, 2.4014434814453125, 2.2871429920196533, 2.0460426807403564, 1.8475008010864258, 2.4199273586273193, 2.0784735679626465]",pca,Pre-4
1,beta,36,0.064,6,0.6524729800567469,0.125,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7003275156021118, 1.8227699995040894, 1.3678081035614014, 1.7447706460952759, 1.5130994319915771, 1.828973412513733, 1.6935861110687256, 1.9619896411895752, 1.5317343473434448, 0.9826613068580627, 1.6947506666183472, 2.0300590991973877, 2.0853207111358643, 1.8724275827407837, 1.6977365016937256, 1.8623158931732178, 1.8801112174987793, 1.918384313583374, 2.0228235721588135, 2.1219422817230225, 1.7541958093643188, 1.5721908807754517, 1.3035966157913208, 1.6104254722595215, 1.94491708278656, 1.8044039011001587, 1.738896131515503, 1.7313458919525146, 1.806818962097168, 1.4579739570617676]",pca,Pre-4
1,beta,16,0.064,8,0.6617616848938994,0.3333333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.369813919067383, 2.5038747787475586, 2.3185477256774902, 2.6158549785614014, 2.659742832183838, 2.533855676651001, 2.2238075733184814, 2.5851821899414062, 2.551800012588501, 2.444978952407837, 2.1822280883789062, 2.484902858734131, 2.4942092895507812, 2.236255645751953, 2.40079665184021, 2.3606667518615723, 2.3452577590942383, 2.4806954860687256, 2.2989697456359863, 2.3708083629608154, 2.574129819869995, 2.6768887042999268, 2.2875051498413086, 2.05210542678833, 2.721200466156006, 2.171865940093994, 2.343904495239258, 2.3573758602142334, 2.576085090637207, 2.7277703285217285]",pca,Pre-4
1,beta,8,0.064,8,0.769245966201833,0.5555555555555556,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.8386362791061401, 2.1760082244873047, 2.24838924407959, 2.3100993633270264, 2.219815969467163, 2.1686577796936035, 2.2426137924194336, 1.9113173484802246, 2.196575164794922, 2.2248904705047607, 2.3229904174804688, 2.1465976238250732, 2.2909960746765137, 1.958891749382019, 1.8465642929077148, 2.086716413497925, 2.1949896812438965, 2.4293313026428223, 2.241959571838379, 1.9669673442840576, 2.131425142288208, 2.186088800430298, 1.8343828916549683, 1.9318405389785767, 2.264129400253296, 2.0914487838745117, 2.0552382469177246, 2.0507853031158447, 2.2816050052642822, 2.207597017288208]",pca,Pre-4
1,beta,40,0.064,7,0.428807571399489,0.5833333333333334,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.9059250354766846, 2.0004358291625977, 2.2156589031219482, 1.9761676788330078, 2.356936454772949, 2.18454647064209, 2.215089797973633, 2.396188497543335, 2.3584234714508057, 2.5588839054107666, 2.2260971069335938, 2.174499034881592, 2.3057661056518555, 1.9261149168014526, 2.116955280303955, 2.129497766494751, 2.20910382270813, 2.1490676403045654, 2.371589422225952, 2.3201100826263428, 2.225287914276123, 2.3330440521240234, 2.417128086090088, 2.263707399368286, 2.316368818283081, 2.275585889816284, 2.2454304695129395, 2.1457486152648926, 2.3442001342773438, 2.3523290157318115]",pca,Pre-4
1,beta,28,0.064,4,0.5568890201417791,0.2799999999999999,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.9400701522827148, 2.165060520172119, 2.0443291664123535, 2.0102837085723877, 2.376706123352051, 1.9045376777648926, 1.7505013942718506, 1.886958360671997, 2.176640033721924, 2.194106340408325, 2.014716148376465, 1.9532158374786377, 2.287703275680542, 2.3181450366973877, 2.2439253330230713, 1.9514217376708984, 2.0883326530456543, 2.236459493637085, 1.938317060470581, 2.3538193702697754, 1.9541341066360474, 2.221917152404785, 2.538355588912964, 2.1334056854248047, 1.9180693626403809, 2.370788097381592, 2.0952775478363037, 2.0970354080200195, 1.7722951173782349, 2.071673631668091]",pca,Pre-4
1,beta,48,0.064,7,0.4455001502609427,0.6666666666666666,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.27643084526062, 1.787988305091858, 2.1222479343414307, 2.1156973838806152, 1.9250761270523071, 1.9541376829147339, 1.7881754636764526, 1.8434704542160034, 2.0254933834075928, 1.7661906480789185, 1.9901001453399658, 2.1602628231048584, 2.309229612350464, 2.126159191131592, 2.077367067337036, 2.216339111328125, 1.9347704648971558, 2.3160219192504883, 2.1261403560638428, 2.383331775665283, 2.019103765487671, 2.072200298309326, 2.2543349266052246, 1.8006250858306885, 2.053474187850952, 1.986233115196228, 2.387956142425537, 2.298875331878662, 2.300602674484253, 1.926184058189392]",pca,Pre-4
1,beta,20,0.064,4,0.646489860764938,0.3333333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.225536823272705, 2.0340752601623535, 2.3381385803222656, 1.5581187009811401, 2.2217965126037598, 2.153454303741455, 1.7145940065383911, 2.1348671913146973, 2.2652509212493896, 1.8049489259719849, 1.590988039970398, 2.114650249481201, 1.9526543617248535, 1.5221757888793945, 1.8367692232131958, 1.9839404821395874, 2.0559184551239014, 1.5911228656768799, 1.8404086828231812, 2.0551609992980957, 2.4195308685302734, 1.7505881786346436, 1.8647037744522095, 1.9355698823928833, 2.3116753101348877, 2.0315897464752197, 1.988084316253662, 1.8829281330108643, 2.190434455871582, 1.425963282585144]",pca,Pre-4
1,beta,4,0.064,3,0.6390290967423808,0.1875,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.6674443483352661, 1.5767385959625244, 1.560079574584961, 1.330491065979004, 1.0960657596588135, 1.4389184713363647, 1.1510809659957886, 1.502716064453125, 0.9792460799217224, 1.632980465888977, 1.0658456087112427, 1.4563004970550537, 1.3464241027832031, 1.3606113195419312, 1.7857853174209595, 1.6225783824920654, 1.8161238431930542, 1.4930139780044556, 1.6624163389205933, 1.6440027952194214, 1.8821598291397095, 1.623207926750183, 1.1580443382263184, 1.9687899351119995, 1.3564233779907227, 1.4733338356018066, 0.6312041282653809, 1.3755004405975342, 1.2713743448257446, 1.0903202295303345]",pca,Pre-4
