n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.032,230,0.5381750458807036,0.5382242394156442,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.100490570068359, 3.982011318206787, 3.9693763256073, 3.9131577014923096, 4.096135139465332, 3.7342796325683594, 3.873958110809326, 4.247551441192627, 3.947300434112549, 4.244828701019287, 4.119755744934082, 3.884751319885254, 4.096231460571289, 3.6835925579071045, 4.120954513549805, 3.968402147293091, 4.457094192504883, 4.170888900756836, 4.181962013244629, 3.932326078414917, 4.084216594696045, 4.122863292694092, 4.003514289855957, 4.133720397949219, 4.19865608215332, 4.360617637634277, 4.441309928894043, 3.641881227493286, 4.0931077003479, 3.4721341133117676]",sae,Pre-32
1,beta,12,0.032,271,0.5145610756893176,0.5807493208959049,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.179988384246826, 3.7840378284454346, 4.294772148132324, 3.931766986846924, 4.292291164398193, 4.313887119293213, 4.673375129699707, 4.155195713043213, 4.010440826416016, 4.606075286865234, 4.552419662475586, 4.04129695892334, 4.599379539489746, 4.3704423904418945, 4.033193111419678, 3.6019084453582764, 4.142806053161621, 4.595320701599121, 4.153887748718262, 4.660024642944336, 4.28211784362793, 4.177961826324463, 4.083566665649414, 3.7374155521392822, 3.5037338733673096, 4.323923110961914, 4.427432537078857, 4.25169563293457, 4.206300258636475, 3.312793254852295]",sae,Pre-32
1,beta,16,0.032,279,0.5068897667084983,0.593491124260355,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.832396507263184, 4.407181739807129, 4.476752758026123, 4.517694473266602, 4.716119289398193, 4.507833003997803, 4.088776588439941, 4.234194278717041, 4.75082540512085, 4.693352222442627, 4.435125350952148, 4.630092620849609, 4.497615337371826, 4.300314426422119, 4.732491493225098, 4.079099178314209, 4.312528133392334, 4.7307448387146, 4.379688739776611, 4.480910778045654, 4.434601783752441, 4.0942888259887695, 4.518848896026611, 4.26112174987793, 4.240374565124512, 4.330265045166016, 4.649706840515137, 4.218124866485596, 4.542174339294434, 4.208104610443115]",sae,Pre-32
1,beta,4,0.032,284,0.5256301447359155,0.5833048938639,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.247377872467041, 4.418811321258545, 4.350281238555908, 4.158152103424072, 4.053167819976807, 4.873630046844482, 4.582818031311035, 4.821771621704102, 4.832526206970215, 4.779358386993408, 5.0022172927856445, 4.451357841491699, 4.806654930114746, 4.9673871994018555, 4.299888610839844, 3.834357738494873, 4.240448474884033, 4.206068992614746, 4.9206061363220215, 3.9728126525878906, 4.096707820892334, 4.046036720275879, 4.178186416625977, 4.254313945770264, 4.7721333503723145, 4.324655532836914, 4.060256481170654, 4.865638732910156, 5.0081000328063965, 3.775210380554199]",sae,Pre-32
1,beta,8,0.032,260,0.4927788164508218,0.6267382590191518,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5.066127300262451, 4.921600341796875, 5.1416215896606445, 4.858894348144531, 5.019221305847168, 4.352534770965576, 4.948248386383057, 4.31829309463501, 4.539604663848877, 4.208057403564453, 5.152065277099609, 4.642014980316162, 5.1535563468933105, 5.064225673675537, 4.6951189041137695, 4.771599292755127, 4.9775567054748535, 4.591884613037109, 4.747833251953125, 4.253770351409912, 4.2210612297058105, 5.03092098236084, 5.066073894500732, 5.017597198486328, 4.7459869384765625, 4.539095401763916, 4.365930557250977, 4.96525764465332, 5.095900058746338, 4.8548970222473145]",sae,Pre-32
1,beta,20,0.032,256,0.4990471761473204,0.5965682362330407,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.371851444244385, 4.464597225189209, 4.6529645919799805, 4.825857639312744, 4.496140956878662, 5.1161112785339355, 4.725370407104492, 4.835296630859375, 4.541749954223633, 4.800885200500488, 4.817301273345947, 5.07909631729126, 4.774410247802734, 4.6321492195129395, 4.3538408279418945, 4.0218658447265625, 4.851613998413086, 5.030970096588135, 4.833780765533447, 4.996268272399902, 3.939107656478882, 5.012628555297852, 4.666295051574707, 4.8671555519104, 4.643707752227783, 4.130215644836426, 5.276794910430908, 4.749059200286865, 4.820274353027344, 4.527130126953125]",sae,Pre-32
1,beta,28,0.032,248,0.5118226972228631,0.5877423312883436,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.774067401885986, 4.2751383781433105, 5.0099382400512695, 5.298765659332275, 5.067670822143555, 4.335213661193848, 4.951658725738525, 4.921011924743652, 5.261178970336914, 5.25206995010376, 4.505573749542236, 5.033271789550781, 5.065145492553711, 4.960495948791504, 4.297213554382324, 4.982405185699463, 4.519303321838379, 4.934701442718506, 4.777348518371582, 5.29192590713501, 5.018111705780029, 5.0238494873046875, 5.001097679138184, 4.6162943840026855, 5.217284202575684, 5.052372455596924, 4.796294689178467, 4.419151782989502, 5.224469184875488, 4.9589385986328125]",sae,Pre-32
1,beta,48,0.032,247,0.4669387314537291,0.6565673828124999,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5.3021745681762695, 4.322691440582275, 4.784524440765381, 4.903439998626709, 4.780904293060303, 4.762965679168701, 5.315457344055176, 4.972977161407471, 4.845402240753174, 4.948892593383789, 4.713343143463135, 4.177709102630615, 4.572972774505615, 5.365527629852295, 4.6027679443359375, 4.432575225830078, 4.5129218101501465, 5.085565567016602, 4.6392035484313965, 4.375925540924072, 4.463221549987793, 4.5136003494262695, 5.371029376983643, 5.2949538230896, 4.928631782531738, 4.609043121337891, 5.186134338378906, 4.967586517333984, 4.742483139038086, 4.56597375869751]",sae,Pre-32
1,beta,44,0.032,281,0.5245351811347764,0.5913662456946039,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.425157070159912, 4.250677585601807, 4.409769058227539, 4.424917221069336, 4.358407974243164, 4.337752342224121, 4.282017707824707, 4.303773880004883, 4.5877790451049805, 4.310150146484375, 4.1137614250183105, 4.150556564331055, 4.2537713050842285, 4.311659812927246, 4.430169105529785, 4.256965160369873, 4.519640922546387, 4.347973823547363, 4.1874823570251465, 4.700363636016846, 4.001702785491943, 4.1653852462768555, 4.0980000495910645, 4.376979827880859, 4.134609222412109, 4.353561878204346, 4.2109479904174805, 4.120092391967773, 4.432641506195068, 4.208741188049316]",sae,Pre-32
1,beta,40,0.032,274,0.5453727251696571,0.5271497584541063,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.02293062210083, 4.072402477264404, 4.015104293823242, 4.681857109069824, 4.84420919418335, 4.608081817626953, 4.470333576202393, 4.237176895141602, 4.050174713134766, 3.900517225265503, 4.060254096984863, 3.8655388355255127, 4.107337474822998, 4.843719959259033, 3.9297168254852295, 4.0486226081848145, 4.637577056884766, 3.879183769226074, 4.241903781890869, 4.058454990386963, 4.474440097808838, 4.190211772918701, 4.382079601287842, 4.601974964141846, 4.478466033935547, 4.792953968048096, 4.034849643707275, 3.990370512008667, 3.8742218017578125, 3.8996779918670654]",sae,Pre-32
