seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,32,0.7,raw,32,0.5378460156490084,0.5369191613203267
3,beta,1,32,0.7,raw,32,0.5445567239050743,0.4953936796119747
39,beta,1,32,0.7,raw,32,0.6134796309828279,0.5544274486172035
43,beta,1,32,0.7,raw,32,0.661951447245565,0.4900928916269326
17,beta,1,32,0.7,raw,32,0.5454203292700694,0.519101646458354
7,beta,1,32,0.7,raw,32,0.5562966412040824,0.6429355404181407
13,beta,1,32,0.7,raw,32,0.6361244019138755,0.5178185246542437
11,beta,1,32,0.7,raw,32,0.5994159933390406,0.6962037107739708
31,beta,1,32,0.7,raw,32,0.5837662576913157,0.5563127321594872
23,beta,1,32,0.7,raw,32,0.5001989893751734,0.6446457963362466
27,beta,1,32,0.7,raw,32,0.6585279547062987,0.6642684617124082
35,beta,1,32,0.7,raw,32,0.6357857591724272,0.6172742420517715
19,beta,1,32,0.7,raw,32,0.5589852008456659,0.6630818475026891
15,beta,1,32,0.7,raw,32,0.5633048433048433,0.598240087233346
47,beta,1,32,0.7,raw,32,0.5931677789079363,0.6142717854134117
6,beta,1,32,0.7,raw,32,0.560359490922251,0.502573127644648
49,beta,1,32,0.7,raw,32,0.6030337591240876,0.6679095191795241
2,beta,1,32,0.7,raw,32,0.5708695437487656,0.6475088524673543
26,beta,1,32,0.7,raw,32,0.5882679625130164,0.6273922912136232
34,beta,1,32,0.7,raw,32,0.5754775395759099,0.6432821481071617
18,beta,1,32,0.7,raw,32,0.5283164962797169,0.6282331999776464
30,beta,1,32,0.7,raw,32,0.5715893849396436,0.5915293072931541
38,beta,1,32,0.7,raw,32,0.5784009156311314,0.6931837477351591
46,beta,1,32,0.7,raw,32,0.5890952143569292,0.4793204409799168
10,beta,1,32,0.7,raw,32,0.56658202762123,0.6088599204473284
42,beta,1,32,0.7,raw,32,0.6093573119275496,0.5325857088126241
14,beta,1,32,0.7,raw,32,0.5615487837047402,0.612629951587803
22,beta,1,32,0.7,raw,32,0.6154883697256579,0.5957443473185965
9,beta,1,32,0.7,raw,32,0.5731858801963363,0.4766260323622093
37,beta,1,32,0.7,raw,32,0.5876386057381533,0.585467035246782
8,beta,1,32,0.7,raw,32,0.5795516405206117,0.4967887545655481
41,beta,1,32,0.7,raw,32,0.5852616894479863,0.6303797218210964
40,beta,1,32,0.7,raw,32,0.5263768115942028,0.5791322079248443
25,beta,1,32,0.7,raw,32,0.615376290263667,0.6704607428395072
21,beta,1,32,0.7,raw,32,0.572395801735121,0.6505657109300333
20,beta,1,32,0.7,raw,32,0.5936751795690344,0.6436356767045583
45,beta,1,32,0.7,raw,32,0.6375869809203143,0.5653504363869616
5,beta,1,32,0.7,raw,32,0.5730943264879916,0.6197054479772881
32,beta,1,32,0.7,raw,32,0.5971915241206996,0.5341301429549142
44,beta,1,32,0.7,raw,32,0.5819402985074628,0.6307431282201343
12,beta,1,32,0.7,raw,32,0.6044923376556814,0.6448431705206968
1,beta,1,32,0.7,raw,32,0.5445181066438551,0.4937084856567783
4,beta,1,32,0.7,raw,32,0.6327213159511297,0.6763587204273485
29,beta,1,32,0.7,raw,32,0.6289092664092665,0.629591574355123
33,beta,1,32,0.7,raw,32,0.6338619402985074,0.5494121552836665
16,beta,1,32,0.7,raw,32,0.6228752017213555,0.6096613284642587
36,beta,1,32,0.7,raw,32,0.5262689341869264,0.5698601744878571
24,beta,1,32,0.7,raw,32,0.5410318047337277,0.6355101224826945
28,beta,1,32,0.7,raw,32,0.5858343558282209,0.640916990401175
48,beta,1,32,0.7,raw,32,0.57215576171875,0.6319345341302427
