seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5915232616714604,0.3457402139369677
1,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.583566839135138,0.3514780366948872
13,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5898865565673717,0.3318995607307391
36,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5967488818559883,0.3493952814879171
19,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5699628896585848,0.3406373874791646
45,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5810658701740703,0.3439423824707556
4,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.608855947216716,0.3332885498520787
3,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5733587959252484,0.3546847406355615
8,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5631721698113207,0.3409154152644789
46,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5466866887012253,0.3478569244536964
12,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.608529721527015,0.3329342064376804
24,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.561805360978799,0.346337840285836
5,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5532480551397897,0.3611442097855787
6,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5650172168639611,0.3451585305562969
16,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5776359211973732,0.3372987403190721
2,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.6209876609212608,0.2786558838692484
9,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.5737663280116111,0.3516636385079189
7,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6009154040404041,0.3091171027801002
32,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5658204858030168,0.3389587938125443
48,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6043310311798956,0.3289134339660262
20,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.6045905582840534,0.2942072566173476
28,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5862581895975397,0.3574361120838394
40,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5955930537352556,0.3426468661685027
44,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5553211593820732,0.3372947090585841
37,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.6009950454739921,0.3397897809025219
33,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5744330832027706,0.3459651083642155
15,beta,54,none,1.0,0.05,pca,none,,54,31.0,5,2,0.6187848523701145,0.3083505517215781
23,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.5986139421116999,0.3080802822549243
26,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.554373091279267,0.3623892590302077
10,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6037950709627925,0.336408329526265
21,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5700510446928292,0.3341950538442167
27,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5861755397989024,0.3292030834422664
17,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.589825026992664,0.3363095374736309
22,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6087412008642319,0.3482117126617804
42,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6004879201081732,0.3327967066890449
35,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.5961791261632131,0.2973339398319818
30,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5853240261978627,0.3286224409303386
29,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6008063700707785,0.3356640168283973
49,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5881553941177372,0.3371098930558239
25,beta,54,none,1.0,0.05,pca,none,,54,31.0,5,2,0.5700497713209578,0.3304806010508871
47,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5669609147459638,0.3476075020377539
14,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6229351192740313,0.3251912228438823
43,beta,54,none,1.0,0.05,pca,none,,54,31.0,5,2,0.6048462941769684,0.2967812992596794
18,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.625724632168343,0.3309121289132237
11,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.6017994409503844,0.3283139888011465
39,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5850197444831591,0.3399388081693227
41,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.5530881501569213,0.3397015679753062
31,beta,54,none,1.0,0.05,pca,none,,54,29.0,5,2,0.5880182261583878,0.3435781656281108
34,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.6066542867787454,0.3502039515232331
38,beta,54,none,1.0,0.05,pca,none,,54,30.0,5,2,0.5581070217748418,0.3546841524613161
