n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.002,1136,0.4686636209373122,0.6715979065620177,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5.059326648712158, 4.46354866027832, 4.764596939086914, 4.063238143920898, 4.561524868011475, 4.492973804473877, 4.903665065765381, 4.334009647369385, 4.852240562438965, 5.065654754638672, 4.244797229766846, 5.229120254516602, 4.935540199279785, 4.634130954742432, 4.748870849609375, 4.388473987579346, 4.177102088928223, 4.727954387664795, 5.130831718444824, 4.518136501312256, 4.175236701965332, 4.707004547119141, 4.378373622894287, 4.836092472076416, 4.757960319519043, 4.879277229309082, 5.203205585479736, 5.1288533210754395, 5.252477645874023, 4.74066162109375]",pca,Pre-max
1,beta,28,0.002,1159,0.4599970096770821,0.6811981701585444,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5.241262912750244, 4.326396942138672, 4.572072982788086, 4.606692790985107, 4.5028886795043945, 4.663810729980469, 4.9451446533203125, 4.488510608673096, 4.1725006103515625, 4.8912811279296875, 5.091773986816406, 3.8631980419158936, 4.907027244567871, 4.757852554321289, 4.9387664794921875, 3.9593186378479004, 4.696474552154541, 4.911433696746826, 4.721607208251953, 4.5471954345703125, 3.9710235595703125, 4.850074768066406, 4.639969348907471, 4.5469584465026855, 4.644373893737793, 4.307514667510986, 4.220425605773926, 5.127760410308838, 4.923104286193848, 4.917106628417969]",pca,Pre-max
1,beta,1,0.002,1159,0.4531238983403987,0.6828256626258475,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.869774341583252, 4.671652793884277, 4.613126754760742, 4.612905025482178, 4.283759593963623, 4.863993167877197, 4.453469276428223, 4.596022605895996, 4.635887145996094, 4.604567050933838, 4.550157070159912, 4.353728294372559, 4.555355072021484, 4.436783313751221, 3.9513795375823975, 4.721114158630371, 4.894286155700684, 4.837649345397949, 4.289674758911133, 4.415750026702881, 4.421933650970459, 4.493069171905518, 4.258673191070557, 4.410199165344238, 4.455501079559326, 4.39326810836792, 4.621338367462158, 5.0240478515625, 4.758141994476318, 4.656702995300293]",pca,Pre-max
1,beta,14,0.002,1211,0.4849892382558439,0.6022291044916193,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.635640621185303, 5.119312286376953, 4.8420562744140625, 4.929450988769531, 5.110580921173096, 5.125788688659668, 4.944029808044434, 4.771159648895264, 4.7295823097229, 4.995913028717041, 4.910359859466553, 4.717929363250732, 4.725917339324951, 4.665126800537109, 4.637631416320801, 4.461869716644287, 4.635474681854248, 4.562679290771484, 5.1805219650268555, 4.757834434509277, 4.6629958152771, 4.871967315673828, 4.6414408683776855, 4.5573859214782715, 5.098624229431152, 4.735178470611572, 4.511125087738037, 4.624011516571045, 4.677238941192627, 4.939751625061035]",pca,Pre-max
1,beta,29,0.002,1119,0.45136425326032,0.688629330138764,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.789038181304932, 4.403655529022217, 4.445662975311279, 4.815239906311035, 4.457789897918701, 4.759180068969727, 4.588240146636963, 4.83530855178833, 4.982161998748779, 4.979512691497803, 5.138479709625244, 4.687708854675293, 4.575473308563232, 4.835172176361084, 4.481293678283691, 4.826029300689697, 4.738217353820801, 4.952424049377441, 4.478425979614258, 4.920600414276123, 4.939319610595703, 4.725224018096924, 4.790502548217773, 4.684849262237549, 4.3770012855529785, 4.704761981964111, 4.38496208190918, 4.952796936035156, 5.104123115539551, 4.701791286468506]",pca,Pre-max
1,beta,15,0.002,1076,0.4380387667304715,0.7102435331878696,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.773940563201904, 4.730400085449219, 4.213265419006348, 5.360957622528076, 4.585599899291992, 4.439526557922363, 5.084202289581299, 4.7174906730651855, 5.040713787078857, 4.778120517730713, 4.178581714630127, 4.594568252563477, 5.303359031677246, 4.364109992980957, 5.222796440124512, 5.103816032409668, 4.1223835945129395, 4.546703338623047, 4.570608615875244, 4.739108562469482, 4.951923847198486, 5.008206844329834, 4.468155860900879, 5.201387405395508, 4.976120471954346, 5.141609191894531, 4.934115886688232, 5.035860061645508, 4.81679105758667, 4.56388521194458]",pca,Pre-max
1,beta,34,0.004,1174,0.4517727603245295,0.6880616649288296,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.789013862609863, 5.082672119140625, 4.663568496704102, 4.766813278198242, 5.067131996154785, 4.452714920043945, 4.983105659484863, 4.938941955566406, 4.874453544616699, 4.411545276641846, 4.790186882019043, 4.570559978485107, 5.057285308837891, 4.550075531005859, 5.012306213378906, 5.062469005584717, 4.679551124572754, 4.885530471801758, 4.492152690887451, 4.647298812866211, 4.66079568862915, 4.545556545257568, 5.0611042976379395, 4.957627296447754, 4.4783220291137695, 4.907368183135986, 4.6937665939331055, 4.855252265930176, 4.879404067993164, 4.292784690856934]",pca,Pre-max
1,beta,40,0.005,1152,0.4431187989483004,0.6809816967472213,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.911365509033203, 4.750876426696777, 4.847710609436035, 4.427302360534668, 4.766737937927246, 5.085042476654053, 4.677591800689697, 4.382668972015381, 4.87159538269043, 4.873249053955078, 4.663492202758789, 4.797137260437012, 4.8307952880859375, 4.763922691345215, 4.319231033325195, 4.680370807647705, 4.821476936340332, 4.980157852172852, 4.253201961517334, 4.811904430389404, 4.897215366363525, 4.6595282554626465, 4.439863204956055, 4.586794376373291, 4.863177299499512, 4.539837837219238, 4.7350335121154785, 4.877082347869873, 4.645218372344971, 4.400124549865723]",pca,Pre-max
1,beta,36,0.012,1194,0.47122272921006,0.6628208258527828,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.957221746444702, 3.7610366344451904, 4.555609703063965, 4.006753921508789, 4.320504665374756, 5.0016655921936035, 4.031692028045654, 4.65609073638916, 4.449670314788818, 4.636923789978027, 4.74751091003418, 4.3269453048706055, 4.503021717071533, 4.7051801681518555, 4.2856316566467285, 4.234372615814209, 4.375714302062988, 4.225451469421387, 4.683425426483154, 4.67232608795166, 4.2690629959106445, 4.527343273162842, 4.692991733551025, 4.955100059509277, 4.441582679748535, 4.738315582275391, 4.02307653427124, 4.0951409339904785, 4.71239709854126, 3.981779098510742]",pca,Pre-max
1,beta,26,0.0151,1150,0.472419837277312,0.6420867446059889,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.827667713165283, 4.258533954620361, 4.262419700622559, 4.389431476593018, 4.818179607391357, 4.696080207824707, 4.943493843078613, 5.108876705169678, 4.350369453430176, 4.525434494018555, 4.454500675201416, 4.682796478271484, 4.405994892120361, 4.4210004806518555, 4.1220011711120605, 4.6664018630981445, 4.581623077392578, 4.3932108879089355, 4.269176006317139, 4.675954818725586, 4.708611011505127, 4.385162830352783, 4.733282566070557, 4.812071323394775, 4.61466646194458, 4.093583106994629, 4.705224990844727, 4.575414657592773, 4.398016929626465, 4.646991729736328]",pca,Pre-max
1,beta,35,0.004,1138,0.4280884727154422,0.7253954861102985,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.765984058380127, 4.428358554840088, 4.270110130310059, 5.1226487159729, 4.856245040893555, 4.5831828117370605, 5.137126445770264, 4.701817035675049, 4.9248199462890625, 4.8102006912231445, 4.98264741897583, 4.666171073913574, 3.9128329753875732, 4.805774211883545, 4.405661582946777, 4.4913740158081055, 5.136267185211182, 4.571080684661865, 4.564587593078613, 4.7753448486328125, 4.678910255432129, 5.00455379486084, 4.611001014709473, 5.082153797149658, 4.211698055267334, 5.110647678375244, 4.964468955993652, 4.325816631317139, 4.820672988891602, 3.9053895473480225]",pca,Pre-max
1,beta,6,0.022,1154,0.4645552982401815,0.6517179387611282,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.821614980697632, 3.8069164752960205, 3.80694842338562, 3.8300933837890625, 4.097206115722656, 3.8450398445129395, 3.9243645668029785, 4.375240802764893, 4.1082444190979, 4.1089019775390625, 4.046390533447266, 3.909789800643921, 3.9415061473846436, 4.266116619110107, 3.961049795150757, 3.7365336418151855, 4.010551452636719, 3.9877915382385254, 3.3354530334472656, 3.919203042984009, 4.0877556800842285, 3.512803316116333, 4.09008264541626, 3.9576027393341064, 3.708533763885498, 4.099904537200928, 3.9792532920837402, 3.9292280673980713, 4.060458660125732, 3.729527711868286]",pca,Pre-max
1,beta,24,0.008,1113,0.4410471510452302,0.6696871947248453,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.632425308227539, 4.8819732666015625, 3.759483814239502, 4.036666393280029, 4.474688529968262, 5.029628276824951, 4.727599143981934, 4.662013530731201, 4.288303852081299, 4.571014881134033, 3.9955837726593018, 4.258543014526367, 4.8534722328186035, 4.453529357910156, 3.7056291103363037, 4.476303577423096, 4.73763370513916, 3.9652366638183594, 4.516063213348389, 3.9433746337890625, 4.850269317626953, 4.4744391441345215, 4.885250568389893, 4.886768341064453, 4.680071830749512, 4.579236030578613, 4.809375762939453, 4.3089985847473145, 4.55099630355835, 4.560476779937744]",pca,Pre-max
1,beta,41,0.005,1171,0.4521006482700829,0.6802387358208051,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.640657901763916, 4.842121124267578, 4.579666614532471, 4.372847080230713, 4.581944942474365, 4.86458158493042, 4.39083194732666, 4.306454658508301, 4.650301456451416, 4.65567684173584, 4.9768595695495605, 4.835493564605713, 4.422169208526611, 4.79559326171875, 4.390077590942383, 4.8651275634765625, 4.719235420227051, 4.732352256774902, 4.169804573059082, 4.803350448608398, 4.486135959625244, 4.232193946838379, 4.586132049560547, 4.728330612182617, 4.253776550292969, 4.594053268432617, 4.681203842163086, 4.908976078033447, 4.375251293182373, 4.74366569519043]",pca,Pre-max
