seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5892093472211288,0.5117092568485195
8,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6076355595265768,0.503030326181234
13,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.633002204469934,0.4947796636095927
2,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6220946171678351,0.4987878560635608
1,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6207285673926444,0.4938306627900862
4,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6221970386929403,0.5088154498559376
20,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6185109269537405,0.4928190025040897
16,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6278060027015031,0.4909859629360959
44,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5820356419586765,0.5133048657423563
12,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6173181356227994,0.4958875332655514
28,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6072454471272446,0.5104099162946398
32,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5867494073350996,0.5169391070167857
48,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5248760157743786,0.5482363785835854
40,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6410373330274294,0.4851418700367625
24,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6165218305655054,0.4990049534190602
36,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5837206463195691,0.5172667808502517
3,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6277970114377076,0.4997214047808296
15,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6190776887075863,0.4965509275524728
5,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6577443820909437,0.4677562989219085
9,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.637152354975403,0.4869260214979238
31,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6827789501892607,0.4735799228986871
27,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5622067614267781,0.5257067952146289
11,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.597953079467741,0.5155073378435652
21,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.589609846888608,0.508076701760348
29,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6386748588006449,0.4868277315986102
33,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6043291416081522,0.5062029345733664
10,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6232144015452363,0.4938456291834526
19,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5933828391932107,0.5024214463490891
41,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6005022959692012,0.5111078882317357
7,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6317888227380501,0.4897920657304603
35,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6632794745107768,0.4779498433928238
17,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5967914951989026,0.5115404764886425
39,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6035607361816837,0.4879505105446803
25,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5747275110375275,0.5146504353261893
23,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6127550689380932,0.4935786100687875
49,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6056136833531733,0.5196538508033688
43,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6064506144804083,0.503493028700449
34,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.632980309900822,0.4861461498106073
18,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6276097551906946,0.500361967196759
30,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5748571026986506,0.5291852939010524
6,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5865840416504868,0.5177007853714437
26,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5855544036089873,0.5108629598111124
47,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6573148240568405,0.4691615999664177
46,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6183094697840075,0.5041881925805819
38,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6165645770536583,0.5006416495194147
45,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.639325390750463,0.4855097430417388
42,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6331074508553722,0.4988970960523375
22,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5883433009927718,0.516510405547358
37,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.6195450639457467,0.4993143148395228
14,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,2,0.5732702667192221,0.5172784765617758
