seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,max,1.0,raw,max,0.7060561148173377,0.4192728394012163
36,beta,1,max,1.0,raw,max,0.6740933572710951,0.4274537895000301
1,beta,1,max,1.0,raw,max,0.7183165964659954,0.4140221018247332
39,beta,1,max,1.0,raw,max,0.7386832343328801,0.3912326092556972
18,beta,1,max,1.0,raw,max,0.7538667228520702,0.4007237792869717
47,beta,1,max,1.0,raw,max,0.7787879855406878,0.3757726735744318
34,beta,1,max,1.0,raw,max,0.7384805645141734,0.4003861589880501
43,beta,1,max,1.0,raw,max,0.7126092119915356,0.413497251084034
15,beta,1,max,1.0,raw,max,0.7070802896625874,0.4177283014327177
3,beta,1,max,1.0,raw,max,0.7006973312015742,0.4198570378837459
31,beta,1,max,1.0,raw,max,0.7771053572340535,0.3789932898214263
27,beta,1,max,1.0,raw,max,0.6510173455898858,0.4379350338552424
35,beta,1,max,1.0,raw,max,0.7733655113174913,0.3884807289172452
22,beta,1,max,1.0,raw,max,0.6898513132993365,0.4221654880864654
6,beta,1,max,1.0,raw,max,0.6918590269088609,0.4221584815804245
19,beta,1,max,1.0,raw,max,0.7217224181637827,0.4045075498838276
30,beta,1,max,1.0,raw,max,0.6960960925787107,0.4303891781685511
46,beta,1,max,1.0,raw,max,0.7317804074754902,0.4061032910637041
14,beta,1,max,1.0,raw,max,0.6582375133735009,0.432888195841331
42,beta,1,max,1.0,raw,max,0.7247423953298313,0.410938461650695
10,beta,1,max,1.0,raw,max,0.7264184486614917,0.4027762819496236
7,beta,1,max,1.0,raw,max,0.7735388640465903,0.3853602389534872
23,beta,1,max,1.0,raw,max,0.7256823744161516,0.4009906088128904
38,beta,1,max,1.0,raw,max,0.7067590295350474,0.4079173424662888
26,beta,1,max,1.0,raw,max,0.6840898779317255,0.4225668003386489
2,beta,1,max,1.0,raw,max,0.7060322556787897,0.4050604938727568
11,beta,1,max,1.0,raw,max,0.7137179537870008,0.4159341472659702
24,beta,1,max,1.0,raw,max,0.6967525507435146,0.4152518590797088
8,beta,1,max,1.0,raw,max,0.724301560320781,0.4112565495453573
13,beta,1,max,1.0,raw,max,0.7357410765416164,0.4064075274595887
16,beta,1,max,1.0,raw,max,0.7506174179889449,0.3962136081626985
44,beta,1,max,1.0,raw,max,0.6814670272614198,0.4177776327542268
20,beta,1,max,1.0,raw,max,0.709393226288187,0.4032270494564955
32,beta,1,max,1.0,raw,max,0.6492947287686515,0.4338309695883736
9,beta,1,max,1.0,raw,max,0.7295753981783644,0.4036097377101906
4,beta,1,max,1.0,raw,max,0.7059760859965778,0.4169760886307505
12,beta,1,max,1.0,raw,max,0.7471507714628879,0.3939316413863772
28,beta,1,max,1.0,raw,max,0.725022792159093,0.4156502386188591
48,beta,1,max,1.0,raw,max,0.6216524259082218,0.445366789202253
40,beta,1,max,1.0,raw,max,0.7377517334556949,0.397164405223354
33,beta,1,max,1.0,raw,max,0.7167915579314416,0.408129251904852
49,beta,1,max,1.0,raw,max,0.7157317672352675,0.4186982179765518
45,beta,1,max,1.0,raw,max,0.7383582327002681,0.3984573770688642
41,beta,1,max,1.0,raw,max,0.7159707130403931,0.4121018901705698
17,beta,1,max,1.0,raw,max,0.7167873799725651,0.4171305835488497
37,beta,1,max,1.0,raw,max,0.7351806118973152,0.4023494905228942
21,beta,1,max,1.0,raw,max,0.6905116589408625,0.4169061647973653
29,beta,1,max,1.0,raw,max,0.7403011849552731,0.4051343012586228
25,beta,1,max,1.0,raw,max,0.6596141214367981,0.429696793889191
5,beta,1,max,1.0,raw,max,0.7525718094135091,0.3808741640007276
