seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,raw,,,,,,,,,0.4506261257840087,0.6784916019455692,max,,,,
1,beta,1,max,1.0,raw,,,,,,,,,0.4505627140431472,0.6738744349702075,max,,,,
2,beta,1,max,1.0,raw,,,,,,,,,0.4212774884398609,0.698298275769732,max,,,,
3,beta,1,max,1.0,raw,,,,,,,,,0.4537780429644535,0.6684011806665847,max,,,,
4,beta,1,max,1.0,raw,,,,,,,,,0.4422239140320982,0.6785715764199372,max,,,,
5,beta,1,max,1.0,raw,,,,,,,,,0.40272925713115,0.7322601185383715,max,,,,
6,beta,1,max,1.0,raw,,,,,,,,,0.4365154666727616,0.7022633789245084,max,,,,
7,beta,1,max,1.0,raw,,,,,,,,,0.3992344422065069,0.7646991223150162,max,,,,
8,beta,1,max,1.0,raw,,,,,,,,,0.4401866809155438,0.6990244363086937,max,,,,
9,beta,1,max,1.0,raw,,,,,,,,,0.4257475813406642,0.7134637864692417,max,,,,
10,beta,1,max,1.0,raw,,,,,,,,,0.4261884929098861,0.6940413384360729,max,,,,
11,beta,1,max,1.0,raw,,,,,,,,,0.431630233708613,0.7022333762708713,max,,,,
12,beta,1,max,1.0,raw,,,,,,,,,0.4088793177876708,0.736087490632603,max,,,,
13,beta,1,max,1.0,raw,,,,,,,,,0.4401580581925816,0.6977321523192772,max,,,,
14,beta,1,max,1.0,raw,,,,,,,,,0.4674626793473909,0.6225804756273814,max,,,,
15,beta,1,max,1.0,raw,,,,,,,,,0.4403039283270066,0.6947221299897754,max,,,,
16,beta,1,max,1.0,raw,,,,,,,,,0.4192516745065859,0.7130004247043834,max,,,,
17,beta,1,max,1.0,raw,,,,,,,,,0.457163652983196,0.6527681755829904,max,,,,
18,beta,1,max,1.0,raw,,,,,,,,,0.4224711374152878,0.7344740829333738,max,,,,
19,beta,1,max,1.0,raw,,,,,,,,,0.4258916869123158,0.6894622093023256,max,,,,
20,beta,1,max,1.0,raw,,,,,,,,,0.4287816295690214,0.6867727857999578,max,,,,
21,beta,1,max,1.0,raw,,,,,,,,,0.4477014209266354,0.6576193987919652,max,,,,
22,beta,1,max,1.0,raw,,,,,,,,,0.4497982599459262,0.6563448234543667,max,,,,
23,beta,1,max,1.0,raw,,,,,,,,,0.4289124868804562,0.6932527422398241,max,,,,
24,beta,1,max,1.0,raw,,,,,,,,,0.4348733252755966,0.6870051150548139,max,,,,
25,beta,1,max,1.0,raw,,,,,,,,,0.4580233150371855,0.6300246244841157,max,,,,
26,beta,1,max,1.0,raw,,,,,,,,,0.4408625064071425,0.6767095745402253,max,,,,
27,beta,1,max,1.0,raw,,,,,,,,,0.4740181053814221,0.6007510925864854,max,,,,
28,beta,1,max,1.0,raw,,,,,,,,,0.4337780363217908,0.7198943036784826,max,,,,
29,beta,1,max,1.0,raw,,,,,,,,,0.4239746403037893,0.7255949733937155,max,,,,
30,beta,1,max,1.0,raw,,,,,,,,,0.4493900304251684,0.674207817966017,max,,,,
31,beta,1,max,1.0,raw,,,,,,,,,0.4092183971075784,0.7359125287680125,max,,,,
32,beta,1,max,1.0,raw,,,,,,,,,0.4615627186541597,0.623778413052573,max,,,,
33,beta,1,max,1.0,raw,,,,,,,,,0.4410818815509527,0.6723764808247082,max,,,,
34,beta,1,max,1.0,raw,,,,,,,,,0.4250293356924769,0.710981413225345,max,,,,
35,beta,1,max,1.0,raw,,,,,,,,,0.4113569577392005,0.7421335770574757,max,,,,
36,beta,1,max,1.0,raw,,,,,,,,,0.4411635448979221,0.6752614003590665,max,,,,
37,beta,1,max,1.0,raw,,,,,,,,,0.4175379128002662,0.7267677334613281,max,,,,
38,beta,1,max,1.0,raw,,,,,,,,,0.4420701494627009,0.6601244453116178,max,,,,
39,beta,1,max,1.0,raw,,,,,,,,,0.4229475445429084,0.7070654118657411,max,,,,
40,beta,1,max,1.0,raw,,,,,,,,,0.4277609202887754,0.6943544789436118,max,,,,
41,beta,1,max,1.0,raw,,,,,,,,,0.4510627053032918,0.6627467674964972,max,,,,
42,beta,1,max,1.0,raw,,,,,,,,,0.4323863151836448,0.7078387730877349,max,,,,
43,beta,1,max,1.0,raw,,,,,,,,,0.4570056549469471,0.6641872138284165,max,,,,
44,beta,1,max,1.0,raw,,,,,,,,,0.4428220172847312,0.6666790847659458,max,,,,
45,beta,1,max,1.0,raw,,,,,,,,,0.4345061351235435,0.7093714073020133,max,,,,
46,beta,1,max,1.0,raw,,,,,,,,,0.4305447956077215,0.7133193670534619,max,,,,
47,beta,1,max,1.0,raw,,,,,,,,,0.3998999776059903,0.7442514057120938,max,,,,
48,beta,1,max,1.0,raw,,,,,,,,,0.4841154079693574,0.573049489125239,max,,,,
49,beta,1,max,1.0,raw,,,,,,,,,0.4445783687351301,0.6788616331254803,max,,,,
