seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,max,1.0,0.05,raw,max,0.6464595363356619,0.4703468620699677
12,beta,1,max,1.0,0.05,raw,max,0.653705382959721,0.4569412860194347
13,beta,1,max,1.0,0.05,raw,max,0.6527241735682404,0.4747855091183891
32,beta,1,max,1.0,0.05,raw,max,0.6127203318923441,0.4827194377256882
24,beta,1,max,1.0,0.05,raw,max,0.6144289997829154,0.4831520454466081
8,beta,1,max,1.0,0.05,raw,max,0.6467059289284055,0.4710972350894698
16,beta,1,max,1.0,0.05,raw,max,0.6388444847505581,0.474368548418485
4,beta,1,max,1.0,0.05,raw,max,0.6511556825081415,0.4696598124512706
40,beta,1,max,1.0,0.05,raw,max,0.653693471499949,0.461981802685201
36,beta,1,max,1.0,0.05,raw,max,0.6144129263913825,0.4875561785728851
28,beta,1,max,1.0,0.05,raw,max,0.6567702988350226,0.4749401964637423
20,beta,1,max,1.0,0.05,raw,max,0.6360397656452106,0.4689430316200697
44,beta,1,max,1.0,0.05,raw,max,0.6114809690950427,0.4844653752830795
1,beta,1,max,1.0,0.05,raw,max,0.6152869452434764,0.4820257096922779
48,beta,1,max,1.0,0.05,raw,max,0.5409857492829828,0.5191338819262478
2,beta,1,max,1.0,0.05,raw,max,0.6477428930650801,0.4649625033467848
5,beta,1,max,1.0,0.05,raw,max,0.689737792265933,0.4330135105912702
3,beta,1,max,1.0,0.05,raw,max,0.6449849342024351,0.4717456147617281
9,beta,1,max,1.0,0.05,raw,max,0.668922909259169,0.4573995296450833
41,beta,1,max,1.0,0.05,raw,max,0.6358119972589544,0.4771036608778408
27,beta,1,max,1.0,0.05,raw,max,0.6105140491241294,0.4954315632098334
7,beta,1,max,1.0,0.05,raw,max,0.696901373501815,0.4453401055061399
6,beta,1,max,1.0,0.05,raw,max,0.6162995642231522,0.4845726317565841
18,beta,1,max,1.0,0.05,raw,max,0.6709909803836512,0.4688122231193145
31,beta,1,max,1.0,0.05,raw,max,0.6616148636515649,0.457579162033753
30,beta,1,max,1.0,0.05,raw,max,0.594506262493753,0.5025850170486593
22,beta,1,max,1.0,0.05,raw,max,0.6123291195449532,0.482154463194369
34,beta,1,max,1.0,0.05,raw,max,0.6585719828317854,0.4677785343537564
42,beta,1,max,1.0,0.05,raw,max,0.6433071128482555,0.4849554398801577
17,beta,1,max,1.0,0.05,raw,max,0.6123312757201647,0.4875915080774841
38,beta,1,max,1.0,0.05,raw,max,0.6247667151556134,0.4724887204211511
15,beta,1,max,1.0,0.05,raw,max,0.6278585470490887,0.483887334644222
37,beta,1,max,1.0,0.05,raw,max,0.6627352160943031,0.4634995941471022
19,beta,1,max,1.0,0.05,raw,max,0.6304950126749697,0.4761241710572502
29,beta,1,max,1.0,0.05,raw,max,0.6793959359997096,0.4534659747036886
26,beta,1,max,1.0,0.05,raw,max,0.6119146773450482,0.4921609326413005
25,beta,1,max,1.0,0.05,raw,max,0.5930571551972359,0.4895028511476722
21,beta,1,max,1.0,0.05,raw,max,0.6313414805450204,0.4819537837815045
49,beta,1,max,1.0,0.05,raw,max,0.6256371616341146,0.4881844386448105
23,beta,1,max,1.0,0.05,raw,max,0.6323923755733136,0.4676293328336096
10,beta,1,max,1.0,0.05,raw,max,0.6394421461295817,0.464391680888931
47,beta,1,max,1.0,0.05,raw,max,0.6770874310843896,0.4482788702554917
35,beta,1,max,1.0,0.05,raw,max,0.6870004493761395,0.4474399177079915
45,beta,1,max,1.0,0.05,raw,max,0.6679303958383989,0.4618038505707564
33,beta,1,max,1.0,0.05,raw,max,0.634340391322323,0.4740791812996984
11,beta,1,max,1.0,0.05,raw,max,0.6287082182725237,0.4771488834586696
14,beta,1,max,1.0,0.05,raw,max,0.6095981380332977,0.4980022335615204
39,beta,1,max,1.0,0.05,raw,max,0.6664555452181588,0.448129178430717
46,beta,1,max,1.0,0.05,raw,max,0.6480114506740197,0.4728244923434136
43,beta,1,max,1.0,0.05,raw,max,0.6525744929232984,0.46866355734730203
