seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
2,beta,54,none,1.0,0.05,raw,none,,54,30.0,20,0.5264744878320003,0.3314500996070306
0,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5681315913485757,0.3390281360984977
10,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.5686732834675873,0.338286228892135
4,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5402721518381262,0.3308772396412484
6,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5199407260205917,0.3543536333172082
42,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5645251942720297,0.3440694949784219
26,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5553910756701731,0.3501563136123266
30,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.542515511892451,0.3419575885588586
1,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5705317850269563,0.3729577682086537
31,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6084424335772045,0.3199523203316613
34,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.6275147860103386,0.3136192662455004
14,beta,54,none,1.0,0.05,raw,none,,54,29.0,20,0.5846329402814758,0.3253980812051936
15,beta,54,none,1.0,0.05,raw,none,,54,31.0,50,0.5127324258169794,0.3304848845130174
18,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.6229123239454479,0.3383810860699878
46,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6231949634506916,0.3181109014583441
22,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5470971563981043,0.3666822731785989
38,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5646729279947273,0.3483327327480492
7,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5545580808080808,0.3387482953996457
3,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5708521493043849,0.330274083584109
39,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5555029036004646,0.3663199707477438
27,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5711332772503305,0.3225253936654292
47,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.594321191854542,0.3256084578516879
35,beta,54,none,1.0,0.05,raw,none,,54,30.0,5,0.5599508769502197,0.3572572631324522
11,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.575716282320056,0.3246312562106834
5,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5432165493283072,0.3798316195397563
43,beta,54,none,1.0,0.05,raw,none,,54,31.0,50,0.4899833433424359,0.3323276543138401
23,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5020732630598101,0.3660638335732698
12,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6160775964576516,0.3350503763176815
19,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5798960910440376,0.3433801221600891
32,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5281120600414078,0.3400745265988526
40,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.59316124672346,0.3505800932075659
8,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5355856918238994,0.3484487608727876
20,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5375416088582687,0.3130405519254826
28,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5318934683781253,0.3612816033184672
48,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6029163410883976,0.3220868279344412
16,beta,54,none,1.0,0.05,raw,none,,54,29.0,20,0.5372512417080569,0.3506691390319491
44,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.600303250049443,0.3133370038313827
24,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5323053009379711,0.3606215915155234
21,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5549975106821825,0.3340476684382457
36,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5555606413307876,0.3522796098814236
13,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6182881446039341,0.3223879495292565
9,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5778725205611999,0.3344313658684811
41,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.6205947774155215,0.3313685029766067
45,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5332609106782367,0.3457925756213995
25,beta,54,none,1.0,0.05,raw,none,,54,31.0,50,0.5308716707021791,0.3345101217183999
17,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5444899647834028,0.3391286627209257
49,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5693863319386332,0.349994777316909
33,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5422858085264286,0.3414256123130533
37,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5618579702544427,0.3440094748789014
29,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5456825075834175,0.344209872757722
