seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5991281951282926,0.3491596334032792
14,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.6162967088699307,0.3333523777150698
28,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5568383139457147,0.372950496506581
6,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.564456169804533,0.3601875035095479
42,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5627861134190248,0.3445393970071212
34,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.5834594607181111,0.3592786245071797
12,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5572658913060712,0.3501725695278345
20,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.6152255450694492,0.2970092118709888
40,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.6072452490170379,0.3490396471320709
18,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.6356602711379579,0.3380501431227168
46,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5589664776140362,0.3506876869568286
1,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5783058991168051,0.3622668058842179
4,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5770969193790878,0.3484140880057884
15,beta,54,none,1.0,0.05,pca,none,,54,31.0,10.0,0.6460747566085308,0.315025460315559
38,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.5451100226186731,0.3709770018988798
13,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5502563838726827,0.3493017942781393
7,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.6064351851851851,0.331181437216411
35,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.5959946264457283,0.3107070389871101
41,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.550470763886773,0.3565610096906163
30,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5710918648741812,0.3418642250190192
29,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.599467969102648,0.3465050163270613
36,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5895692203070646,0.3664591647332617
19,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5504700643245919,0.3526316809050082
21,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.576178596243592,0.342332507462064
2,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.6394107394893289,0.2880438046437887
43,beta,54,none,1.0,0.05,pca,none,,54,31.0,10.0,0.5821671784528571,0.3066741779217796
48,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5790462027071308,0.3415677856008424
24,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5532795634364702,0.3582096278142189
26,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5713755514082117,0.3624181030103462
22,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.6294126359074435,0.3528529220380872
32,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5495900805974564,0.3518675328541421
16,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5736413436003422,0.3474202051244827
44,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5324279781132573,0.350204866345998
8,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5832645440251573,0.3467173058959813
10,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.6146772311724843,0.3407533902372554
49,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5813485677502414,0.3442988457395045
27,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.576901814685735,0.3412873093676917
5,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5507719385775265,0.3720929997453329
47,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5386387880095407,0.3702776115818864
31,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5804400376502802,0.3588480195440352
25,beta,54,none,1.0,0.05,pca,none,,54,31.0,10.0,0.560368738232297,0.3325111175234467
39,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5655679607152785,0.3509169798105805
3,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5658222740563457,0.363330099451623
33,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5747133763200316,0.3556222269925577
11,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.591088947910456,0.3423479705508598
37,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.5811401390211476,0.3448477902022338
23,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.6028798555704385,0.3202830161504615
9,beta,54,none,1.0,0.05,pca,none,,54,30.0,10.0,0.5558508708272859,0.3665833474269296
17,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5690381529954289,0.3526635518161076
45,beta,54,none,1.0,0.05,pca,none,,54,29.0,10.0,0.5761757319599418,0.34716654158887716
