seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
2,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6238405883958104,0.4367877919278338,15,2,30,2
3,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5871227401303654,0.4476213165287176,27,2,30,2
1,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5281943445654407,0.4510880594717142,15,2,30,2
5,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.633918989861396,0.4293281439656131,13,2,30,2
0,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5857217671683479,0.4525509025595497,8,2,30,2
4,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6120090936689297,0.4496743752616724,5,2,30,2
8,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6002486125639237,0.4436645297896563,21,2,30,2
49,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6013813275121267,0.4544098494649307,13,2,30,2
7,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5755000048598282,0.4440535433978027,7,2,30,2
6,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5547895902547065,0.4503421502606733,9,2,30,2
23,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5768920769184978,0.4423923449299794,19,2,30,2
19,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6335569822550423,0.4361669804624528,22,2,30,2
43,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5896478638689557,0.446743639732602,2,2,30,2
15,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5853759526294153,0.4467995559924113,14,2,30,2
11,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.596105516745293,0.453262998679642,6,2,30,2
14,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5802931846763144,0.4419987845339396,10,2,30,2
35,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5897473780540609,0.4453019759959067,18,2,30,2
34,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6116203714930042,0.4447241292626414,24,2,30,2
42,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6051810337112122,0.448147898877696,11,2,30,2
47,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.595645831661614,0.4340999329247255,15,2,30,2
18,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5960231269036163,0.4528288531197021,27,2,30,2
38,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5752204554308176,0.4421164613955642,25,2,30,2
31,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.629996820485955,0.4441511503530865,21,2,30,2
39,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6079113886304539,0.4336605707865835,9,2,30,2
30,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5923932564967517,0.4567531000114603,3,2,30,2
27,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5550640725416457,0.4589359339048732,9,2,30,2
10,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6031367793641755,0.4402449531265898,14,2,30,2
46,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6256845511642157,0.4433572575858888,23,2,30,2
26,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5882018611199857,0.4469672127930428,14,2,30,2
22,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6014678362367005,0.442343383783521,2,2,30,2
9,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6368872071501631,0.4366725180624559,12,2,30,2
41,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5677599823593605,0.4522519415417817,10,2,30,2
17,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5647688614540466,0.4567776653020997,20,2,30,2
33,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5519422955837828,0.4530228302309969,14,2,30,2
13,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.547815362350196,0.4580323918300965,30,2,30,2
37,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5872251081245677,0.4491889280288818,8,2,30,2
32,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.583373657788314,0.4497700998025029,18,2,30,2
45,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6033958594108801,0.4326154136190794,2,2,30,2
40,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.6203356021209341,0.4346130864384163,9,2,30,2
29,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5989787058969449,0.4457416641463614,2,2,30,2
24,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5684630413546077,0.4417193660994916,18,2,30,2
16,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5948968415405592,0.444102282450127,9,2,30,2
21,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5781875965725523,0.4446210177245647,17,2,30,2
25,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5959829998080429,0.4401457859050777,30,2,30,2
20,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.6233890313021802,0.4271460890214825,2,2,30,2
12,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5554255621293676,0.4464785384416607,21,2,30,2
48,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5793484106118547,0.4507137962132024,10,2,30,2
44,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5923631374428515,0.4407266093845358,2,2,30,2
36,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5793084380610413,0.4611328810062058,27,2,30,2
28,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5828226294975348,0.4528239006150022,21,2,30,2
