seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
42,beta,1,max,1.0,0.05,raw,2,0.4469814980590632,0.6110677405720251,0.4222825166074498,0.7175219602404069
42,beta,1,max,1.0,0.05,raw,3,0.4496537134495463,0.6093835845086386,0.4254172632933694,0.7101248266296809
42,beta,1,max,1.0,0.05,raw,4,0.4452092569698927,0.6197312144411483,0.4134645102595427,0.7437201417783942
42,beta,1,max,1.0,0.05,raw,5,0.4518523266223215,0.5897476183041241,0.431661286010617,0.7071967945754354
42,beta,1,max,1.0,0.05,raw,6,0.4509077744127377,0.603343356827463,0.4299491952391509,0.6950223455077823
42,beta,1,max,1.0,0.05,raw,7,0.4492068081802667,0.6037725618443925,0.4251463469810347,0.7079673293265525
42,beta,1,max,1.0,0.05,raw,8,0.4500012920943889,0.6043461417604723,0.4275385090287182,0.7042687625211896
42,beta,1,max,1.0,0.05,raw,9,0.4657251512744995,0.5089979532734885,0.4545917121693107,0.6954846663584527
42,beta,1,max,1.0,0.05,raw,10,0.4513437678535118,0.5939544154221137,0.4295367930288108,0.713823393435044
42,beta,1,max,1.0,0.05,raw,11,0.4528741964585253,0.5849969655139975,0.4315737849478905,0.7125905378332563
42,beta,1,max,1.0,0.05,raw,12,0.4540197155112391,0.5796782856885278,0.4336857397426094,0.715518569887502
42,beta,1,max,1.0,0.05,raw,13,0.4657317103287524,0.4808690193024666,0.4545942361621508,0.6692864848204654
42,beta,1,max,1.0,0.05,raw,14,0.453412753848918,0.5847964085273957,0.4350336583587864,0.6871628910463862
42,beta,1,max,1.0,0.05,raw,15,0.4529127577578196,0.5758418983796694,0.4321945399209553,0.6944059177068885
42,beta,1,max,1.0,0.05,raw,16,0.4559519976846459,0.5633100264774419,0.4393656834391927,0.6788411157343195
42,beta,1,max,1.0,0.05,raw,17,0.4523276186160156,0.5915059216573455,0.4317647315385262,0.6994914470642626
42,beta,1,max,1.0,0.05,raw,18,0.4504499067215172,0.6009448389893235,0.4266157459380889,0.7055016181229775
42,beta,1,max,1.0,0.05,raw,19,0.4496466381761759,0.5983620961667484,0.4225468407572966,0.7019571582678379
42,beta,1,max,1.0,0.05,raw,20,0.4545528507443715,0.5872596010941135,0.4354735000455311,0.7076591154261056
42,beta,1,max,1.0,0.05,raw,21,0.4657231195487119,0.5129898212429699,0.4545740929977666,0.6976421636615812
42,beta,1,max,1.0,0.05,raw,22,0.4616247969047705,0.5602494092714816,0.4478991490272738,0.6961010941593466
42,beta,1,max,1.0,0.05,raw,23,0.4566312490370344,0.5654047690752886,0.4400038595463799,0.7007243026660502
42,beta,1,max,1.0,0.05,raw,24,0.4539667401083175,0.5822231382660771,0.4345057064423541,0.6910155648019726
42,beta,1,max,1.0,0.05,raw,25,0.4581919220760548,0.5473379816389099,0.4420716663059081,0.6985668053629218
42,beta,1,max,1.0,0.05,raw,26,0.4657243033900122,0.4932078469390888,0.4545643734787782,0.6890121744490677
42,beta,1,max,1.0,0.05,raw,27,0.465726751052347,0.5014391760308923,0.4545570304328593,0.7176760671906303
42,beta,1,max,1.0,0.05,raw,28,0.456682740709401,0.5519762702541324,0.4388272894195484,0.686392356295269
42,beta,1,max,1.0,0.05,raw,29,0.4646414308472675,0.5526001527368842,0.4528010789050856,0.7096625057790107
42,beta,1,max,1.0,0.05,raw,30,0.4566185710140079,0.5595304745361221,0.4385191762900347,0.6924025273539837
0,beta,1,max,1.0,0.05,raw,2,0.4531381703797598,0.5958367419587816,0.4171947371465898,0.7212579735944221
0,beta,1,max,1.0,0.05,raw,3,0.4535995826254207,0.5701524211794586,0.4322782786337592,0.693517282302329
0,beta,1,max,1.0,0.05,raw,4,0.4529222166194542,0.5732337044884324,0.4269261497359217,0.6994511200118677
0,beta,1,max,1.0,0.05,raw,5,0.4535127329179679,0.5693723451228988,0.4337249763482166,0.6961875092716214
0,beta,1,max,1.0,0.05,raw,6,0.4526304143736138,0.5858415682301276,0.4278909231271588,0.7125055629728527
0,beta,1,max,1.0,0.05,raw,7,0.4530390625063152,0.5669273765963491,0.4265287644456897,0.737724373238392
0,beta,1,max,1.0,0.05,raw,8,0.4542654418567056,0.5693545461080058,0.4389202702076618,0.6878801364782674
0,beta,1,max,1.0,0.05,raw,9,0.4547317561998371,0.5705559796132822,0.4373804848777581,0.706571725263314
0,beta,1,max,1.0,0.05,raw,10,0.4525294665495151,0.5829858532060476,0.4217150526248615,0.7239282005637145
0,beta,1,max,1.0,0.05,raw,11,0.4566909305479684,0.5551772884569965,0.4467887334987321,0.6837264500815903
0,beta,1,max,1.0,0.05,raw,12,0.4540075389366356,0.5647179027283835,0.4350234851307227,0.6866933689363595
8,beta,1,max,1.0,0.05,raw,2,0.4411915957672402,0.6073873706996745,0.4230469919417652,0.7136363636363636
0,beta,1,max,1.0,0.05,raw,13,0.4540373397860893,0.561458971559228,0.4368960094175359,0.6834297581961133
33,beta,1,max,1.0,0.05,raw,2,0.4427448500738138,0.5906506161134957,0.4292923063637327,0.7293435200905488
23,beta,1,max,1.0,0.05,raw,2,0.4374915530887971,0.5792719511289688,0.4375539473923897,0.6937636165577342
5,beta,1,max,1.0,0.05,raw,2,0.4284578414807082,0.6248550077973254,0.4407328642718069,0.6929563492063492
18,beta,1,max,1.0,0.05,raw,2,0.4459177053986348,0.6145379731735354,0.4105405914087106,0.7965545529122231
29,beta,1,max,1.0,0.05,raw,2,0.4458259333088499,0.5982581127235216,0.421750862790024,0.6884259259259259
48,beta,1,max,1.0,0.05,raw,2,0.4521165016710822,0.5862948882648183,0.4159127229035942,0.7668350168350169
14,beta,1,max,1.0,0.05,raw,2,0.4418611123952537,0.5804204440940743,0.438828732580274,0.6252551020408164
41,beta,1,max,1.0,0.05,raw,2,0.4471819437029674,0.5813761947566572,0.3898425849484329,0.7958877995642701
15,beta,1,max,1.0,0.05,raw,2,0.4469218703012126,0.5922024713025329,0.4402657349594439,0.6634426229508197
17,beta,1,max,1.0,0.05,raw,2,0.4567648445383451,0.5320068587105624,0.4386454641352235,0.7240323029796714
