seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
42,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4527974918266104
0,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4577828283752109
5,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4353181383763216
41,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4518901342545803
33,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4466358898926738
23,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4406497684578572
29,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4467203406151829
17,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4666264434350674
9,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4453551790632455
25,beta,1,max,1.0,0.05,raw,max,50,0.5,0.44389039223103
1,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4526789212433771
37,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4545091993871804
18,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4498591295258665
21,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4447097379762996
48,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4567365592906139
13,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4639460285846412
46,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4490067188922054
35,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4467229424380298
15,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4510634155697574
7,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4411835741775489
14,beta,1,max,1.0,0.05,raw,max,10,0.5,0.4440544829963674
19,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4408224853678414
39,beta,1,max,1.0,0.05,raw,max,50,0.5,0.440258305736093
10,beta,1,max,1.0,0.05,raw,max,50,0.5,0.448240259370002
6,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4519628222059048
3,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4487866521121976
2,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4398053940197197
43,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4498591295258665
38,beta,1,max,1.0,0.05,raw,max,10,0.5,0.4413318064882675
31,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4427167124983737
8,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4461088755860906
11,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4596163355799384
27,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4649899036582949
44,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4458239780169382
30,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4627446133461333
26,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4544818065524964
34,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4519220860801298
22,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4493027152496265
47,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4340777059024169
12,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4378311913180995
20,beta,1,max,1.0,0.05,raw,max,10,0.5,0.4337692077572303
45,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4374089827547899
49,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4617562215868166
36,beta,1,max,1.0,0.05,raw,max,50,0.5,0.4748187133274068
32,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4548119351770254
4,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4573014267710457
24,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4429226207093718
40,beta,1,max,1.0,0.05,raw,max,10,0.5,0.4408862164830544
28,beta,1,max,1.0,0.05,raw,max,5,0.5,0.4567447481641664
16,beta,1,max,1.0,0.05,raw,max,5,0.5,0.44634952594684474
