seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch,knn_selection_version
2,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5884468156188076,0.4709153073048833,2.0
3,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5787406223096789,0.4801034236291669,2.0
1,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.553490343127183,0.5318232416773299,2.0
5,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5837785904409487,0.4572984615275857,2.0
6,beta,1,max,1.0,0.05,raw,none,,max,286.0,20,0.5421337245257511,0.513341006628295,2.0
0,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5527271855992278,0.5185164672789544,2.0
7,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.536107666350492,0.5098399842497594,2.0
4,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6046765468896615,0.4879584504285534,2.0
8,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5592287501937083,0.4873234777707512,2.0
49,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5845973243992758,0.5436214667806496,2.0
9,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6147466026983586,0.4734734807961794,2.0
23,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5721523948905612,0.468007421408196,2.0
19,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5768599140306403,0.4686605368118816,2.0
32,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5454608841165807,0.5521905602983991,2.0
14,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5843238170317397,0.4929772202478954,2.0
15,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5669264986455007,0.4862891951456685,2.0
11,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5778140561822771,0.5359963554340262,2.0
24,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5473424101812656,0.483329213127574,2.0
41,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5155120814018062,0.5232029574426568,2.0
43,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5826297002788964,0.4818204304364981,2.0
47,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5899071861424416,0.5022543215017451,2.0
16,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.6109436420476498,0.4763792185810553,2.0
34,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5347880646960402,0.5622325632335261,2.0
35,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.584983581387402,0.4856360846865946,2.0
39,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5448850759798659,0.4792155071605294,2.0
27,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.6012343386699405,0.5133898290698865,2.0
31,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5619524742275401,0.4604212569386239,2.0
38,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5905158560192334,0.4658141865517413,2.0
18,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5803712574479226,0.4655713709727235,2.0
40,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5892019093504639,0.4837900906345129,2.0
17,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5242434842249658,0.5401909943855673,2.0
12,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5726427522866714,0.478969669965616,2.0
42,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5825625172710923,0.5281582511501457,2.0
37,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5818062996108547,0.530657971304711,2.0
28,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5983634117958604,0.4865176432910394,2.0
13,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5462703387867531,0.576878544268564,2.0
33,beta,1,max,1.0,0.05,raw,none,,max,286.0,20,0.6077047110553175,0.4866424065932546,2.0
30,beta,1,max,1.0,0.05,raw,none,,max,286.0,5,0.5600637181409296,0.5120358540174034,2.0
48,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5591150812619502,0.4813819209026993,2.0
46,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5833794088924632,0.5100880330438502,2.0
44,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.557095399866153,0.5034923775975746,2.0
36,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5803016157989228,0.6062474319560924,2.0
20,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5963024152771572,0.4419351127073417,2.0
22,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.56945420456668,0.4843360208393908,2.0
26,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5751554254003519,0.530286138954985,2.0
10,beta,1,max,1.0,0.05,raw,none,,max,286.0,20,0.5910880438777937,0.5033375687873606,2.0
29,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5803824407597993,0.5273156335187558,2.0
45,beta,1,max,1.0,0.05,raw,none,,max,286.0,50,0.5749001173677212,0.4614700053987071,2.0
25,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.601311306267396,0.4687543233036307,2.0
21,beta,1,max,1.0,0.05,raw,none,,max,286.0,10,0.5785243714004776,0.46759716368040183,2.0
