seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch,knn_selection_version
3,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.566999596504513,0.3258399302192037,2.0
2,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.558354005388991,0.2850851205399763,2.0
0,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.5729252994036302,0.334223042924658,2.0
4,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5607122679000641,0.3157221026287422,2.0
1,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5693501370624752,0.3367998786602968,2.0
7,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.547790404040404,0.3087676680872607,2.0
10,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5875887034906022,0.3178571941190467,2.0
9,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.6193880019351717,0.3114532463377016,2.0
12,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.6090449928088514,0.323310107330135,2.0
8,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5318553459119496,0.3238033828210221,2.0
31,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6022761305780174,0.3112305606761709,2.0
40,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5744798492791612,0.3273341662294515,2.0
6,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5521345485070153,0.3179994315263777,2.0
15,beta,54,none,1.0,0.05,raw,none,,54,31.0,50,0.5404057444680969,0.3111570709216154,2.0
32,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5721356477373558,0.3250738724785889,2.0
42,beta,54,none,1.0,0.05,raw,none,,54,29.0,20,0.5755828160891452,0.3180053708594589,2.0
48,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5810437829254153,0.3235727561797434,2.0
24,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5425922960946776,0.3447582781415384,2.0
28,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5353656906003477,0.3508530239599818,2.0
39,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5727990708478514,0.3305190036882136,2.0
20,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5184028528774074,0.2976789756169502,2.0
26,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.5671233457753648,0.3364895897136387,2.0
16,beta,54,none,1.0,0.05,raw,none,,54,29.0,20,0.5417847261575386,0.3295034450740191,2.0
13,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5923153435886882,0.3133477632686535,2.0
44,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5977937460170963,0.3039077905846309,2.0
30,beta,54,none,1.0,0.05,raw,none,,54,29.0,5,0.563728024819028,0.3123263830458592,2.0
36,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5763313106478696,0.3273773531179204,2.0
21,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5779703579693732,0.3141902630496471,2.0
34,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.6116867694313789,0.3144934373687899,2.0
14,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.6025919687007553,0.3160891061989507,2.0
11,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5918433108160571,0.3086974657786031,2.0
47,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6059412942121223,0.32451316380875,2.0
35,beta,54,none,1.0,0.05,raw,none,,54,30.0,10,0.562072623701295,0.299680280190735,2.0
18,beta,54,none,1.0,0.05,raw,none,,54,29.0,20,0.5947131648484295,0.3164606871694218,2.0
46,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5856509833597279,0.325383300973592,2.0
38,beta,54,none,1.0,0.05,raw,none,,54,30.0,20,0.5643733429200557,0.3285340302853254,2.0
22,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5355319556732646,0.3553619853228567,2.0
23,beta,54,none,1.0,0.05,raw,none,,54,30.0,20,0.5366431774503524,0.3220389406969274,2.0
27,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5737932139566558,0.3229548165130649,2.0
43,beta,54,none,1.0,0.05,raw,none,,54,31.0,50,0.5213590472845115,0.3049813711816908,2.0
19,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.6050569025235033,0.3146897722747499,2.0
41,beta,54,none,1.0,0.05,raw,none,,54,30.0,10,0.5941131661537525,0.3061727611298232,2.0
5,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5675942864534249,0.3309992741032273,2.0
45,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5269671767039482,0.3428210255337329,2.0
17,beta,54,none,1.0,0.05,raw,none,,54,29.0,10,0.5566492770002321,0.3220382466266442,2.0
25,beta,54,none,1.0,0.05,raw,none,,54,31.0,20,0.5476594027441486,0.3260924419601665,2.0
49,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.580735512743881,0.3119293127947896,2.0
33,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5634369588521482,0.3279996246409885,2.0
29,beta,54,none,1.0,0.05,raw,none,,54,29.0,50,0.5462082912032356,0.3330580374242833,2.0
37,beta,54,none,1.0,0.05,raw,none,,54,30.0,50,0.5827709463282684,0.3192645118465088,2.0
