n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,28,0.002,857,0.3979837788745908,0.7530689329556185,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5339139103889465, 0.5375688672065735, 0.5404092073440552, 0.5323154330253601, 0.5347051024436951, 0.536255955696106, 0.5325889587402344, 0.5378246307373047, 0.5405374765396118, 0.5352824330329895, 0.5348851680755615, 0.5369792580604553, 0.5329824090003967, 0.5310515761375427, 0.5320863127708435, 0.5367361903190613, 0.5318191647529602, 0.5343732833862305, 0.527888298034668, 0.5390579104423523, 0.5375546813011169, 0.5385614037513733, 0.5343900322914124, 0.5369150638580322, 0.5368019342422485, 0.5339919328689575, 0.5378261208534241, 0.5342060923576355, 0.5335385799407959, 0.532322883605957]",pca,32
54,bernoulli,0,0.002,842,0.3939114602881864,0.7254107212279162,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5376523733139038, 0.5445521473884583, 0.5407097339630127, 0.5330674648284912, 0.5372419357299805, 0.5284661650657654, 0.5315824747085571, 0.5336461067199707, 0.5248417258262634, 0.5269079804420471, 0.527771532535553, 0.5307033658027649, 0.523025393486023, 0.5377212762832642, 0.5314192175865173, 0.5332965850830078, 0.5272737741470337, 0.5402148962020874, 0.5389707088470459, 0.5284762382507324, 0.5298371911048889, 0.5305051803588867, 0.5212863683700562, 0.5360594987869263, 0.5276802778244019, 0.5222245454788208, 0.5252173542976379, 0.5286130905151367, 0.5292176604270935, 0.5386786460876465]",pca,32
54,bernoulli,29,0.002,866,0.3915885866065394,0.6918246976258025,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5295864343643188, 0.532986581325531, 0.5344290137290955, 0.5283519625663757, 0.533028781414032, 0.524262011051178, 0.527460515499115, 0.53033447265625, 0.5342055559158325, 0.5293813347816467, 0.5375826954841614, 0.5307214856147766, 0.5251016020774841, 0.5262922048568726, 0.5303887128829956, 0.5310889482498169, 0.5246384739875793, 0.527660608291626, 0.5321743488311768, 0.5237921476364136, 0.5361409187316895, 0.5271323323249817, 0.524480402469635, 0.5332375168800354, 0.527722179889679, 0.5363721251487732, 0.5274391174316406, 0.5361396074295044, 0.5244156122207642, 0.5293900370597839]",pca,32
54,bernoulli,1,0.002,827,0.3854125533872493,0.7135324509873309,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5362305641174316, 0.538674533367157, 0.5333458185195923, 0.5398880243301392, 0.5338359475135803, 0.5322384238243103, 0.5361055135726929, 0.5424616932868958, 0.5367692112922668, 0.5337061882019043, 0.5366613864898682, 0.5329140424728394, 0.5337202548980713, 0.5398620367050171, 0.5425671339035034, 0.5412136912345886, 0.5372627377510071, 0.5385596752166748, 0.5323702692985535, 0.5328402519226074, 0.5392141342163086, 0.5361768007278442, 0.5367372632026672, 0.5359401106834412, 0.5387528538703918, 0.5373934507369995, 0.5386326313018799, 0.5349084734916687, 0.5352584719657898, 0.5346630811691284]",pca,32
54,bernoulli,12,0.005,842,0.392464730506505,0.6761685214626391,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4247889518737793, 0.42918911576271057, 0.41595515608787537, 0.42377766966819763, 0.42256852984428406, 0.4268852174282074, 0.4316128194332123, 0.4270370602607727, 0.4277174472808838, 0.42541196942329407, 0.426483690738678, 0.42589905858039856, 0.4237966239452362, 0.4316762387752533, 0.4305002689361572, 0.41945573687553406, 0.414126992225647, 0.4262927174568176, 0.43203383684158325, 0.42740312218666077, 0.4208863377571106, 0.41437721252441406, 0.42778345942497253, 0.41633084416389465, 0.42545464634895325, 0.41702374815940857, 0.4176783859729767, 0.42614036798477173, 0.42182472348213196, 0.4289698600769043]",pca,32
54,bernoulli,14,0.014,843,0.3533723973082915,0.728968755492689,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.10973083227872849, 0.1098819300532341, 0.1081111878156662, 0.10764653980731964, 0.10797041654586792, 0.10124813765287399, 0.10974237322807312, 0.10380788147449493, 0.09917595237493515, 0.10928330570459366, 0.1108803078532219, 0.11412128061056137, 0.11305970698595047, 0.09862568974494934, 0.10862872749567032, 0.09914599359035492, 0.1140294149518013, 0.10343622416257858, 0.1121850237250328, 0.10180051624774933, 0.11276707053184509, 0.11282488703727722, 0.1031445637345314, 0.11468088626861572, 0.10387727618217468, 0.11599578708410263, 0.11681012809276581, 0.0989220067858696, 0.11347758769989014, 0.1033048927783966]",pca,32
54,bernoulli,8,0.012,784,0.3806889470570326,0.7155496736010946,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.19466181099414825, 0.18861056864261627, 0.1897771805524826, 0.1876026839017868, 0.18794523179531097, 0.18275153636932373, 0.19381535053253174, 0.19662179052829742, 0.18795697391033173, 0.18732355535030365, 0.19546282291412354, 0.18913781642913818, 0.19599978625774384, 0.18671879172325134, 0.1866358518600464, 0.18503238260746002, 0.19544552266597748, 0.18903426826000214, 0.1903754025697708, 0.18893343210220337, 0.18495914340019226, 0.19370363652706146, 0.18913324177265167, 0.19370980560779572, 0.19759425520896912, 0.19050094485282898, 0.19589351117610931, 0.18972823023796082, 0.1904086023569107, 0.19200752675533295]",pca,32
54,bernoulli,2,0.01,877,0.3577969152063305,0.7641289893617021,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2641187608242035, 0.2561587691307068, 0.26362696290016174, 0.2445155531167984, 0.2569369375705719, 0.2694733142852783, 0.25620943307876587, 0.26263681054115295, 0.2614993155002594, 0.2623996138572693, 0.26213106513023376, 0.25637978315353394, 0.2640244960784912, 0.2609488368034363, 0.25664594769477844, 0.26652923226356506, 0.25272735953330994, 0.25530239939689636, 0.27070438861846924, 0.26363179087638855, 0.267487496137619, 0.25999969244003296, 0.2491815835237503, 0.2562147378921509, 0.2615084648132324, 0.2608191967010498, 0.2681165039539337, 0.2643965482711792, 0.26034432649612427, 0.25199243426322937]",pca,32
54,bernoulli,13,0.005,803,0.3779472524420191,0.7593218235472573,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4422093629837036, 0.44247496128082275, 0.4295424222946167, 0.4293520152568817, 0.4394475221633911, 0.4389069080352783, 0.4389057457447052, 0.43981415033340454, 0.4366872012615204, 0.43531596660614014, 0.4388209283351898, 0.44339680671691895, 0.4410941004753113, 0.4422524571418762, 0.4399333894252777, 0.4371488392353058, 0.4356265366077423, 0.4301064610481262, 0.44254833459854126, 0.4396454989910126, 0.4399104714393616, 0.4351060688495636, 0.4269563853740692, 0.4432157874107361, 0.43886303901672363, 0.4342407286167145, 0.44077348709106445, 0.4391764998435974, 0.44550248980522156, 0.44368094205856323]",pca,32
54,bernoulli,20,0.015,821,0.3575112069647502,0.7824548146320399,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.08113109320402145, 0.08126106858253479, 0.08331315219402313, 0.08482379466295242, 0.07175140827894211, 0.07465917617082596, 0.08833674341440201, 0.08038120716810226, 0.08530648797750473, 0.07982981204986572, 0.08848100900650024, 0.08344356715679169, 0.08791567385196686, 0.08578905463218689, 0.08246232569217682, 0.08679685741662979, 0.08176285028457642, 0.08219879120588303, 0.07683966308832169, 0.0844222903251648, 0.08469491451978683, 0.08461116999387741, 0.07960204780101776, 0.08161518722772598, 0.08248268812894821, 0.07983953505754471, 0.08400191366672516, 0.08528953790664673, 0.08812311291694641, 0.0750296413898468]",pca,32
