n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,0,0.002,train_items_only_refit_v1,train_items_only,723,none,,29.0,1121,0.3115747343777688,0.6454321649685566,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.6683744192123413, 1.7428598403930664, 1.6354678869247437, 1.6085186004638672, 1.5944879055023193, 1.5999901294708252, 1.7132701873779297, 1.7337968349456787, 1.7169039249420166, 1.7512099742889404, 1.7083314657211304, 1.6859887838363647, 1.7525138854980469, 1.7101554870605469, 1.6400423049926758, 1.575503945350647, 1.6948773860931396, 1.553747296333313, 1.644028663635254, 1.6542880535125732, 1.7014334201812744, 1.6782567501068115, 1.622145414352417, 1.5860540866851807, 1.7231820821762085, 1.705216407775879, 1.6933791637420654, 1.6378906965255737, 1.582369327545166, 1.6363024711608887]",pca,32
54,beta,14,0.002,train_items_only_refit_v1,train_items_only,703,none,,29.0,1111,0.2845905126603457,0.6598607111159414,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.6711435317993164, 1.5287905931472778, 1.5518118143081665, 1.6033587455749512, 1.5439523458480835, 1.529475450515747, 1.535921335220337, 1.5776655673980713, 1.5635324716567993, 1.566813349723816, 1.5256245136260986, 1.5744996070861816, 1.633305311203003, 1.5556704998016357, 1.5556718111038208, 1.5516324043273926, 1.5543127059936523, 1.5873699188232422, 1.5479388236999512, 1.622473955154419, 1.5722473859786987, 1.5229238271713257, 1.5802468061447144, 1.5369222164154053, 1.5324573516845703, 1.5535460710525513, 1.6072163581848145, 1.51218581199646, 1.560276746749878, 1.5845311880111694]",pca,32
54,beta,6,0.004,train_items_only_refit_v1,train_items_only,667,none,,29.0,1029,0.3058566257747873,0.6103292618162507,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.8279552459716797, 1.8625471591949463, 1.8397897481918335, 1.862346887588501, 1.8119179010391235, 1.8346130847930908, 1.8909375667572021, 1.8946795463562012, 1.9084253311157227, 1.8489388227462769, 1.8840413093566895, 2.0303056240081787, 1.7546240091323853, 1.9515882730484009, 1.8787505626678467, 1.7476526498794556, 1.7838834524154663, 1.7643238306045532, 1.7980873584747314, 1.7070863246917725, 1.831080675125122, 1.7430963516235352, 1.7376697063446045, 1.895311713218689, 1.8268181085586548, 1.8066089153289795, 1.7498399019241333, 1.7981098890304565, 1.8442585468292236, 1.8149582147598267]",pca,32
54,beta,42,0.002,train_items_only_refit_v1,train_items_only,678,none,,29.0,1063,0.2913587326907665,0.6434395516673997,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.757594108581543, 1.7112418413162231, 1.7944082021713257, 1.710324764251709, 1.7537821531295776, 1.8029239177703857, 1.7571240663528442, 1.7777270078659058, 1.7696170806884766, 1.7573938369750977, 1.7496305704116821, 1.7453733682632446, 1.7735376358032227, 1.7685654163360596, 1.7244118452072144, 1.7910478115081787, 1.7453880310058594, 1.7519476413726807, 1.7393816709518433, 1.723458170890808, 1.7626451253890991, 1.7718883752822876, 1.6816542148590088, 1.786594033241272, 1.7534459829330444, 1.7161065340042114, 1.7128312587738037, 1.7924680709838867, 1.7732312679290771, 1.6846696138381958]",pca,32
54,beta,18,0.006,train_items_only_refit_v1,train_items_only,670,none,,29.0,1013,0.2949139044486695,0.6440008317737576,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.642749309539795, 1.6099331378936768, 1.6796612739562988, 1.6515626907348633, 1.6301050186157227, 1.6706622838974, 1.6935627460479736, 1.6741400957107544, 1.5882989168167114, 1.568353295326233, 1.592960000038147, 1.5818800926208496, 1.6857038736343384, 1.654347538948059, 1.625054121017456, 1.6742933988571167, 1.736307144165039, 1.6156891584396362, 1.6519068479537964, 1.5823264122009277, 1.6393259763717651, 1.7180063724517822, 1.6333281993865967, 1.6296968460083008, 1.6193557977676392, 1.6338664293289185, 1.6953098773956299, 1.659817099571228, 1.6392663717269897, 1.6675275564193726]",pca,32
54,beta,40,0.005,train_items_only_refit_v1,train_items_only,683,none,,29.0,1021,0.3015271388455702,0.6611852883355177,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.006568431854248, 2.0303115844726562, 2.021310806274414, 2.039912700653076, 2.135026216506958, 2.031141519546509, 2.1208932399749756, 1.9361581802368164, 2.2365305423736572, 1.9797747135162354, 1.9925919771194458, 2.0205771923065186, 2.10732102394104, 1.960891842842102, 2.146557331085205, 2.0584769248962402, 1.9387661218643188, 2.204622745513916, 2.1005659103393555, 2.101271629333496, 2.055999994277954, 1.961311936378479, 2.012035846710205, 2.1984996795654297, 2.0759730339050293, 2.0212299823760986, 1.9644784927368164, 1.9535391330718994, 1.8684868812561035, 1.9058564901351929]",pca,32
54,beta,26,0.005,train_items_only_refit_v1,train_items_only,642,none,,29.0,973,0.3091419999461028,0.6323379708177808,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.2363626956939697, 2.125884771347046, 1.929527759552002, 2.025376319885254, 2.0902762413024902, 2.03908371925354, 2.0443286895751953, 2.096554756164551, 2.119694948196411, 2.0512194633483887, 2.0844616889953613, 2.0644824504852295, 2.051595687866211, 2.004793167114258, 2.314544200897217, 2.0383591651916504, 2.0259485244750977, 2.047560214996338, 2.01904296875, 2.1457438468933105, 2.032287359237671, 2.1244125366210938, 2.1057159900665283, 1.9258943796157837, 2.141812801361084, 2.0325281620025635, 2.0543158054351807, 2.043468713760376, 2.0935494899749756, 2.137636423110962]",pca,32
54,beta,1,0.002,train_items_only_refit_v1,train_items_only,631,none,,29.0,963,0.313694981808239,0.642994608731162,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.6466268301010132, 1.547629952430725, 1.6351245641708374, 1.6480180025100708, 1.6163655519485474, 1.8059744834899902, 1.552003026008606, 1.5633320808410645, 1.6369330883026123, 1.6344887018203735, 1.7786592245101929, 1.5990591049194336, 1.6452314853668213, 1.795636534690857, 1.586938500404358, 1.6285828351974487, 1.8092588186264038, 1.6352399587631226, 1.6795893907546997, 1.629549264907837, 1.6796973943710327, 1.7309750318527222, 1.7026519775390625, 1.599992036819458, 1.5906665325164795, 1.6884808540344238, 1.667858600616455, 1.602425217628479, 1.5204577445983887, 1.6175155639648438]",pca,32
54,beta,48,0.004,train_items_only_refit_v1,train_items_only,640,none,,29.0,912,0.3062767858858129,0.5853603206210773,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.0979690551757812, 2.0570480823516846, 1.919075608253479, 1.9368484020233154, 1.9805482625961304, 2.046654462814331, 1.9470676183700562, 2.0065863132476807, 1.86350417137146, 2.0014305114746094, 1.8542697429656982, 2.111846446990967, 1.8590525388717651, 1.914394497871399, 1.8502728939056396, 2.108978509902954, 2.0731406211853027, 1.9867697954177856, 1.8516870737075806, 1.8102030754089355, 2.0477447509765625, 1.9178587198257446, 1.9841512441635132, 1.8383259773254395, 2.0920236110687256, 2.06546950340271, 2.1121692657470703, 2.1248936653137207, 2.149467945098877, 2.0382699966430664]",pca,32
54,beta,15,0.002,train_items_only_refit_v1,train_items_only,607,none,,31.0,868,0.2633049566536191,0.7057708470084474,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7335131168365479, 1.7369242906570435, 1.8869811296463013, 1.7251008749008179, 1.8037766218185425, 1.8296403884887695, 1.7273346185684204, 1.7221509218215942, 1.8522281646728516, 1.8687351942062378, 1.7815145254135132, 1.752947211265564, 1.8346868753433228, 1.7620515823364258, 1.8405543565750122, 1.8128087520599365, 1.7904614210128784, 1.7323040962219238, 1.6988062858581543, 1.824770212173462, 1.6382790803909302, 1.7853583097457886, 1.7523683309555054, 1.6958307027816772, 1.8037317991256714, 1.7063127756118774, 1.9628523588180542, 1.7219158411026, 1.734452486038208, 1.7139759063720703]",pca,32
