n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,12,0.005,842,0.4034281995072121,0.6549682034976152,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.37429124116897583, 0.37696728110313416, 0.37752941250801086, 0.37641260027885437, 0.37744325399398804, 0.3757648169994354, 0.3769569396972656, 0.37618929147720337, 0.38277125358581543, 0.37367597222328186, 0.38272884488105774, 0.3786027133464813, 0.3752000629901886, 0.3781573474407196, 0.37481120228767395, 0.3736763894557953, 0.3811832368373871, 0.3781837522983551, 0.3750830888748169, 0.37451472878456116, 0.38052043318748474, 0.3735540509223938, 0.3755207061767578, 0.385412335395813, 0.37560179829597473, 0.37699228525161743, 0.3761960566043854, 0.3817545771598816, 0.37613990902900696, 0.37678244709968567]",raw,32
54,bernoulli,13,0.005,803,0.3928568405763281,0.7341694475854269,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.38322851061820984, 0.3888292908668518, 0.38118037581443787, 0.3794146180152893, 0.38068950176239014, 0.3830580711364746, 0.3842165172100067, 0.38656142354011536, 0.39039117097854614, 0.37806180119514465, 0.3798850178718567, 0.37936222553253174, 0.3781272768974304, 0.38088423013687134, 0.38533857464790344, 0.37998127937316895, 0.37778982520103455, 0.3810659646987915, 0.3789202570915222, 0.38047438859939575, 0.3832681179046631, 0.3905361592769623, 0.38558727502822876, 0.37852388620376587, 0.37888532876968384, 0.38396787643432617, 0.3795032501220703, 0.38604339957237244, 0.38402464985847473, 0.3837968111038208]",raw,32
54,bernoulli,28,0.002,857,0.4150361902474143,0.7219200503619767,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4833921790122986, 0.48580846190452576, 0.48111703991889954, 0.4833069443702698, 0.4845866858959198, 0.4838852286338806, 0.48493480682373047, 0.48311275243759155, 0.4852566719055176, 0.4846065938472748, 0.4848901927471161, 0.4838850498199463, 0.4811477065086365, 0.4872920513153076, 0.4833403527736664, 0.48142287135124207, 0.48190972208976746, 0.48418471217155457, 0.48068442940711975, 0.4893192648887634, 0.48553723096847534, 0.48301634192466736, 0.4860406816005707, 0.48640286922454834, 0.48525089025497437, 0.480817586183548, 0.47986939549446106, 0.48720782995224, 0.4825432300567627, 0.4829244017601013]",raw,32
54,bernoulli,0,0.002,842,0.3999571710247694,0.7539992224733986,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4822368621826172, 0.4846697747707367, 0.48166558146476746, 0.4846748113632202, 0.48157504200935364, 0.4905727207660675, 0.48037514090538025, 0.4845956265926361, 0.4846715033054352, 0.48446395993232727, 0.4828479588031769, 0.48828697204589844, 0.4801768660545349, 0.4841480553150177, 0.4823904037475586, 0.48055005073547363, 0.48789268732070923, 0.48699435591697693, 0.4886763393878937, 0.48825255036354065, 0.4825999140739441, 0.485497385263443, 0.48174038529396057, 0.4826226532459259, 0.4879544675350189, 0.4852850139141083, 0.483356773853302, 0.4815593957901001, 0.4805722236633301, 0.48530834913253784]",raw,32
54,bernoulli,18,0.006,849,0.3721411329737554,0.7149307596838461,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3414153456687927, 0.3402789533138275, 0.3436053693294525, 0.35612791776657104, 0.3469187617301941, 0.3443702161312103, 0.35016897320747375, 0.34537261724472046, 0.3444998860359192, 0.34330153465270996, 0.3409132659435272, 0.3447076678276062, 0.3419869542121887, 0.3419441878795624, 0.34425780177116394, 0.34332552552223206, 0.3411310315132141, 0.344463974237442, 0.3420715034008026, 0.340950608253479, 0.33997711539268494, 0.3440524935722351, 0.34280604124069214, 0.3421652019023895, 0.3408248722553253, 0.34696799516677856, 0.34077656269073486, 0.3417416214942932, 0.34369248151779175, 0.3395868241786957]",raw,32
54,bernoulli,6,0.004,841,0.4051263013569882,0.6904761904761905,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.408495157957077, 0.4138909876346588, 0.4067472815513611, 0.4129274785518646, 0.4118395149707794, 0.4213111400604248, 0.4074041545391083, 0.41135209798812866, 0.40934059023857117, 0.4063335955142975, 0.4095859229564667, 0.40570729970932007, 0.4091165363788605, 0.4065432846546173, 0.4097326397895813, 0.4042711853981018, 0.415995717048645, 0.41595184803009033, 0.4087120294570923, 0.4080082178115845, 0.4095422923564911, 0.41224125027656555, 0.4066738486289978, 0.40582993626594543, 0.4042121469974518, 0.4104612171649933, 0.4050907492637634, 0.4095460772514343, 0.40929919481277466, 0.40845808386802673]",raw,32
54,bernoulli,34,0.004,801,0.3862462094809202,0.6914429444073713,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4194870889186859, 0.4173247218132019, 0.41847044229507446, 0.4173155426979065, 0.4186704456806183, 0.41847676038742065, 0.42061856389045715, 0.4180973172187805, 0.4145193099975586, 0.4163707494735718, 0.4194047152996063, 0.4211273193359375, 0.4324735105037689, 0.4216577708721161, 0.4204308092594147, 0.41602006554603577, 0.41833019256591797, 0.4347463846206665, 0.41636815667152405, 0.4239969551563263, 0.41887107491493225, 0.4179551303386688, 0.420449435710907, 0.4210045337677002, 0.42929890751838684, 0.4161358177661896, 0.4197167158126831, 0.42148980498313904, 0.42543378472328186, 0.41872599720954895]",raw,32
54,bernoulli,46,0.006,825,0.3827818254909819,0.7076212121212121,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.34006935358047485, 0.33722877502441406, 0.34418606758117676, 0.3404366374015808, 0.3422333896160126, 0.33906659483909607, 0.34274446964263916, 0.3398013114929199, 0.3402831256389618, 0.33665502071380615, 0.34209898114204407, 0.3365307152271271, 0.3411006033420563, 0.35192766785621643, 0.3445608615875244, 0.3461117446422577, 0.3405133783817291, 0.3388481140136719, 0.343376100063324, 0.3392714262008667, 0.3438273072242737, 0.3395240008831024, 0.3388579785823822, 0.33926430344581604, 0.3440784811973572, 0.338423490524292, 0.33976322412490845, 0.3388591706752777, 0.3434973657131195, 0.34292176365852356]",raw,32
54,bernoulli,1,0.002,827,0.3906559741137703,0.7536556019534291,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4820540249347687, 0.480239599943161, 0.4841350018978119, 0.49028483033180237, 0.4838304817676544, 0.48367324471473694, 0.4808986186981201, 0.4802834093570709, 0.480429470539093, 0.4845876097679138, 0.48179489374160767, 0.4803226888179779, 0.4785240590572357, 0.47986167669296265, 0.4802035987377167, 0.48448801040649414, 0.49044787883758545, 0.484308123588562, 0.4826129078865051, 0.48529595136642456, 0.4797443449497223, 0.48029977083206177, 0.48129498958587646, 0.48093217611312866, 0.4814727008342743, 0.4804082214832306, 0.4786117970943451, 0.48045775294303894, 0.48899683356285095, 0.4871663749217987]",raw,32
54,bernoulli,29,0.002,866,0.3983121001431481,0.6901747050918322,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47889748215675354, 0.4829135835170746, 0.48350876569747925, 0.4846140742301941, 0.4830906391143799, 0.490563303232193, 0.4811164140701294, 0.4838346242904663, 0.47926652431488037, 0.48789098858833313, 0.486600786447525, 0.49094799160957336, 0.48419660329818726, 0.47838491201400757, 0.4791853427886963, 0.4789665937423706, 0.4824846088886261, 0.4895099103450775, 0.4865366518497467, 0.47708582878112793, 0.49211910367012024, 0.4780605137348175, 0.4828953742980957, 0.47781655192375183, 0.4849577248096466, 0.4789353907108307, 0.4781871736049652, 0.4853884279727936, 0.481184184551239, 0.4850713312625885]",raw,32
