n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,0,0.002,2380,0.445594982430966,0.7230035153054414,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1629886627197266, 3.393505573272705, 2.8124868869781494, 2.8620026111602783, 3.2978556156158447, 2.7659664154052734, 3.0685172080993652, 2.7301979064941406, 2.802610158920288, 3.5040652751922607, 2.6609771251678467, 3.375983953475952, 2.811986207962036, 2.7345685958862305, 2.539177179336548, 2.7001094818115234, 3.233919143676758, 4.167872905731201, 2.9047183990478516, 3.238858699798584, 2.8424313068389893, 2.98271107673645, 3.4490301609039307, 2.7409491539001465, 3.3273537158966064, 3.1654694080352783, 3.052783966064453, 2.793490409851074, 2.73274302482605, 2.64667010307312]",raw,Pre-max
1,beta,28,0.002,2312,0.4404700487001995,0.7296091877501156,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1016685962677, 2.4893851280212402, 2.4857017993927, 3.2355387210845947, 2.550050735473633, 3.5340590476989746, 2.9232234954833984, 2.6098198890686035, 3.5068225860595703, 2.743972063064575, 3.170351266860962, 2.621082305908203, 4.058049201965332, 2.4377307891845703, 2.355570077896118, 2.374323844909668, 3.4584696292877197, 2.487978935241699, 2.7122974395751953, 4.2302045822143555, 2.9451966285705566, 2.8773396015167236, 2.9916672706604004, 3.2235453128814697, 2.522372245788574, 2.9403653144836426, 2.580388069152832, 2.468881845474243, 2.75246000289917, 3.665792226791382]",raw,Pre-max
1,beta,1,0.002,2299,0.4461219691822653,0.7040431734127799,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.0899596214294434, 2.83115816116333, 2.8768820762634277, 3.1181282997131348, 3.078547716140747, 3.154839038848877, 2.92494535446167, 3.1610610485076904, 2.8700766563415527, 4.3535943031311035, 2.6921098232269287, 2.905144453048706, 2.8855020999908447, 3.4680488109588623, 3.3273634910583496, 2.9174203872680664, 3.5799572467803955, 3.217679500579834, 3.302568197250366, 3.390706777572632, 2.890531301498413, 3.2519986629486084, 2.6860814094543457, 3.672409772872925, 2.793412208557129, 3.1858530044555664, 3.077500104904175, 2.562880516052246, 3.126382827758789, 2.8106391429901123]",raw,Pre-max
1,beta,14,0.002,2392,0.4728295977791932,0.6402357490098918,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9181337356567383, 3.0521514415740967, 3.181323528289795, 2.758561849594116, 3.2222132682800293, 2.420050859451294, 3.0333943367004395, 2.7882635593414307, 2.6677701473236084, 3.048823118209839, 3.0537919998168945, 2.4604604244232178, 2.930567979812622, 3.2822608947753906, 3.1833436489105225, 2.5454165935516357, 2.9004812240600586, 3.1555252075195312, 2.7025270462036133, 3.048663854598999, 2.928960084915161, 2.8478591442108154, 3.182871103286743, 2.6413609981536865, 3.1337170600891113, 3.602569103240967, 2.5778350830078125, 2.9021730422973633, 3.0588490962982178, 3.0868587493896484]",raw,Pre-max
1,beta,15,0.002,2197,0.4258969351021162,0.7375433492500185,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.467160940170288, 2.809105396270752, 3.162492513656616, 2.641181468963623, 3.3365650177001953, 2.5953521728515625, 3.2551841735839844, 3.343909978866577, 2.7453365325927734, 2.8808975219726562, 3.2972562313079834, 2.5914053916931152, 3.546881914138794, 2.848933458328247, 2.893432378768921, 2.7502825260162354, 2.8697667121887207, 2.8208537101745605, 2.6675491333007812, 3.3493313789367676, 2.80244779586792, 2.72883677482605, 3.405477285385132, 2.5873680114746094, 2.796766519546509, 2.6994893550872803, 2.799034357070923, 2.995880365371704, 2.724710464477539, 3.119513511657715]",raw,Pre-max
1,beta,29,0.002,2325,0.458145332431674,0.6829562471071905,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.402989625930786, 2.859917640686035, 2.512615919113159, 2.976640462875366, 3.373777151107788, 2.5831892490386963, 3.197932243347168, 2.573927640914917, 3.356205463409424, 3.46751070022583, 2.4874088764190674, 3.733015775680542, 3.2238001823425293, 3.270189046859741, 3.1674578189849854, 2.569969415664673, 3.24219012260437, 3.2280919551849365, 3.113504409790039, 3.143620491027832, 2.455911159515381, 3.859849452972412, 2.467693567276001, 3.025357484817505, 2.8387203216552734, 2.406233549118042, 2.9297754764556885, 2.812415838241577, 2.5683159828186035, 3.1465566158294678]",raw,Pre-max
1,beta,36,0.012,2397,0.4645852564300056,0.6759260323159785,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.560546398162842, 2.121683359146118, 2.5728838443756104, 2.451552152633667, 2.1615891456604004, 2.631024122238159, 2.4806289672851562, 2.701390027999878, 2.342266798019409, 2.3726437091827393, 2.552577018737793, 2.3945672512054443, 2.432943344116211, 2.4658451080322266, 3.2019031047821045, 2.3742425441741943, 2.4682843685150146, 2.399064064025879, 2.892500162124634, 2.3435513973236084, 2.1580379009246826, 2.8994901180267334, 2.5856101512908936, 2.601278066635132, 2.4153058528900146, 2.7912423610687256, 2.467595100402832, 2.159308671951294, 2.606985330581665, 2.3092710971832275]",raw,Pre-max
1,beta,37,0.012,2285,0.4152097822139488,0.7595447671838066,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.393946886062622, 2.779999017715454, 2.2622058391571045, 2.8542797565460205, 2.212104558944702, 3.814711809158325, 2.4588065147399902, 2.6672418117523193, 2.7966043949127197, 3.1087987422943115, 3.044492721557617, 2.2335500717163086, 2.8225786685943604, 2.3746845722198486, 3.009488582611084, 2.612924337387085, 2.731471061706543, 2.7377946376800537, 2.3854997158050537, 2.6798641681671143, 2.572798728942871, 3.3713667392730713, 2.925966739654541, 2.8089101314544678, 2.5925769805908203, 2.245891571044922, 2.33858585357666, 2.7802116870880127, 2.2959656715393066, 2.2362236976623535]",raw,Pre-max
1,beta,34,0.004,2329,0.4443824156881472,0.7231358665341062,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.214049816131592, 2.8581900596618652, 2.6695759296417236, 3.9489850997924805, 2.692925453186035, 2.538695812225342, 3.165764808654785, 2.6705150604248047, 2.635350227355957, 2.703681230545044, 2.755997657775879, 3.3821818828582764, 3.100449562072754, 3.243271589279175, 2.8411951065063477, 2.691368579864502, 3.1683599948883057, 2.8439536094665527, 2.6910836696624756, 2.7212555408477783, 3.2667601108551025, 3.0445826053619385, 2.6400997638702393, 2.6000430583953857, 2.7309021949768066, 2.6908528804779053, 3.411259889602661, 2.8782565593719482, 3.262141466140747, 2.655208110809326]",raw,Pre-max
1,beta,8,0.012,2311,0.4299283306421154,0.7256902070742289,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.274184465408325, 2.3370625972747803, 2.341508150100708, 2.5440993309020996, 2.5979344844818115, 3.2159981727600098, 2.83105206489563, 2.307305097579956, 2.820141077041626, 3.324939727783203, 2.9151546955108643, 2.749452829360962, 2.5614569187164307, 2.7157278060913086, 3.5971527099609375, 2.4159107208251953, 3.675273895263672, 2.707111358642578, 2.3733506202697754, 3.1346628665924072, 2.5024755001068115, 2.5016114711761475, 3.0167582035064697, 3.071913719177246, 3.0532350540161133, 3.966832399368286, 2.5561869144439697, 2.6418676376342773, 2.41196870803833, 3.0991170406341553]",raw,Pre-max
