seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,0.1,raw,54,0.618115649882651,0.4629578360520924
12,bernoulli,54,none,1.0,0.1,raw,54,0.5716971383147854,0.4653527334277458
4,bernoulli,54,none,1.0,0.1,raw,54,0.5753801497252962,0.4919706199798005
8,bernoulli,54,none,1.0,0.1,raw,54,0.576064328094098,0.4761170196855895
24,bernoulli,54,none,1.0,0.1,raw,54,0.5956898613103778,0.4954093958666301
20,bernoulli,54,none,1.0,0.1,raw,54,0.6039995990376904,0.4494173688903694
16,bernoulli,54,none,1.0,0.1,raw,54,0.6142832409972299,0.480697515347374
36,bernoulli,54,none,1.0,0.1,raw,54,0.5947024940705057,0.4592553170965286
48,bernoulli,54,none,1.0,0.1,raw,54,0.5765243846054262,0.4580174589462972
28,bernoulli,54,none,1.0,0.1,raw,54,0.5867988668555241,0.4982192096623143
40,bernoulli,54,none,1.0,0.1,raw,54,0.5136539264828739,0.4840824104878608
44,bernoulli,54,none,1.0,0.1,raw,54,0.5875831188331189,0.4478613039297323
32,bernoulli,54,none,1.0,0.1,raw,54,0.5147026745863955,0.5004267063875402
6,bernoulli,54,none,1.0,0.1,raw,54,0.6157327019205472,0.4833661925995899
5,bernoulli,54,none,1.0,0.1,raw,54,0.5650787696924231,0.5111918466693116
2,bernoulli,54,none,1.0,0.1,raw,54,0.6377398366261398,0.4616177114318801
9,bernoulli,54,none,1.0,0.1,raw,54,0.595620777027027,0.4479242664254291
7,bernoulli,54,none,1.0,0.1,raw,54,0.590497701442983,0.4684968105633036
10,bernoulli,54,none,1.0,0.1,raw,54,0.5603758169934641,0.4789635566414442
11,bernoulli,54,none,1.0,0.1,raw,54,0.5516446640607715,0.4925076790515955
18,bernoulli,54,none,1.0,0.1,raw,54,0.6003086419753086,0.459069589049861
19,bernoulli,54,none,1.0,0.1,raw,54,0.6026965281208101,0.4600402374913351
22,bernoulli,54,none,1.0,0.1,raw,54,0.544460592359345,0.506054903042864
17,bernoulli,54,none,1.0,0.1,raw,54,0.5864061843046715,0.5050970099061391
1,bernoulli,54,none,1.0,0.1,raw,54,0.6026753485738552,0.4868824874733122
21,bernoulli,54,none,1.0,0.1,raw,54,0.5171277997364954,0.4813608401089838
26,bernoulli,54,none,1.0,0.1,raw,54,0.5647237985100718,0.5047547641017293
15,bernoulli,54,none,1.0,0.1,raw,54,0.599901857164427,0.468917435306407
14,bernoulli,54,none,1.0,0.1,raw,54,0.5568226520585552,0.4528556713904009
46,bernoulli,54,none,1.0,0.1,raw,54,0.5809621212121212,0.4697579989947511
13,bernoulli,54,none,1.0,0.1,raw,54,0.5699998621032021,0.496123605866034
33,bernoulli,54,none,1.0,0.1,raw,54,0.5148109727985247,0.4963047600087265
49,bernoulli,54,none,1.0,0.1,raw,54,0.5891666666666666,0.478111703849867
30,bernoulli,54,none,1.0,0.1,raw,54,0.5938966375181334,0.4595835082773456
38,bernoulli,54,none,1.0,0.1,raw,54,0.5196593531317414,0.4943505244700907
23,bernoulli,54,none,1.0,0.1,raw,54,0.606043333620121,0.4611847586094721
27,bernoulli,54,none,1.0,0.1,raw,54,0.5372379128058922,0.4947803864113441
31,bernoulli,54,none,1.0,0.1,raw,54,0.578678117324086,0.4518805713494774
35,bernoulli,54,none,1.0,0.1,raw,54,0.6196091918317839,0.4785478542139875
29,bernoulli,54,none,1.0,0.1,raw,54,0.5569052186974821,0.5022881425185153
47,bernoulli,54,none,1.0,0.1,raw,54,0.5882450803308299,0.4554984316961128
3,bernoulli,54,none,1.0,0.1,raw,54,0.5657516300501438,0.4757631664879725
45,bernoulli,54,none,1.0,0.1,raw,54,0.5787637635699441,0.4920823878113106
37,bernoulli,54,none,1.0,0.1,raw,54,0.6025971401141933,0.4634889526254301
39,bernoulli,54,none,1.0,0.1,raw,54,0.5930029518147425,0.483232134331402
42,bernoulli,54,none,1.0,0.1,raw,54,0.5644350203930293,0.4635180313713997
25,bernoulli,54,none,1.0,0.1,raw,54,0.5916991309559485,0.4928131516911292
34,bernoulli,54,none,1.0,0.1,raw,54,0.5523458754684052,0.4933836646303779
41,bernoulli,54,none,1.0,0.1,raw,54,0.5768059181897303,0.4771702127878959
43,bernoulli,54,none,1.0,0.1,raw,54,0.5451562063599729,0.5079530081396946
