seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6246648466825916,0.3144287550113344
2,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6604935631495659,0.2467173818631255
4,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6114031811696209,0.3048466120262453
1,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6354007828417765,0.3135686958845939
3,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6298564550986906,0.3097781978523393
8,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6172091194968552,0.2999470400754653
49,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6286917406164267,0.2951450892651071
24,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.5927897637059868,0.3196808821402429
12,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6099198215236175,0.3137237786168256
7,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6296675084175083,0.2998312773702071
6,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.5718996796464119,0.3125393723480477
5,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.5835550751150286,0.3145936450573462
16,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6187317355022945,0.3017076617296956
20,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6781096522000601,0.2547320215827477
48,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6092682680916492,0.3139553038955736
36,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6166139199121178,0.3155738099765469
44,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.5792185817566528,0.2992357951356578
40,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6552363204456094,0.3077171163375163
10,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6567194891957551,0.2970416203774958
11,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6323336439164532,0.3004854159362672
32,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6336928793256434,0.2951281628186771
28,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6667794825511433,0.312990340346587
13,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6007185608204284,0.3067436409682084
27,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6565536994752234,0.2962291870773576
25,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,2,0.6332290825934894,0.2884910192463645
17,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6143833059202228,0.3056671337424329
35,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6243182158877318,0.2810437187721282
22,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6586654063284082,0.3075492662800915
47,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.5821857058957487,0.3152777007439435
42,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6489276346871283,0.2912053123662562
15,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,2,0.6846983908863927,0.2642313637364779
9,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6249425495887759,0.3019823516676863
26,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.5952430437733288,0.3102137500301977
14,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6448835334818598,0.2914259405361292
45,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6026503173255809,0.3170622630059221
39,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6368176538908247,0.3118662607042617
43,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,2,0.6643598517897407,0.2640255287066146
33,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.589329595118331,0.3233778861757172
29,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6360136501516683,0.3061425239411808
37,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.645972204971087,0.2943674142836094
21,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.612544520491736,0.2902253962035395
23,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6271970182284083,0.2745386974169133
19,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6817565561603167,0.285278816532851
30,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.644364012409514,0.2873490170343027
38,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6098778192203798,0.3161548392737665
41,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6740059112099698,0.2905388324934302
34,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,2,0.6457993759605085,0.3106114782157296
46,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6297500448577424,0.305529982437106
31,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6049287639584136,0.3059777548377265
18,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,2,0.6480379775725393,0.30100540379413426
