seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,max,1.0,pca,max,0.6857162905483808,0.4399725154669785
40,beta,1,max,1.0,pca,max,0.7249334021617213,0.4160423628403759
14,beta,1,max,1.0,pca,max,0.6491750661636353,0.4519195801362393
1,beta,1,max,1.0,pca,max,0.7086208778508322,0.4316992051086989
12,beta,1,max,1.0,pca,max,0.7493616482512482,0.400034862727583
24,beta,1,max,1.0,pca,max,0.712085843373494,0.4247815531427394
44,beta,1,max,1.0,pca,max,0.6813415037714103,0.4393098724846734
8,beta,1,max,1.0,pca,max,0.7040974764644351,0.4297175483600814
48,beta,1,max,1.0,pca,max,0.5829278949569789,0.4832390878997482
16,beta,1,max,1.0,pca,max,0.723296472399005,0.4147535711000197
4,beta,1,max,1.0,pca,max,0.6755126400618203,0.4494250611605191
20,beta,1,max,1.0,pca,max,0.6712400196373556,0.4301920269638289
28,beta,1,max,1.0,pca,max,0.7028205675904594,0.4380661672960327
36,beta,1,max,1.0,pca,max,0.6487364452423698,0.4547419145147369
32,beta,1,max,1.0,pca,max,0.6284730163157161,0.4642517102281399
2,beta,1,max,1.0,pca,max,0.6972163282897706,0.4196631233197295
9,beta,1,max,1.0,pca,max,0.7136920997515952,0.4235733954345593
6,beta,1,max,1.0,pca,max,0.6825786339905942,0.441219779943824
13,beta,1,max,1.0,pca,max,0.7288113891705338,0.4256533159312112
5,beta,1,max,1.0,pca,max,0.7214467174835477,0.4088724298306011
26,beta,1,max,1.0,pca,max,0.6694697884340991,0.43985130073205
23,beta,1,max,1.0,pca,max,0.7007906827723996,0.4244378095110878
18,beta,1,max,1.0,pca,max,0.7563306180497675,0.4091034410765559
15,beta,1,max,1.0,pca,max,0.6924433297494439,0.4410992457783576
22,beta,1,max,1.0,pca,max,0.6904832053455318,0.4333785270391152
47,beta,1,max,1.0,pca,max,0.7574000898977267,0.3962844006079463
19,beta,1,max,1.0,pca,max,0.7064725008266285,0.4224778212984197
38,beta,1,max,1.0,pca,max,0.7014221271301337,0.4239827063144386
43,beta,1,max,1.0,pca,max,0.671945176168993,0.4447922093152109
42,beta,1,max,1.0,pca,max,0.7231670104008723,0.423355735823707
29,beta,1,max,1.0,pca,max,0.7288415753824559,0.4214788095356044
46,beta,1,max,1.0,pca,max,0.7178613999310662,0.4270715324198111
30,beta,1,max,1.0,pca,max,0.6646309657671166,0.4522486795982878
17,beta,1,max,1.0,pca,max,0.6663172153635116,0.4534708216153698
41,beta,1,max,1.0,pca,max,0.710874979464022,0.4322547686199628
21,beta,1,max,1.0,pca,max,0.6489549093973873,0.4477610946294569
31,beta,1,max,1.0,pca,max,0.7453931367526015,0.4041402024850014
11,beta,1,max,1.0,pca,max,0.7094207316861689,0.4276631962327394
10,beta,1,max,1.0,pca,max,0.6929668562175824,0.431863476976287
35,beta,1,max,1.0,pca,max,0.7406795409809975,0.4163185592700639
39,beta,1,max,1.0,pca,max,0.718073844795916,0.4179144494266333
25,beta,1,max,1.0,pca,max,0.6498408106584125,0.4488324370148032
45,beta,1,max,1.0,pca,max,0.7197321854710168,0.4223293048224421
7,beta,1,max,1.0,pca,max,0.7785976593923614,0.3935400910427579
37,beta,1,max,1.0,pca,max,0.7251955403131741,0.4198990926550601
34,beta,1,max,1.0,pca,max,0.7151076650743229,0.4284693356517556
33,beta,1,max,1.0,pca,max,0.6937741972048032,0.4284402431508733
27,beta,1,max,1.0,pca,max,0.6279216469303655,0.462207048014357
3,beta,1,max,1.0,pca,max,0.6827253720329602,0.4424728739770098
49,beta,1,max,1.0,pca,max,0.6896840654358156,0.44131639291785624
