seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
2,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.632725289765194,0.3995907492972083
3,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6359420514152742,0.4245711462925385
6,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,5,0.585718140236068,0.5057946830240777
1,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6327855178615647,0.4361915265274753
0,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6266960789093096,0.4339634290253473
4,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5949036168806918,0.4363507947095582
5,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5803929449156456,0.4874176016887884
23,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6080309824704444,0.4225986243995577
45,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6110837449256495,0.443126297909836
43,bernoulli,54,none,1.0,0.1,raw,none,,54,31.0,50,0.6486408394048928,0.4142129732619143
30,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6231601172009652,0.4130692895731562
48,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6022011191490434,0.4247122653086937
26,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5792606888361045,0.4473133811275752
19,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6672835230084118,0.4004225555341498
34,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6357722488706747,0.4259366443090877
13,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6016317675910205,0.4435433329611686
38,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6100950183995167,0.4287491349080869
32,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6096592169476486,0.4161712641896813
25,bernoulli,54,none,1.0,0.1,raw,none,,54,31.0,50,0.6150591875168145,0.4237549890095091
11,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6282397701684914,0.4283173824963285
21,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6128317494706781,0.4063357116073113
17,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,20,0.631249936933028,0.473565134148624
24,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,5,0.5971594017265074,0.496184858831893
9,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6169388001935172,0.4187197311336348
44,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5777594655767245,0.4164057948126103
35,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,20,0.6112648608756817,0.4670704634416475
8,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5977594339622642,0.4294528493868197
14,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6430563857342101,0.4024014292732834
37,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6383840056675729,0.4228482323354631
10,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6403253260452627,0.4254707464142582
33,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.586800115444875,0.441223866415548
22,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6618692500696961,0.4257010113066314
29,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6352553083923155,0.4176405928645745
31,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6285404098746417,0.4083522177565825
46,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6213245906243418,0.4272960001544252
47,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5883013915357234,0.4468305045430444
39,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6458164924506388,0.424250835800022
49,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6164861985991693,0.4253083323737679
42,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6385847873189645,0.421538465986889
27,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.645990065296639,0.424025002032556
15,bernoulli,54,none,1.0,0.1,raw,none,,54,31.0,50,0.6764503800403658,0.39824737425715
41,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6752186233584204,0.3910856772979186
18,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6463135685630095,0.4193236592187144
7,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6299705387205387,0.4129151697000159
36,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6209132163314415,0.4359899072353861
40,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6663407192005243,0.4075387540187379
16,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,5,0.6163344333700013,0.4824352185338329
28,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6549776875250701,0.4377835070412785
12,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.607269854931316,0.4272248006691747
20,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6496098922258037,0.3857386142227199
