seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn,selected_knn_k
12,bernoulli,54,none,1.0,0.1,raw,54,0.584693958664547,0.458809790989494,
28,bernoulli,54,none,1.0,0.1,raw,54,0.5899338999055712,0.504834170922111,
18,bernoulli,54,none,1.0,0.1,raw,54,0.6034073094258279,0.4668025092259756,
40,bernoulli,54,none,1.0,0.1,raw,54,0.5233613547758285,0.4847640812900748,
0,bernoulli,54,none,1.0,0.1,raw,54,0.6211645620653409,0.4528861402836057,
22,bernoulli,54,none,1.0,0.1,raw,54,0.5945830473806737,0.4955019988492187,
24,bernoulli,54,none,1.0,0.1,raw,54,0.5694285031085604,0.5162342402567327,
6,bernoulli,54,none,1.0,0.1,raw,54,0.6141377269139701,0.4861911136401202,
2,bernoulli,54,none,1.0,0.1,raw,54,0.5989306294326241,0.4614474982746993,
34,bernoulli,54,none,1.0,0.1,raw,54,0.5571026470235956,0.49852731009202,
46,bernoulli,54,none,1.0,0.1,raw,54,0.5516287878787879,0.4713322878514169,
44,bernoulli,54,none,1.0,0.1,raw,54,0.5849197411697412,0.4519558819923286,
8,bernoulli,54,none,1.0,0.1,raw,54,0.600771015182382,0.472108886556895,
30,bernoulli,54,none,1.0,0.1,raw,54,0.5973652859608884,0.4685338634651391,
36,bernoulli,54,none,1.0,0.1,raw,54,0.5867842253355137,0.4762400489928952,
48,bernoulli,54,none,1.0,0.1,raw,54,0.5758632168815077,0.4876946244179573,
14,bernoulli,54,none,1.0,0.1,raw,54,0.6165538137047298,0.4295677018058072,
20,bernoulli,54,none,1.0,0.1,raw,54,0.599870458330763,0.4720502704726661,
4,bernoulli,54,none,1.0,0.1,raw,54,0.5854111220058833,0.4903128967623932,
10,bernoulli,54,none,1.0,0.1,raw,54,0.5394385026737968,0.4890458034066216,
26,bernoulli,54,none,1.0,0.1,raw,54,0.5868844633300164,0.4875100721639228,
38,bernoulli,54,none,1.0,0.1,raw,54,0.5263377455070242,0.5096383940840892,
16,bernoulli,54,none,1.0,0.1,raw,54,0.5817867036011081,0.4998590896651897,
32,bernoulli,54,none,1.0,0.1,raw,54,0.5293088694251484,0.4934696723591648,
13,bernoulli,54,none,1.0,0.1,raw,54,0.5837619625472297,0.4972041910943554,
29,bernoulli,54,none,1.0,0.1,raw,54,0.5730140361355831,0.4995638912395843,
1,bernoulli,54,none,1.0,0.1,raw,54,0.6048517234057611,0.4825152874288826,
19,bernoulli,54,none,1.0,0.1,raw,54,0.6189577305765295,0.4498293831357243,
7,bernoulli,54,none,1.0,0.1,raw,54,0.566079523687907,0.4812078606127595,
35,bernoulli,54,none,1.0,0.1,raw,54,0.6337023970652407,0.4770507656319966,
47,bernoulli,54,none,1.0,0.1,raw,54,0.6156763950945907,0.4493257809717884,
3,bernoulli,54,none,1.0,0.1,raw,54,0.5705853122317758,0.4792591468742089,
41,bernoulli,54,none,1.0,0.1,raw,54,0.5763213070654325,0.4815851437927996,
25,bernoulli,54,none,1.0,0.1,raw,54,0.5854234592976643,0.4998007317670095,
37,bernoulli,54,none,1.0,0.1,raw,54,0.5865328396024166,0.4668354672874934,
43,bernoulli,54,none,1.0,0.1,raw,54,0.5515068693558898,0.5019570435842302,
49,bernoulli,54,none,1.0,0.1,raw,54,0.5917878787878788,0.4670607806428952,
9,bernoulli,54,none,1.0,0.1,raw,54,0.5899324324324324,0.4622452175889472,
21,bernoulli,54,none,1.0,0.1,raw,54,0.5353492297226312,0.4856219852751605,
15,bernoulli,54,none,1.0,0.1,raw,54,0.6192284463234183,0.4588463920803498,
5,bernoulli,54,none,1.0,0.1,raw,54,0.5775046702852183,0.5072180863686853,
27,bernoulli,54,none,1.0,0.1,raw,54,0.5545148788310763,0.4981703810798502,
31,bernoulli,54,none,1.0,0.1,raw,54,0.5902732625343159,0.4507154658032014,
11,bernoulli,54,none,1.0,0.1,raw,54,0.5641342029496446,0.4917995649753537,
39,bernoulli,54,none,1.0,0.1,raw,54,0.6038809947940401,0.4850562749737743,
45,bernoulli,54,none,1.0,0.1,raw,54,0.585400155904898,0.4943206971651613,
23,bernoulli,54,none,1.0,0.1,raw,54,0.6024549026355789,0.4746547724357812,
17,bernoulli,54,none,1.0,0.1,raw,54,0.5873060950512285,0.5074939609036729,
33,bernoulli,54,none,1.0,0.1,raw,54,0.5356558494682302,0.4931686401154737,
42,bernoulli,54,none,1.0,0.1,raw,54,0.6551531022123346,0.3971152899806492,50.0
