seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
2,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6400863772802505,0.4790713294870964
1,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6363477886788576,0.4595744296958268
3,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6686038002705694,0.4504341931539938
0,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6199034061153308,0.4953383905280745
4,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6606474581884418,0.4553976124456305
32,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6158314739924696,0.4710990696696839
6,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6359947361608491,0.4592777045360253
8,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.665091878293042,0.4456272351501822
12,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6644494023686255,0.43813421057408
5,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.7098491248743303,0.4198627696469156
44,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6126338385821619,0.4628940372904621
20,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.656047159050822,0.4631931427002089
36,beta,1,max,1.0,0.1,raw,none,,max,286.0,20,2,0.6025565529622979,0.513477157992906
16,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6601943421712293,0.4697259439000361
48,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.5670325197179733,0.4905848371261186
40,beta,1,max,1.0,0.1,raw,none,,max,286.0,20,2,0.6330035306413786,0.4890658217003481
28,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6285514833265166,0.4969401460801909
24,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6297704330836861,0.4867641531890462
22,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6253838752991179,0.4681360038207622
38,beta,1,max,1.0,0.1,raw,none,,max,286.0,20,2,0.6334686658278547,0.4954572033025402
35,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.7080652484792596,0.4328476612668145
42,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6630273521839479,0.456060405425795
30,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6141245783358321,0.4725918686580915
18,beta,1,max,1.0,0.1,raw,none,,max,286.0,10,2,0.6550289551064167,0.4946764577620005
14,beta,1,max,1.0,0.1,raw,none,,max,286.0,10,2,0.5868367212868592,0.524597988161308
26,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6146096730421433,0.4916996733313905
15,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6411136672674952,0.4656967543032014
31,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.7113646485264132,0.4234491227022299
47,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.7137334760737005,0.419410340771466
34,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6751915662358446,0.4451760367390794
10,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.643649083356757,0.480180638466971
46,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6413906321806067,0.4835609085936415
7,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6961466707603573,0.4335313185001117
23,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.641249681446011,0.4496092881667436
43,beta,1,max,1.0,0.1,raw,none,,max,286.0,20,2,0.6122014647947975,0.5128635675363356
27,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.5585060317425128,0.5235327164319694
19,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6438192301333627,0.453248105919947
11,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.627360090564216,0.4638876017043757
39,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.670512178248527,0.4427105697874537
9,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6721932687156007,0.4426222567932478
17,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.6070212620027435,0.5019039322909009
33,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6227817522691074,0.4623192427503061
37,beta,1,max,1.0,0.1,raw,none,,max,286.0,20,2,0.6403703330959237,0.4892221007571976
25,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,2,0.5820342493281506,0.5051948276825091
49,beta,1,max,1.0,0.1,raw,none,,max,286.0,10,2,0.6086975159846864,0.5253833642620971
45,beta,1,max,1.0,0.1,raw,none,,max,286.0,20,2,0.6559216668017447,0.4798492065884612
41,beta,1,max,1.0,0.1,raw,none,,max,286.0,10,2,0.6156174005168507,0.5095530391878353
29,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6799377422018932,0.4382621733785808
21,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6362491220677061,0.4601096137722384
13,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,2,0.6580944750128497,0.45494971694400854
