seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
42,beta,54,none,1.0,0.1,raw,54,50,0.6822974601408973,0.2547358238854297
0,beta,54,none,1.0,0.1,raw,54,50,0.6892629335790701,0.2673202302085713
1,beta,54,none,1.0,0.1,raw,54,50,0.6370833038431594,0.2798465574838288
22,beta,54,none,1.0,0.1,raw,54,50,0.6071515078115538,0.2925065654645427
9,beta,54,none,1.0,0.1,raw,54,20,0.6246072635135135,0.2835640810324819
37,beta,54,none,1.0,0.1,raw,54,50,0.6510499000267076,0.2648780502343533
25,beta,54,none,1.0,0.1,raw,54,50,0.6485399393999934,0.2832536718049734
38,beta,54,none,1.0,0.1,raw,54,50,0.6131117475064077,0.2933858699491469
13,beta,54,none,1.0,0.1,raw,54,50,0.6657795305992995,0.2534504540704064
43,beta,54,none,1.0,0.1,raw,54,50,0.6533967734642034,0.2745437994158307
7,beta,54,none,1.0,0.1,raw,54,50,0.6207540543991827,0.2625669144311775
2,beta,54,none,1.0,0.1,raw,54,50,0.6829644756838906,0.2465229379077358
21,beta,54,none,1.0,0.1,raw,54,50,0.6060433835369897,0.2552723009686901
39,beta,54,none,1.0,0.1,raw,54,50,0.6697778516886321,0.2848662770204991
17,beta,54,none,1.0,0.1,raw,54,20,0.6440041602431235,0.3009697954826903
30,beta,54,none,1.0,0.1,raw,54,50,0.6749357732735776,0.2525044552485523
5,beta,54,none,1.0,0.1,raw,54,20,0.5796632981774855,0.2978429073889763
19,beta,54,none,1.0,0.1,raw,54,50,0.6938024839460871,0.250346718210203
18,beta,54,none,1.0,0.1,raw,54,50,0.6733947351231302,0.2579669345350518
3,beta,54,none,1.0,0.1,raw,54,50,0.6025915162101523,0.2687511072579573
15,beta,54,none,1.0,0.1,raw,54,50,0.7170126830741355,0.2607402158512621
46,beta,54,none,1.0,0.1,raw,54,50,0.6222575757575758,0.2684927712937884
33,beta,54,none,1.0,0.1,raw,54,50,0.572026999769479,0.2987723953040966
6,beta,54,none,1.0,0.1,raw,54,50,0.6240134175217049,0.2740978034018436
31,beta,54,none,1.0,0.1,raw,54,50,0.6480096806819824,0.2576887961028203
35,beta,54,none,1.0,0.1,raw,54,10,0.626927599902372,0.3057390919211005
27,beta,54,none,1.0,0.1,raw,54,50,0.6481869208838205,0.2663809593702999
11,beta,54,none,1.0,0.1,raw,54,50,0.6298252083486982,0.2615386855884494
26,beta,54,none,1.0,0.1,raw,54,50,0.6390151413280262,0.2660544794194123
47,beta,54,none,1.0,0.1,raw,54,20,0.6552619070253826,0.2706331589241967
41,beta,54,none,1.0,0.1,raw,54,50,0.6556392910831553,0.2567411907926451
34,beta,54,none,1.0,0.1,raw,54,50,0.6318763581609431,0.2769802962561436
23,beta,54,none,1.0,0.1,raw,54,50,0.6727035475637386,0.2637102876162753
29,beta,54,none,1.0,0.1,raw,54,50,0.657761864394176,0.278154383939495
48,beta,54,none,1.0,0.1,raw,54,50,0.6421556841930056,0.2623417541946007
10,beta,54,none,1.0,0.1,raw,54,5,0.6179515745692216,0.3014517778506791
14,beta,54,none,1.0,0.1,raw,54,50,0.6798547000677955,0.2651364939426993
24,beta,54,none,1.0,0.1,raw,54,50,0.656611669057867,0.2819643749720788
28,beta,54,none,1.0,0.1,raw,54,50,0.6531948378973875,0.2846826251855204
44,beta,54,none,1.0,0.1,raw,54,50,0.6011636636636637,0.2581478885081072
20,beta,54,none,1.0,0.1,raw,54,50,0.7133582135586948,0.2478143247703147
8,beta,54,none,1.0,0.1,raw,54,50,0.650426028639831,0.2613609629756295
32,beta,54,none,1.0,0.1,raw,54,50,0.6406758616060941,0.2552239338654416
36,beta,54,none,1.0,0.1,raw,54,50,0.6290604145489901,0.2626571343910264
49,beta,54,none,1.0,0.1,raw,54,50,0.6847272727272726,0.2489036945348331
4,beta,54,none,1.0,0.1,raw,54,50,0.625445518357691,0.2633103612092625
16,beta,54,none,1.0,0.1,raw,54,5,0.6426038781163436,0.3154494807880147
12,beta,54,none,1.0,0.1,raw,54,20,0.645079491255962,0.2811758420451842
40,beta,54,none,1.0,0.1,raw,54,50,0.6255743525480368,0.2731047513033409
45,beta,54,none,1.0,0.1,raw,54,20,0.6418986949618557,0.29554105018323035
