seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
42,beta,54,none,1.0,0.1,raw,54,50,0.540654739834384,0.2794635915355862,18,2,30,2
0,beta,54,none,1.0,0.1,raw,54,50,0.5613274106924306,0.294274624093995,7,2,30,2
1,beta,54,none,1.0,0.1,raw,54,50,0.5509731757378442,0.278374997839994,2,2,30,2
22,beta,54,none,1.0,0.1,raw,54,50,0.4940690054230081,0.3680925780495543,4,2,30,2
9,beta,54,none,1.0,0.1,raw,54,20,0.5578631756756757,0.2734933796051718,10,2,30,2
37,beta,54,none,1.0,0.1,raw,54,50,0.4816872026967524,0.3518044486894165,20,2,30,2
25,beta,54,none,1.0,0.1,raw,54,50,0.5265607831385476,0.328077869209342,12,2,30,2
38,beta,54,none,1.0,0.1,raw,54,50,0.5612856187190415,0.2886884821346314,2,2,30,2
13,beta,54,none,1.0,0.1,raw,54,50,0.4830904051407926,0.3447120814753474,17,2,30,2
43,beta,54,none,1.0,0.1,raw,54,50,0.4903642820093365,0.3417094309529913,18,2,30,2
7,beta,54,none,1.0,0.1,raw,54,50,0.5209025028731962,0.3058220695652699,5,2,30,2
2,beta,54,none,1.0,0.1,raw,54,50,0.5329834726443768,0.3657434760611538,29,2,30,2
21,beta,54,none,1.0,0.1,raw,54,50,0.4848915411575258,0.3686928632080662,25,2,30,2
39,beta,54,none,1.0,0.1,raw,54,50,0.5021896090577751,0.3168519260349761,3,2,30,2
17,beta,54,none,1.0,0.1,raw,54,20,0.5358673443043763,0.3192417110750147,10,2,30,2
30,beta,54,none,1.0,0.1,raw,54,50,0.5398205703819565,0.3017466397979353,12,2,30,2
5,beta,54,none,1.0,0.1,raw,54,20,0.5253776679463984,0.2989280508678654,20,2,30,2
19,beta,54,none,1.0,0.1,raw,54,50,0.4676760637922517,0.3500452787198323,29,2,30,2
18,beta,54,none,1.0,0.1,raw,54,50,0.5835660395845581,0.2817448792106468,23,2,30,2
3,beta,54,none,1.0,0.1,raw,54,50,0.4893990272402837,0.3624236536198214,4,2,30,2
15,beta,54,none,1.0,0.1,raw,54,50,0.5263777744224671,0.3294691868087795,29,2,30,2
46,beta,54,none,1.0,0.1,raw,54,50,0.4765037878787879,0.3692147115001422,24,2,30,2
33,beta,54,none,1.0,0.1,raw,54,50,0.5190612033195021,0.373843017568479,25,2,30,2
6,beta,54,none,1.0,0.1,raw,54,50,0.487920941857406,0.3571396635968613,3,2,30,2
31,beta,54,none,1.0,0.1,raw,54,50,0.5513247724317296,0.2754268487143713,6,2,30,2
35,beta,54,none,1.0,0.1,raw,54,10,0.5827028186410467,0.2954366372589949,4,2,30,2
27,beta,54,none,1.0,0.1,raw,54,50,0.505583273936802,0.2979063765320369,15,2,30,2
11,beta,54,none,1.0,0.1,raw,54,50,0.5803193450844457,0.2957762664278357,19,2,30,2
26,beta,54,none,1.0,0.1,raw,54,50,0.4989040690638194,0.3016681476200135,13,2,30,2
47,beta,54,none,1.0,0.1,raw,54,20,0.5443245555661185,0.3197030340170056,18,2,30,2
41,beta,54,none,1.0,0.1,raw,54,50,0.5737053959965187,0.2880857176699042,15,2,30,2
34,beta,54,none,1.0,0.1,raw,54,50,0.5274455452321065,0.2755699115205516,2,2,30,2
23,beta,54,none,1.0,0.1,raw,54,50,0.5262769221944994,0.3324624011106459,11,2,30,2
29,beta,54,none,1.0,0.1,raw,54,50,0.5122399202843588,0.3470406063936284,13,2,30,2
48,beta,54,none,1.0,0.1,raw,54,50,0.5502071350631577,0.2730910422385907,6,2,30,2
10,beta,54,none,1.0,0.1,raw,54,5,0.5543263517528223,0.3006599726726499,14,2,30,2
14,beta,54,none,1.0,0.1,raw,54,50,0.5423721720498506,0.2858594949559921,5,2,30,2
24,beta,54,none,1.0,0.1,raw,54,50,0.519335844093735,0.2978152768905244,20,2,30,2
28,beta,54,none,1.0,0.1,raw,54,50,0.5295058231035568,0.3237346113811583,2,2,30,2
44,beta,54,none,1.0,0.1,raw,54,50,0.545956670956671,0.2979527286008982,21,2,30,2
20,beta,54,none,1.0,0.1,raw,54,50,0.5140182592067115,0.3690107611648075,13,2,30,2
8,beta,54,none,1.0,0.1,raw,54,50,0.4702003003762138,0.3151004005501313,6,2,30,2
32,beta,54,none,1.0,0.1,raw,54,50,0.5139811738648947,0.3764980118484994,7,2,30,2
36,beta,54,none,1.0,0.1,raw,54,50,0.5075020992619438,0.3546051181790681,30,2,30,2
49,beta,54,none,1.0,0.1,raw,54,50,0.554375,0.3004630374811752,3,2,30,2
4,beta,54,none,1.0,0.1,raw,54,50,0.5550341628924064,0.29813064257962,11,2,30,2
16,beta,54,none,1.0,0.1,raw,54,5,0.4831786703601107,0.3113208458790173,27,2,30,2
12,beta,54,none,1.0,0.1,raw,54,20,0.5236367249602544,0.364713327756649,19,2,30,2
40,beta,54,none,1.0,0.1,raw,54,50,0.4888610414926205,0.2848632430637924,6,2,30,2
45,beta,54,none,1.0,0.1,raw,54,20,0.5854341736694678,0.2984777403459897,28,2,30,2
