seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
3,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6293869142786865,0.4619181917098736
2,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6451562926371466,0.4873590840345549
1,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5846376104376414,0.4694178433173559
0,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6073859066030922,0.4684215189451657
4,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.621184522823867,0.4762360908950236
8,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6173799976754997,0.4554983335541978
32,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5959189792218658,0.4966011156224023
7,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6296387775416473,0.4600055940173884
6,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5961937840675382,0.470945731042366
35,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6575982015592415,0.4532118089327588
15,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5932614974333028,0.4842967770079925
47,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6381831786870626,0.4514034387085687
31,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6307919735666516,0.446524810295007
22,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6132165172986176,0.4619812220972462
38,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6262845283286147,0.4449441959452225
26,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,0.6038538088922973,0.4866234062946757
43,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.622007583021299,0.448533921060454
18,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6572570575167085,0.4513444446626254
39,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6059585152317565,0.4449525013765994
27,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5924728620084746,0.5200313083228462
19,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6308032762041221,0.4319455549846627
30,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5943817153923039,0.4637077780419837
11,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6339391063859009,0.4772390659752308
5,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6814895121068116,0.430610463100498
23,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5950882820960284,0.4612763177915421
42,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.636315056080829,0.4878786029052231
14,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5994894607429098,0.4865343200618094
34,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6331215596886443,0.4890009039946549
10,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6377295211737262,0.493795930561024
46,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6396307851753983,0.4932831573207788
12,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6146832878793582,0.4502680092990143
16,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6476084033989123,0.4287676936577522
48,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,0.5862175848470363,0.4661961924311105
44,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5909431110090814,0.4880193847368766
28,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.619002697324844,0.4824550787120832
20,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6443235401331107,0.4394786233921977
36,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6103852782764811,0.5173506038745199
40,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6384081523401652,0.4442914500340476
24,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6116567621838707,0.4459070452988403
17,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5481913580246913,0.5105228573112268
9,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6549778383907262,0.4685301424047873
33,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6276593583928306,0.4492193802538887
25,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.60383749040215,0.4661049443076198
37,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6090525939574108,0.4935508948279643
49,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6261703692223479,0.5411781865552188
29,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.6445418546047477,0.4425249524004804
41,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5628341586245798,0.4867806684563155
45,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.627777727748911,0.4683359860902821
21,beta,1,max,1.0,0.1,raw,none,,max,286.0,5,0.6439485882848714,0.4437607951933127
13,beta,1,max,1.0,0.1,raw,none,,max,286.0,50,0.5568110909223143,0.56208338143886
