seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch
3,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.541209049353578,0.3249792234492175
7,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5499537037037037,0.3082620189756889
6,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5653726894283316,0.3189730901354657
2,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.558124117873487,0.2680119109914138
1,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5808016960123725,0.3303823818135514
5,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.572384832862132,0.3168499978489129
0,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.55696387656608,0.3248709243520231
4,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6147883210280866,0.3140401082573192
8,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5421973270440252,0.3189073655680424
11,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5938504542278127,0.3052956795720045
18,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6087214521552576,0.3123276712192073
12,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.61916922414867,0.3262312372519811
19,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5993023255813953,0.307609376354046
39,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5547224157955866,0.3331983809675652
34,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.63139756904019,0.3016218477859859
43,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5552389153909782,0.2992243290672394
31,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6096724853463399,0.3034071307399868
15,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5387003171604022,0.288523015935515
30,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5762797311271974,0.3049004617454208
23,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5701444295614699,0.3067554331844714
35,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5490019718407306,0.29929264590373
47,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.609255330624573,0.317783361185027
27,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5740495933982294,0.3286375969198777
42,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5958123584705863,0.3015753555522493
38,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5172336314204826,0.3283956297219785
46,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5920441868266464,0.3262749469105519
14,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6018561285297688,0.3140279727194985
22,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5365338374686367,0.3350004945758471
26,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5741559212758739,0.3286685982067721
9,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.6024159409772618,0.3139005271803897
10,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.591774149725099,0.3209777297571728
16,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5797971043479226,0.330277850878987
25,beta,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5568872746838849,0.325638077284767
28,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5537881066987566,0.3486003807220361
24,beta,54,none,1.0,0.1,raw,none,,54,29.0,5,0.5249953301578406,0.3410205307615292
41,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5697492306285993,0.3059507007108327
49,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5959507716829892,0.316796791744574
17,beta,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5748932906832424,0.3281214918221535
36,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5937148536604504,0.3232486182549869
44,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6232140110312699,0.3040977418986613
20,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5335007359031034,0.2882266719192241
37,beta,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5786904778334414,0.3153892821896863
21,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5889890087044058,0.3077891641087929
48,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6007423184533561,0.3223261458471002
45,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5444761598986669,0.3291796356776934
40,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5773365825688074,0.3247007441091279
32,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5936159790002957,0.304402242299116
13,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5972500900344703,0.3078703913008784
29,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5650631951466127,0.3427072227405923
33,beta,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5757235919848273,0.324069781722803
