n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,0,0.002,2068,0.399777030640474,0.7164115707477214,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4679984748363495, 0.4619789123535156, 0.46567389369010925, 0.47069251537323, 0.46240413188934326, 0.4699348211288452, 0.4589797258377075, 0.4608945846557617, 0.472344309091568, 0.46087944507598877, 0.46857526898384094, 0.4746912121772766, 0.47046080231666565, 0.4605402648448944, 0.4596604108810425, 0.46297842264175415, 0.4687627851963043, 0.474212646484375, 0.46193259954452515, 0.4660423696041107, 0.46011582016944885, 0.47034427523612976, 0.4683489203453064, 0.464415580034256, 0.46762046217918396, 0.4596739113330841, 0.47003796696662903, 0.4648337662220001, 0.47255197167396545, 0.4696987569332123]",raw,Pre-max
1,bernoulli,6,0.004,2062,0.4069991357182598,0.7207248092607209,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.39603230357170105, 0.3995983898639679, 0.3957044184207916, 0.3904262185096741, 0.39924734830856323, 0.4036221206188202, 0.40147316455841064, 0.39983418583869934, 0.40159669518470764, 0.3967292308807373, 0.38991662859916687, 0.4030802845954895, 0.3908284902572632, 0.3925916254520416, 0.39059650897979736, 0.40190666913986206, 0.40138164162635803, 0.3910733759403229, 0.4015897214412689, 0.3998313844203949, 0.3898572623729706, 0.4002183675765991, 0.39437150955200195, 0.39076223969459534, 0.4029116630554199, 0.40260300040245056, 0.4009138345718384, 0.39226847887039185, 0.3981197774410248, 0.40010866522789]",raw,Pre-max
1,bernoulli,40,0.005,2104,0.3874588252311023,0.5993890977443609,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.36502155661582947, 0.3653073310852051, 0.35910871624946594, 0.36374667286872864, 0.3590644896030426, 0.3687686622142792, 0.35852205753326416, 0.35676077008247375, 0.3599337637424469, 0.3634730875492096, 0.3566094636917114, 0.3593674302101135, 0.36128491163253784, 0.36785829067230225, 0.36905011534690857, 0.3687041103839874, 0.3675170838832855, 0.36508819460868835, 0.3591788411140442, 0.3650261163711548, 0.3591453731060028, 0.36449000239372253, 0.36584195494651794, 0.35564151406288147, 0.36065804958343506, 0.3635319769382477, 0.35947051644325256, 0.36360031366348267, 0.3650757968425751, 0.3647720217704773]",raw,Pre-max
1,bernoulli,1,0.002,2052,0.4502175546973009,0.5663599688583765,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.46878600120544434, 0.473070353269577, 0.4668268859386444, 0.47038695216178894, 0.4592199921607971, 0.4689476788043976, 0.46895790100097656, 0.4716188907623291, 0.4701438546180725, 0.46025148034095764, 0.46835798025131226, 0.4682052731513977, 0.4705911874771118, 0.47071829438209534, 0.4692336320877075, 0.46142396330833435, 0.4626527428627014, 0.4703366458415985, 0.46335139870643616, 0.47108766436576843, 0.46978846192359924, 0.46616798639297485, 0.46745845675468445, 0.46095845103263855, 0.4638775587081909, 0.4662095010280609, 0.4704515039920807, 0.46064239740371704, 0.46774518489837646, 0.4599402844905853]",raw,Pre-max
1,bernoulli,30,0.01,2023,0.3837975265695565,0.7246314561029573,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.18258531391620636, 0.1907549798488617, 0.18214218318462372, 0.18279510736465454, 0.1904551088809967, 0.1894187480211258, 0.1897684633731842, 0.18968847393989563, 0.1894822120666504, 0.1904243528842926, 0.19073906540870667, 0.1851094663143158, 0.18883870542049408, 0.183970108628273, 0.19027014076709747, 0.18507930636405945, 0.18484169244766235, 0.18415634334087372, 0.183892160654068, 0.1857338398694992, 0.1827441304922104, 0.18546734750270844, 0.18639078736305237, 0.18737557530403137, 0.19334715604782104, 0.18165110051631927, 0.18925166130065918, 0.19514720141887665, 0.1928854137659073, 0.19347050786018372]",raw,Pre-max
1,bernoulli,46,0.006,1998,0.4215622201611811,0.5695454545454546,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.32213494181632996, 0.3217177391052246, 0.32880285382270813, 0.33059024810791016, 0.3294265568256378, 0.3237494230270386, 0.32910090684890747, 0.32715699076652527, 0.3285995423793793, 0.33386725187301636, 0.3217698037624359, 0.3245963454246521, 0.330729603767395, 0.3294329047203064, 0.32917550206184387, 0.32335567474365234, 0.3212526738643646, 0.32194963097572327, 0.32857197523117065, 0.3211435377597809, 0.3246605694293976, 0.3295287489891052, 0.329178124666214, 0.32981663942337036, 0.3250521123409271, 0.3303087055683136, 0.3294406235218048, 0.3299916684627533, 0.32144638895988464, 0.3292134404182434]",raw,Pre-max
1,bernoulli,2,0.01,2132,0.4069902388400369,0.6669911980749746,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.1953558623790741, 0.19433054327964783, 0.18927663564682007, 0.1881810575723648, 0.18472397327423096, 0.1862248182296753, 0.1875389963388443, 0.18896809220314026, 0.18657907843589783, 0.18497523665428162, 0.19469544291496277, 0.18413004279136658, 0.19241203367710114, 0.18671667575836182, 0.18928930163383484, 0.18672716617584229, 0.18516315519809723, 0.18578828871250153, 0.18670718371868134, 0.1877078264951706, 0.18515750765800476, 0.19521856307983398, 0.18692907691001892, 0.1835368126630783, 0.1876523494720459, 0.18332912027835846, 0.19540798664093018, 0.18426865339279175, 0.19046789407730103, 0.19295388460159302]",raw,Pre-max
1,bernoulli,34,0.004,2070,0.3925514781505725,0.646972263573054,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3913872539997101, 0.4012085795402527, 0.39947929978370667, 0.3918642997741699, 0.39913269877433777, 0.39877909421920776, 0.3917633593082428, 0.39952796697616577, 0.3930715322494507, 0.40001368522644043, 0.3977682888507843, 0.40116143226623535, 0.39256107807159424, 0.4053111970424652, 0.4044191837310791, 0.4018017053604126, 0.40573883056640625, 0.3998716175556183, 0.3916032612323761, 0.39447686076164246, 0.4017561972141266, 0.3911617398262024, 0.39682066440582275, 0.40242114663124084, 0.3984953463077545, 0.39234843850135803, 0.40344083309173584, 0.3992176949977875, 0.392937570810318, 0.4045083522796631]",raw,Pre-max
1,bernoulli,18,0.006,2092,0.4149513241648044,0.6610408909791625,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.321092426776886, 0.3316945433616638, 0.33301660418510437, 0.3303638994693756, 0.32949209213256836, 0.33073410391807556, 0.321696937084198, 0.3293909430503845, 0.3343348205089569, 0.32091376185417175, 0.3245208263397217, 0.3307027518749237, 0.3247133493423462, 0.321018248796463, 0.33065569400787354, 0.33338508009910583, 0.3313367962837219, 0.32973313331604004, 0.32161882519721985, 0.33184894919395447, 0.32282495498657227, 0.32800620794296265, 0.32937246561050415, 0.3234701454639435, 0.33428195118904114, 0.32440972328186035, 0.32408207654953003, 0.32681137323379517, 0.3229016065597534, 0.32631146907806396]",raw,Pre-max
1,bernoulli,28,0.002,2193,0.4238196868759668,0.6692351274787536,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.46871697902679443, 0.46067917346954346, 0.4612372815608978, 0.4724671542644501, 0.46979764103889465, 0.45977890491485596, 0.4677668511867523, 0.4590766131877899, 0.47197747230529785, 0.46124210953712463, 0.4712572693824768, 0.4691533148288727, 0.4694611132144928, 0.4667448401451111, 0.47416070103645325, 0.46459510922431946, 0.4743981957435608, 0.4583575129508972, 0.458678662776947, 0.47179317474365234, 0.46228721737861633, 0.45974233746528625, 0.4589453637599945, 0.46246659755706787, 0.4693014919757843, 0.4679873287677765, 0.4738359749317169, 0.471739798784256, 0.46991679072380066, 0.47130754590034485]",raw,Pre-max
