n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,0,0.002,external_raw_frozen_v1,external_frozen,0,none,,286.0,5846,0.434004168398128,0.7485848071716339,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8644790649414062, 2.394338369369507, 2.465024471282959, 2.6611833572387695, 2.859358310699463, 2.1340034008026123, 2.850234031677246, 2.4743845462799072, 2.0791068077087402, 2.997105598449707, 2.819669485092163, 3.026395797729492, 2.9890637397766113, 2.2892000675201416, 2.1075398921966553, 2.4169957637786865, 2.981499195098877, 3.333143949508667, 2.954833507537842, 2.9136242866516113, 3.358577251434326, 3.058396339416504, 3.020066022872925, 2.2562320232391357, 2.571545124053955, 2.8280820846557617, 2.9638149738311768, 2.2883143424987793, 2.1083672046661377, 2.233882188796997]",raw,286,Pre-max
1,beta,14,0.002,external_raw_frozen_v1,external_frozen,0,none,,286.0,5980,0.4708473649367556,0.650017831334347,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.2856340408325195, 2.192659616470337, 2.79199481010437, 2.6693201065063477, 2.2031362056732178, 2.352405309677124, 2.218518018722534, 2.960932493209839, 3.0595481395721436, 2.8105478286743164, 2.295689105987549, 2.7673938274383545, 2.8637709617614746, 2.1570847034454346, 2.799349546432495, 2.2602381706237793, 2.9928181171417236, 3.060208797454834, 2.1690921783447266, 2.8809094429016113, 2.941603422164917, 2.91306209564209, 2.4965569972991943, 2.728533983230591, 2.5870189666748047, 2.9430863857269287, 3.0687103271484375, 2.8641316890716553, 2.515717029571533, 2.1209118366241455]",raw,286,Pre-max
1,beta,28,0.002,external_raw_frozen_v1,external_frozen,0,none,,286.0,5926,0.4270178833874931,0.7459993275218101,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5594520568847656, 2.3514583110809326, 2.1633105278015137, 2.821234941482544, 2.3094308376312256, 2.149519681930542, 3.196302652359009, 2.668013095855713, 2.846566677093506, 2.0793046951293945, 2.504823923110962, 2.2506515979766846, 2.5966603755950928, 2.444225549697876, 2.0814833641052246, 2.231966972351074, 2.0398592948913574, 2.3362462520599365, 2.1451761722564697, 2.1128413677215576, 2.5721874237060547, 2.5023415088653564, 2.596487522125244, 2.700094699859619, 2.192016124725342, 2.2340526580810547, 3.2770564556121826, 3.117753267288208, 2.548459053039551, 2.1424098014831543]",raw,286,Pre-max
1,beta,6,0.004,external_raw_frozen_v1,external_frozen,0,none,,286.0,5887,0.4479021432281508,0.7001804950309933,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3721554279327393, 2.6024537086486816, 2.9152870178222656, 2.164715051651001, 2.131739854812622, 2.8728675842285156, 3.0106089115142822, 2.543123960494995, 2.7659292221069336, 2.0648491382598877, 2.312243700027466, 2.023268938064575, 2.0190682411193848, 2.10322642326355, 2.0553762912750244, 2.059051513671875, 2.6927261352539062, 2.636974573135376, 2.8305325508117676, 2.8302550315856934, 2.78484845161438, 2.6297848224639893, 2.042435646057129, 2.716219425201416, 3.2019731998443604, 2.897594451904297, 3.1915411949157715, 2.617720127105713, 2.1007564067840576, 3.119414806365967]",raw,286,Pre-max
1,beta,20,0.004,external_raw_frozen_v1,external_frozen,0,none,,286.0,5842,0.4295568614385955,0.7025322781684343,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.0335543155670166, 2.360055685043335, 2.7934911251068115, 2.2248682975769043, 2.0763449668884277, 2.589480400085449, 2.8081624507904053, 2.2934799194335938, 2.7148396968841553, 2.8011574745178223, 2.866314649581909, 2.041550636291504, 2.75612211227417, 2.050614833831787, 2.7056121826171875, 2.4004440307617188, 2.7191832065582275, 2.0971133708953857, 2.722386121749878, 3.02980375289917, 2.1854798793792725, 2.288691520690918, 2.4822797775268555, 2.6587350368499756, 2.823323965072632, 2.6602563858032227, 2.902167797088623, 2.9502017498016357, 2.172144889831543, 3.331613779067993]",raw,286,Pre-max
1,beta,42,0.002,external_raw_frozen_v1,external_frozen,0,none,,286.0,5772,0.4308874022566685,0.7296713935836137,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8120923042297363, 2.101732015609741, 2.935408115386963, 2.364957571029663, 2.7925899028778076, 3.1835410594940186, 2.407414197921753, 2.8998098373413086, 2.739147901535034, 2.4561374187469482, 2.751777172088623, 2.4227919578552246, 2.872889518737793, 3.052417278289795, 2.6645469665527344, 2.5855138301849365, 2.902057647705078, 2.503412961959839, 2.5074355602264404, 2.0935351848602295, 2.3789467811584473, 2.9409217834472656, 2.3151350021362305, 2.489631175994873, 2.2899441719055176, 2.6244237422943115, 2.144993305206299, 2.0439412593841553, 2.271923303604126, 2.858410596847534]",raw,286,Pre-max
1,beta,34,0.004,external_raw_frozen_v1,external_frozen,0,none,,286.0,5831,0.4356247357623531,0.7470213268992942,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8484439849853516, 2.7899184226989746, 2.153632402420044, 2.033475875854492, 2.464496374130249, 2.6918203830718994, 2.5669820308685303, 2.8194825649261475, 2.6348352432250977, 2.6871938705444336, 2.6832711696624756, 2.823168992996216, 2.04774808883667, 2.119292974472046, 2.539015054702759, 2.4102141857147217, 3.0153777599334717, 2.1519992351531982, 2.729832410812378, 2.5687427520751953, 2.25817608833313, 2.635099411010742, 2.4219369888305664, 2.805067777633667, 2.8326845169067383, 2.696542978286743, 2.177682399749756, 2.040813446044922, 2.6943554878234863, 2.1249611377716064]",raw,286,Pre-max
1,beta,12,0.005,external_raw_frozen_v1,external_frozen,0,none,,286.0,5844,0.4025677918274516,0.7742975735447599,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.714906692504883, 3.277620792388916, 2.021318197250366, 2.6525895595550537, 2.1565604209899902, 2.3289356231689453, 2.5103020668029785, 2.8200535774230957, 2.662456512451172, 2.6745009422302246, 2.2708234786987305, 2.53686261177063, 2.5659847259521484, 2.2443735599517822, 2.1497249603271484, 2.6167421340942383, 2.834573268890381, 2.8936264514923096, 2.5572762489318848, 3.090031147003174, 2.346595048904419, 2.557813882827759, 2.928983688354492, 2.534240484237671, 2.396881103515625, 2.720327138900757, 2.150134563446045, 2.196248769760132, 2.257551431655884, 2.3593709468841553]",raw,286,Pre-max
1,beta,15,0.002,external_raw_frozen_v1,external_frozen,0,none,,286.0,5805,0.4407055787882246,0.7256684217183696,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.356631278991699, 3.2589950561523438, 2.255156993865967, 2.54557466506958, 2.703338623046875, 2.331629514694214, 2.3361434936523438, 2.6082260608673096, 2.838554859161377, 2.453770399093628, 2.7390496730804443, 2.3955087661743164, 2.739661931991577, 3.3499131202697754, 2.3227269649505615, 2.2731175422668457, 2.472642183303833, 2.7976279258728027, 2.649421453475952, 2.973196029663086, 2.17551851272583, 2.784416913986206, 3.250426769256592, 2.9531779289245605, 2.8239569664001465, 2.7015457153320312, 2.3272194862365723, 2.553717613220215, 2.5746989250183105, 2.4127652645111084]",raw,286,Pre-max
1,beta,1,0.002,external_raw_frozen_v1,external_frozen,0,none,,286.0,5802,0.4442972355011547,0.7229504828436408,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.755512237548828, 2.099494695663452, 2.8519515991210938, 2.629976272583008, 3.1450252532958984, 2.6184937953948975, 2.3921236991882324, 2.8274850845336914, 2.1016907691955566, 2.6346523761749268, 2.7643520832061768, 2.3397083282470703, 2.1100831031799316, 3.0456371307373047, 2.6678638458251953, 2.342351198196411, 2.3375978469848633, 2.76971435546875, 2.8536479473114014, 2.6655609607696533, 2.8712880611419678, 2.0807619094848633, 2.1027908325195312, 2.9783027172088623, 2.1695704460144043, 2.24588680267334, 2.7985594272613525, 2.0874972343444824, 2.0847833156585693, 2.163612127304077]",raw,286,Pre-max
