seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,0.25,pca,54,0.6708506716965918,0.4249616486411671
4,bernoulli,54,none,1.0,0.25,pca,54,0.6189281100683258,0.4501879312899005
20,bernoulli,54,none,1.0,0.25,pca,54,0.6540582012213929,0.4330505714761125
8,bernoulli,54,none,1.0,0.25,pca,54,0.61464110990498,0.4529105040520807
24,bernoulli,54,none,1.0,0.25,pca,54,0.5987326637972262,0.4779333971111093
16,bernoulli,54,none,1.0,0.25,pca,54,0.6720637119113574,0.4393695158365208
12,bernoulli,54,none,1.0,0.25,pca,54,0.6099085850556439,0.4459358002510638
44,bernoulli,54,none,1.0,0.25,pca,54,0.6403680466180466,0.4029698916267829
28,bernoulli,54,none,1.0,0.25,pca,54,0.6278092540132201,0.4682621960841382
32,bernoulli,54,none,1.0,0.25,pca,54,0.5879601664485385,0.4406227314667438
40,bernoulli,54,none,1.0,0.25,pca,54,0.6570723684210527,0.4055642796402566
48,bernoulli,54,none,1.0,0.25,pca,54,0.6273926873925024,0.4110264221409035
36,bernoulli,54,none,1.0,0.25,pca,54,0.6463296062226543,0.4363517338197806
11,bernoulli,54,none,1.0,0.25,pca,54,0.6118740320082603,0.4559852498224573
1,bernoulli,54,none,1.0,0.25,pca,54,0.6801684478731688,0.4240630417316437
7,bernoulli,54,none,1.0,0.25,pca,54,0.684738539139318,0.4065282492317588
3,bernoulli,54,none,1.0,0.25,pca,54,0.5914748001023957,0.4573907009222819
19,bernoulli,54,none,1.0,0.25,pca,54,0.6403658880812928,0.4339242483217472
15,bernoulli,54,none,1.0,0.25,pca,54,0.7033859278272685,0.4196116521358404
43,bernoulli,54,none,1.0,0.25,pca,54,0.6201439040285148,0.4635874497024418
5,bernoulli,54,none,1.0,0.25,pca,54,0.5933174470088111,0.4566026781172793
35,bernoulli,54,none,1.0,0.25,pca,54,0.6520150583919472,0.4246029078632423
9,bernoulli,54,none,1.0,0.25,pca,54,0.6386275337837837,0.4237537934125051
21,bernoulli,54,none,1.0,0.25,pca,54,0.558879502613518,0.4381831659459881
17,bernoulli,54,none,1.0,0.25,pca,54,0.5996688033399967,0.452023169547156
18,bernoulli,54,none,1.0,0.25,pca,54,0.6090167548500882,0.4320372403438328
6,bernoulli,54,none,1.0,0.25,pca,54,0.632803867403315,0.4657178562178511
25,bernoulli,54,none,1.0,0.25,pca,54,0.6401591582592481,0.4529990810517596
13,bernoulli,54,none,1.0,0.25,pca,54,0.6569610303648749,0.4410034468585315
2,bernoulli,54,none,1.0,0.25,pca,54,0.6722549392097265,0.4257302909943877
37,bernoulli,54,none,1.0,0.25,pca,54,0.6083862072948021,0.4443201921628623
29,bernoulli,54,none,1.0,0.25,pca,54,0.6105087821056232,0.4578972624079805
27,bernoulli,54,none,1.0,0.25,pca,54,0.6267373485388454,0.437801495617298
26,bernoulli,54,none,1.0,0.25,pca,54,0.6053371164241723,0.465800222927317
23,bernoulli,54,none,1.0,0.25,pca,54,0.6598016863116236,0.4270914549946991
47,bernoulli,54,none,1.0,0.25,pca,54,0.653075387394239,0.42188983467299
41,bernoulli,54,none,1.0,0.25,pca,54,0.5877492285782103,0.4249598603366876
45,bernoulli,54,none,1.0,0.25,pca,54,0.5981973434535104,0.4848053773723412
46,bernoulli,54,none,1.0,0.25,pca,54,0.6354015151515152,0.4337754427348886
31,bernoulli,54,none,1.0,0.25,pca,54,0.6690552304580262,0.4110614053144085
39,bernoulli,54,none,1.0,0.25,pca,54,0.6543431865740933,0.4496249808512162
14,bernoulli,54,none,1.0,0.25,pca,54,0.6606417971659816,0.4080519145177449
49,bernoulli,54,none,1.0,0.25,pca,54,0.592310606060606,0.4560444277277082
34,bernoulli,54,none,1.0,0.25,pca,54,0.6622606642369488,0.4224129179083732
10,bernoulli,54,none,1.0,0.25,pca,54,0.6407159833630423,0.4275595599506828
42,bernoulli,54,none,1.0,0.25,pca,54,0.6442227474972191,0.4120640300373431
33,bernoulli,54,none,1.0,0.25,pca,54,0.5868343706777318,0.4634966846314571
38,bernoulli,54,none,1.0,0.25,pca,54,0.5534045895626161,0.4678914154295742
22,bernoulli,54,none,1.0,0.25,pca,54,0.6262800586707574,0.4574372208364182
30,bernoulli,54,none,1.0,0.25,pca,54,0.5573137424933747,0.4444928908600234
