seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6790856205008206,0.4261042918071707
18,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6297624862620588,0.4365537321429465
28,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6260613049872978,0.4592539705708096
38,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.5610229831683118,0.4520577160510804
48,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6313487762458094,0.4300525675013184
6,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6396000719510733,0.4455914209455996
32,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.5822403689736765,0.4359702033078225
4,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.5846907409003419,0.4598163774427203
8,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6225805817610064,0.4287371268995117
16,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6349294976499216,0.4401202415224241
20,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.6400906295004827,0.4119888056974971
24,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6173981640849111,0.4681832543148647
36,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6431747443308137,0.4430541950146477
44,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6131232557628497,0.4280590932473514
40,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6277927383682831,0.4272333459314723
12,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6015452476133314,0.4417995624814645
11,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.5874058544918084,0.4500695174880203
9,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.6005865989356557,0.4409294929561416
10,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6458613029024421,0.4367915445983992
21,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6082224082371799,0.423233599679076
34,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.663009942718763,0.4326530596669541
2,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.6559252170565844,0.4184496777666227
1,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6050993322820142,0.4598386565537827
46,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.5921553560144481,0.4436728255901037
22,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6284063981042654,0.4495339158780974
14,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6631844445651977,0.4102600511264597
42,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6198621768242021,0.4288825732090332
26,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6026255514082117,0.4539882887798101
30,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6220613581523612,0.425911367290615
5,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6062905371694662,0.4515256444284875
15,bernoulli,54,none,1.0,0.25,raw,none,,54,31.0,20,2,0.6685029660938967,0.4134017242326937
3,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.5655182706072883,0.4595873666201858
19,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6170262246412668,0.4268053320784017
29,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6215015166835187,0.4317522034194022
17,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6491710477189937,0.4256113395795425
33,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.5713490558258432,0.4622106265458759
13,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6416370839121264,0.4466493850657655
47,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6246868744981003,0.4256854868297834
25,bernoulli,54,none,1.0,0.25,raw,none,,54,31.0,20,2,0.6439366424535916,0.4243264674496267
7,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6454903198653199,0.4208574031644139
23,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.6089103721390716,0.440249454812054
31,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6186572113121979,0.4253103995008543
49,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.626938786457615,0.44219183431058
39,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6657862950058073,0.4280368310397807
43,bernoulli,54,none,1.0,0.25,raw,none,,54,31.0,20,2,0.6340011104438376,0.4204233058950886
37,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.5934390482893774,0.4543885011516759
27,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.6385871089212034,0.4310074213798502
41,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.6716444742374844,0.3993910617314838
45,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,2,0.619783259811144,0.4510461871630559
35,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,2,0.6613738310213213,0.4154161423240166
