seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6874969531516599,0.3044575287948495
20,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6577654922110328,0.2717916684311274
4,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6030959426202036,0.3248471180171046
23,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6440568400209655,0.2859027184766435
1,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.610286419302567,0.3281356037787998
2,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6672859372995167,0.2604094106934896
8,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.625744889937107,0.3002406377087063
32,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5922087585034014,0.3088322936745807
7,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6567087542087542,0.2980459360730342
16,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6408824738602398,0.3137848665993791
12,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.606505441491229,0.3227092002112458
6,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6390197522827334,0.3104748552410361
9,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6021710208030963,0.3223556508406671
13,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6544048292774949,0.3017729844905583
11,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5854220048140384,0.3191977385609333
36,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6434526456202757,0.318108442209123
48,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6344207647518464,0.3116810080259685
28,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6383582363952399,0.3275124304174161
24,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6141542915849443,0.323221741920011
40,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6186952203473133,0.320866187640756
44,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6229547102643549,0.3026769891308508
15,beta,54,none,1.0,0.25,raw,none,,54,31.0,20,0.6964523431221589,0.2707249840392132
31,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6168228297608352,0.3135486175341173
10,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6515531102160849,0.3041941855122892
14,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.680373670959445,0.2967385932349761
3,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5634980295049166,0.3376462085471747
5,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.624103793632315,0.3134754810730531
18,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6477590290562918,0.30725823910253
19,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.637409698169223,0.3013787218557852
37,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.5976713267733017,0.3216510345353399
26,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6173248218527315,0.3135882502493157
17,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.641446604978759,0.3041323470432751
33,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5838954399274346,0.3282886959649522
46,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6013414415328086,0.3129048824038498
25,beta,54,none,1.0,0.25,raw,none,,54,31.0,20,0.6564332795264999,0.2849208042677981
39,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6651010452961672,0.3109451235502744
27,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6553338941633619,0.2966960945138173
41,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6760382705140315,0.2949089906417008
35,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6815563704293077,0.2671857170134722
34,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.6553637125692731,0.3200439746451315
30,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6366059117545675,0.2978652450670679
22,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6354130366601617,0.3208047643033923
43,beta,54,none,1.0,0.25,raw,none,,54,31.0,20,0.6779231300918949,0.2649414158113494
47,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6207795476609974,0.3201380114854791
38,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.5672318838408804,0.3283479931910173
42,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.625458188749328,0.2950795743592057
49,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6411999785430749,0.3055987547310453
21,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6224607590504483,0.304386295700401
29,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.630927704752275,0.3181894469043316
45,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.6253864862844098,0.32024243216465575
