seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,raw,,,,,,,,,0.4958070993161783,0.6409124048865142,max,,,,
1,beta,1,max,1.0,raw,,,,,,,,,0.4912444874888569,0.6347464428806247,max,,,,
2,beta,1,max,1.0,raw,,,,,,,,,0.4811427808198012,0.631210518799236,max,,,,
3,beta,1,max,1.0,raw,,,,,,,,,0.493009833968044,0.6581216947484934,max,,,,
4,beta,1,max,1.0,raw,,,,,,,,,0.4948218855079161,0.6469921206601535,max,,,,
5,beta,1,max,1.0,raw,,,,,,,,,0.4413132865033274,0.7036641781416859,max,,,,
6,beta,1,max,1.0,raw,,,,,,,,,0.5018683039027311,0.6218553594799442,max,,,,
7,beta,1,max,1.0,raw,,,,,,,,,0.461998155612897,0.691406622973952,max,,,,
8,beta,1,max,1.0,raw,,,,,,,,,0.4807254446704587,0.6647534940144119,max,,,,
9,beta,1,max,1.0,raw,,,,,,,,,0.4721124058155403,0.6771074838049778,max,,,,
10,beta,1,max,1.0,raw,,,,,,,,,0.4826331351720164,0.6486545248374163,max,,,,
11,beta,1,max,1.0,raw,,,,,,,,,0.4916845203918894,0.6451621741793484,max,,,,
12,beta,1,max,1.0,raw,,,,,,,,,0.4659299901284152,0.6673559473988578,max,,,,
13,beta,1,max,1.0,raw,,,,,,,,,0.4839971976317307,0.6605666349472352,max,,,,
14,beta,1,max,1.0,raw,,,,,,,,,0.5122860973852289,0.5963770482572216,max,,,,
15,beta,1,max,1.0,raw,,,,,,,,,0.4998967839040089,0.6293836764380356,max,,,,
16,beta,1,max,1.0,raw,,,,,,,,,0.4703386407221988,0.6708074811836798,max,,,,
17,beta,1,max,1.0,raw,,,,,,,,,0.4975439187413585,0.6294626200274348,max,,,,
18,beta,1,max,1.0,raw,,,,,,,,,0.4729206827248046,0.686292723886956,max,,,,
19,beta,1,max,1.0,raw,,,,,,,,,0.4848808907713777,0.6381216934861678,max,,,,
20,beta,1,max,1.0,raw,,,,,,,,,0.4806964768784341,0.6481936866489498,max,,,,
21,beta,1,max,1.0,raw,,,,,,,,,0.5043174189867681,0.6093440089900267,max,,,,
22,beta,1,max,1.0,raw,,,,,,,,,0.4906876281079251,0.6302906421475167,max,,,,
23,beta,1,max,1.0,raw,,,,,,,,,0.4733464269886613,0.6547684104139229,max,,,,
24,beta,1,max,1.0,raw,,,,,,,,,0.4937163631232537,0.6313276755671334,max,,,,
25,beta,1,max,1.0,raw,,,,,,,,,0.5111123197162316,0.5867765620501008,max,,,,
26,beta,1,max,1.0,raw,,,,,,,,,0.4990055655845608,0.6137151861434578,max,,,,
27,beta,1,max,1.0,raw,,,,,,,,,0.5247827296034272,0.5792675998570007,max,,,,
28,beta,1,max,1.0,raw,,,,,,,,,0.4906303356876713,0.6566773108688783,max,,,,
29,beta,1,max,1.0,raw,,,,,,,,,0.4742769874873349,0.6765090255656294,max,,,,
30,beta,1,max,1.0,raw,,,,,,,,,0.5117959117225243,0.6146270614692655,max,,,,
31,beta,1,max,1.0,raw,,,,,,,,,0.4593173665593318,0.6907137322607553,max,,,,
32,beta,1,max,1.0,raw,,,,,,,,,0.5112314889163502,0.6023127876167899,max,,,,
33,beta,1,max,1.0,raw,,,,,,,,,0.4947615028690307,0.6294798202928595,max,,,,
34,beta,1,max,1.0,raw,,,,,,,,,0.4750014361560593,0.6780674846625767,max,,,,
35,beta,1,max,1.0,raw,,,,,,,,,0.4560980765963101,0.7019819945279092,max,,,,
36,beta,1,max,1.0,raw,,,,,,,,,0.5044647492890091,0.6191149012567325,max,,,,
37,beta,1,max,1.0,raw,,,,,,,,,0.4824398361754386,0.6537778440116021,max,,,,
38,beta,1,max,1.0,raw,,,,,,,,,0.4893131795837774,0.641857231345732,max,,,,
39,beta,1,max,1.0,raw,,,,,,,,,0.4684836425602493,0.6713405615591975,max,,,,
40,beta,1,max,1.0,raw,,,,,,,,,0.4839333089346239,0.6510289206689099,max,,,,
41,beta,1,max,1.0,raw,,,,,,,,,0.4883642355018391,0.637606669960752,max,,,,
42,beta,1,max,1.0,raw,,,,,,,,,0.4706441596995744,0.6868949401497448,max,,,,
43,beta,1,max,1.0,raw,,,,,,,,,0.5006487035676077,0.6280154620966684,max,,,,
44,beta,1,max,1.0,raw,,,,,,,,,0.5026327200834849,0.6130849176478643,max,,,,
45,beta,1,max,1.0,raw,,,,,,,,,0.4690148558998734,0.6740779429730955,max,,,,
46,beta,1,max,1.0,raw,,,,,,,,,0.4940451880407244,0.6447993259803921,max,,,,
47,beta,1,max,1.0,raw,,,,,,,,,0.4572716268291862,0.6905137022271542,max,,,,
48,beta,1,max,1.0,raw,,,,,,,,,0.5324962807467243,0.5623931943116635,max,,,,
49,beta,1,max,1.0,raw,,,,,,,,,0.4983557995890555,0.6393993253291741,max,,,,
