seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive,knn_selection_version
1,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4357617280238639,2.0
6,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,10,0.5,0.4258513611631014,2.0
3,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4155995791412458,2.0
0,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4322696435060041,2.0
4,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4176389694492178,2.0
7,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3962952298906043,2.0
2,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5,0.3886357774697121,2.0
12,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4190723431118922,2.0
26,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4346171321721775,2.0
32,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3919060491280466,2.0
36,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,5,0.5,0.4297393420763563,2.0
16,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.420611396501556,2.0
42,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5,0.4109624296683797,2.0
18,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4081240673258992,2.0
47,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3985339029409737,2.0
44,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.392944715155436,2.0
8,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4118308441330544,2.0
21,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3922284405073254,2.0
24,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4494001436958627,2.0
34,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5,0.4120511560763377,2.0
19,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3894752748670219,2.0
35,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5,0.4031775455088648,2.0
46,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4164343325251004,2.0
48,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3949005928681831,2.0
29,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4084056917455712,2.0
39,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4192022678236096,2.0
45,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5,0.4321286648679587,2.0
28,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4399779513101581,2.0
20,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5,0.390391470721361,2.0
40,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4033340008424064,2.0
38,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,0.5,0.4081235561666609,2.0
30,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3991794223413091,2.0
10,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4131333704921375,2.0
14,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3959823963510369,2.0
22,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4333973860932052,2.0
27,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4141258695082628,2.0
15,bernoulli,54,none,1.0,0.25,raw,none,,54,31.0,50,0.5,0.4013358333620407,2.0
23,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,0.5,0.4178846934281435,2.0
43,bernoulli,54,none,1.0,0.25,raw,none,,54,31.0,20,0.5,0.4192304019112011,2.0
11,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4108340883860636,2.0
31,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.3957013445528877,2.0
41,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,20,0.5,0.379932390522851,2.0
17,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4036307444879879,2.0
13,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5,0.4361336181469184,2.0
9,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5,0.41032785731191,2.0
25,bernoulli,54,none,1.0,0.25,raw,none,,54,31.0,50,0.5,0.4206343173940685,2.0
37,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5,0.4163923572563083,2.0
5,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4196754974784954,2.0
49,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.4161655352929355,2.0
33,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5,0.42111078556967213,2.0
