seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_rasch,rmse_rasch,knn_selection_version
1,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5850026282978622,0.518986667511422,2.0
6,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,10,0.5586229935072722,0.4848814285739211,2.0
3,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5798395967256065,0.4682305318651958,2.0
0,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5856286257495247,0.4891125887976119,2.0
4,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5930721939728232,0.4689289705033856,2.0
7,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5921885521885522,0.4417344282759527,2.0
2,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5147903212009751,0.4512451739858888,2.0
12,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.6314139949945076,0.4591538136801266,2.0
26,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5838098065829658,0.4841539278368044,2.0
32,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5877768226855961,0.4849928944843913,2.0
36,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,5,0.5790285878691184,0.4798532435708715,2.0
16,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5606159094192029,0.4772829956750086,2.0
42,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5941017871397618,0.4575170722496369,2.0
18,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.6157661701383077,0.4491162888148993,2.0
47,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.6124525068018649,0.494617593829834,2.0
44,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.6186564704331201,0.4246174191271812,2.0
8,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5629520440251572,0.4607220485631014,2.0
21,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5792232234203774,0.4518452198192768,2.0
24,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5403657820651375,0.5209831372038035,2.0
34,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.6128626647417688,0.4441886070723966,2.0
19,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.6088124690747154,0.4380247171103548,2.0
35,bernoulli,54,none,1.0,0.25,raw,none,,54,30.0,50,0.5577772396536018,0.4555584251628735,2.0
46,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.6148982314347456,0.4559053915900693,2.0
48,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5959153580520756,0.4328016658487361,2.0
29,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5779878665318504,0.4625629923425762,2.0
39,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5600325203252033,0.47319110841878,2.0
45,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5350553505535055,0.4903002234989227,2.0
28,bernoulli,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5682494317422115,0.4975389770593994,2.0
