seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
42,bernoulli,54,none,1.0,0.25,raw,54,50,0.5773815041404029,0.4490624363155227
23,bernoulli,54,none,1.0,0.25,raw,54,50,0.5929120422151481,0.4817481336314974
46,bernoulli,54,none,1.0,0.25,raw,54,50,0.5697689393939394,0.4493442028512151
37,bernoulli,54,none,1.0,0.25,raw,54,50,0.5748283851967344,0.4598752405633113
25,bernoulli,54,none,1.0,0.25,raw,54,50,0.5767921952518896,0.4972559014723428
34,bernoulli,54,none,1.0,0.25,raw,54,50,0.5414335335283953,0.4940035030408741
17,bernoulli,54,none,1.0,0.25,raw,54,50,0.5763928331698249,0.4458679950763813
26,bernoulli,54,none,1.0,0.25,raw,54,50,0.5800298523518813,0.4745082826052285
43,bernoulli,54,none,1.0,0.25,raw,54,50,0.5433175065501603,0.4962194388657653
15,bernoulli,54,none,1.0,0.25,raw,54,50,0.5887739695002265,0.4901526637579995
21,bernoulli,54,none,1.0,0.25,raw,54,50,0.5795981985240297,0.4227172779298171
13,bernoulli,54,none,1.0,0.25,raw,54,50,0.5743884277007089,0.4754860712432114
14,bernoulli,54,none,1.0,0.25,raw,54,50,0.5977049976146037,0.4172520776837494
44,bernoulli,54,none,1.0,0.25,raw,54,20,0.5865821178321178,0.4113904458388622
10,bernoulli,54,none,1.0,0.25,raw,54,50,0.5848262032085562,0.4464603821456306
1,bernoulli,54,none,1.0,0.25,raw,54,50,0.5477705428551207,0.5171337883478904
29,bernoulli,54,none,1.0,0.25,raw,54,50,0.6060470857686759,0.4523442711440067
9,bernoulli,54,none,1.0,0.25,raw,54,50,0.5880912162162162,0.4269560783263146
33,bernoulli,54,none,1.0,0.25,raw,54,50,0.5565712886122637,0.4608565598883805
41,bernoulli,54,none,1.0,0.25,raw,54,50,0.5473781549173194,0.3923220582204536
47,bernoulli,54,none,1.0,0.25,raw,54,20,0.5926704059321228,0.3846689093007629
6,bernoulli,54,none,1.0,0.25,raw,54,20,0.5904893449092344,0.4752903828688709
5,bernoulli,54,none,1.0,0.25,raw,54,20,0.5872423988350028,0.4575005102936447
2,bernoulli,54,none,1.0,0.25,raw,54,50,0.5687373353596759,0.4529853309578365
38,bernoulli,54,none,1.0,0.25,raw,54,50,0.5648033313038838,0.4557584662328534
18,bernoulli,54,none,1.0,0.25,raw,54,50,0.6187618394408518,0.4301178251231786
19,bernoulli,54,none,1.0,0.25,raw,54,50,0.6060175710959002,0.4133719858463975
30,bernoulli,54,none,1.0,0.25,raw,54,50,0.5906427535233526,0.4321520955388588
11,bernoulli,54,none,1.0,0.25,raw,54,50,0.5862084224500332,0.4455278612013179
22,bernoulli,54,none,1.0,0.25,raw,54,50,0.5134094976652807,0.4787367640625278
3,bernoulli,54,none,1.0,0.25,raw,54,50,0.5596154135734615,0.4437908476175891
31,bernoulli,54,none,1.0,0.25,raw,54,50,0.581798150556278,0.3965485243743272
35,bernoulli,54,none,1.0,0.25,raw,54,20,0.5892298475670639,0.4440701203091735
27,bernoulli,54,none,1.0,0.25,raw,54,50,0.5539543240674745,0.4802689330644885
24,bernoulli,54,none,1.0,0.25,raw,54,50,0.5372489239598278,0.5180304224459052
39,bernoulli,54,none,1.0,0.25,raw,54,50,0.5655531534527918,0.4779730698788412
48,bernoulli,54,none,1.0,0.25,raw,54,50,0.5997715966044646,0.3949043096452578
7,bernoulli,54,none,1.0,0.25,raw,54,50,0.5896357425616141,0.4246707749038292
16,bernoulli,54,none,1.0,0.25,raw,54,10,0.5540650969529086,0.482395001485337
0,bernoulli,54,none,1.0,0.25,raw,54,50,0.570315762192049,0.4725632221320842
4,bernoulli,54,none,1.0,0.25,raw,54,50,0.5655164900157196,0.4578250447139657
12,bernoulli,54,none,1.0,0.25,raw,54,50,0.5789348171701113,0.4321254406806215
36,bernoulli,54,none,1.0,0.25,raw,54,50,0.553343350864012,0.4586155972321368
32,bernoulli,54,none,1.0,0.25,raw,54,50,0.5509916440148999,0.4547721751176663
28,bernoulli,54,none,1.0,0.25,raw,54,50,0.5622285174693107,0.4991750020422873
40,bernoulli,54,none,1.0,0.25,raw,54,50,0.5651368003341688,0.4088077539070203
45,bernoulli,54,none,1.0,0.25,raw,54,50,0.5678755373116989,0.5211141751016735
49,bernoulli,54,none,1.0,0.25,raw,54,50,0.5447348484848485,0.4446011433017821
8,bernoulli,54,none,1.0,0.25,raw,54,50,0.5727148359083407,0.4541992574629011
20,bernoulli,54,none,1.0,0.25,raw,54,50,0.5899929060514466,0.4415804426431331
