n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,0,0.002,train_items_only_refit_v1,train_items_only,1052,none,,29.0,5471,0.4115077685182539,0.7048538325289654,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.49315086007118225, 0.4888472855091095, 0.48927241563796997, 0.4899541437625885, 0.49033626914024353, 0.48917195200920105, 0.491666704416275, 0.48972126841545105, 0.48974061012268066, 0.49044135212898254, 0.49080362915992737, 0.492587685585022, 0.4916393756866455, 0.4903753697872162, 0.49007683992385864, 0.4915284514427185, 0.4926058053970337, 0.493990033864975, 0.48953568935394287, 0.48855048418045044, 0.4884621798992157, 0.48959049582481384, 0.48948925733566284, 0.4887324869632721, 0.4877282977104187, 0.49072688817977905, 0.49158164858818054, 0.49048855900764465, 0.4923275113105774, 0.489840030670166]",pca,32
54,bernoulli,14,0.002,train_items_only_refit_v1,train_items_only,1052,none,,29.0,5377,0.3844884464663637,0.6759450451919071,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4922846257686615, 0.4942469596862793, 0.4913060665130615, 0.4939439296722412, 0.49094584584236145, 0.4922819137573242, 0.492767333984375, 0.4933556914329529, 0.4948357045650482, 0.4938908517360687, 0.49148237705230713, 0.4914720356464386, 0.4930321276187897, 0.49202877283096313, 0.4904323220252991, 0.4927096962928772, 0.4956999719142914, 0.4920307993888855, 0.4912474453449249, 0.4931524693965912, 0.49088582396507263, 0.4927249252796173, 0.49386855959892273, 0.49097535014152527, 0.49312624335289, 0.4906402826309204, 0.4915008842945099, 0.49250108003616333, 0.4927951395511627, 0.4920286238193512]",pca,32
54,bernoulli,42,0.002,train_items_only_refit_v1,train_items_only,1048,none,,29.0,5413,0.3907694358824423,0.6900241109101869,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4899722635746002, 0.48910173773765564, 0.48861613869667053, 0.49133431911468506, 0.4877378046512604, 0.48878324031829834, 0.4902849495410919, 0.48866575956344604, 0.4884161055088043, 0.48900020122528076, 0.4882928431034088, 0.4914976954460144, 0.4885338544845581, 0.4919167160987854, 0.48670512437820435, 0.48962318897247314, 0.4896392822265625, 0.4898374080657959, 0.49117225408554077, 0.4886161983013153, 0.48807209730148315, 0.4892463982105255, 0.48944389820098877, 0.48804596066474915, 0.488116592168808, 0.4920409023761749, 0.48941463232040405, 0.4931311309337616, 0.4896163046360016, 0.4890633523464203]",pca,32
54,bernoulli,6,0.004,train_items_only_refit_v1,train_items_only,1046,none,,29.0,4951,0.4051815802103323,0.7081484590478475,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.42909467220306396, 0.42901989817619324, 0.4270273745059967, 0.4275752007961273, 0.4274401366710663, 0.425704687833786, 0.4265786111354828, 0.42821842432022095, 0.42630693316459656, 0.4265771210193634, 0.42847639322280884, 0.4311160147190094, 0.4294842481613159, 0.42799627780914307, 0.42895668745040894, 0.428505539894104, 0.4275975525379181, 0.4276805818080902, 0.42617812752723694, 0.4339844584465027, 0.4262797236442566, 0.42706334590911865, 0.42975273728370667, 0.4315797686576843, 0.431069016456604, 0.42703771591186523, 0.43058058619499207, 0.42908865213394165, 0.43036046624183655, 0.42799270153045654]",pca,32
54,bernoulli,28,0.002,train_items_only_refit_v1,train_items_only,1048,none,,29.0,5125,0.4105946513940608,0.7078486428666935,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.49416112899780273, 0.4955809414386749, 0.4956500232219696, 0.49612534046173096, 0.49556639790534973, 0.4969329833984375, 0.4950551688671112, 0.4947882294654846, 0.4960000813007355, 0.49747660756111145, 0.49342331290245056, 0.49739891290664673, 0.49604910612106323, 0.4961671531200409, 0.49671196937561035, 0.49632149934768677, 0.49953392148017883, 0.4971981346607208, 0.4947322607040405, 0.49383634328842163, 0.49521148204803467, 0.4934268891811371, 0.49398910999298096, 0.49548497796058655, 0.4959619641304016, 0.49523189663887024, 0.49513155221939087, 0.49855008721351624, 0.495470255613327, 0.49595049023628235]",pca,32
54,bernoulli,34,0.004,train_items_only_refit_v1,train_items_only,1049,none,,30.0,4488,0.4002950042427167,0.6726150281749174,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4339584708213806, 0.43295738101005554, 0.4299396872520447, 0.4321199357509613, 0.4306826591491699, 0.431140273809433, 0.4327366054058075, 0.43257391452789307, 0.43416231870651245, 0.4321167469024658, 0.43420737981796265, 0.433196485042572, 0.4314897358417511, 0.4309256374835968, 0.43369996547698975, 0.43333321809768677, 0.4332699477672577, 0.4320134222507477, 0.4342479407787323, 0.43303874135017395, 0.43331512808799744, 0.43308374285697937, 0.43161147832870483, 0.43155616521835327, 0.4317491054534912, 0.43221673369407654, 0.4335859417915344, 0.43324077129364014, 0.4313519597053528, 0.4317576289176941]",pca,32
54,bernoulli,20,0.004,train_items_only_refit_v1,train_items_only,1052,none,,30.0,4966,0.3487046752722926,0.7917552475957861,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4281371533870697, 0.4269522726535797, 0.4264252483844757, 0.4280545115470886, 0.42888131737709045, 0.4271376132965088, 0.4264884293079376, 0.42662954330444336, 0.43322882056236267, 0.4294549524784088, 0.42728468775749207, 0.4287477433681488, 0.42846518754959106, 0.42952167987823486, 0.42621806263923645, 0.42841944098472595, 0.4290185570716858, 0.42709705233573914, 0.42613139748573303, 0.42801645398139954, 0.4296090006828308, 0.42843732237815857, 0.42661917209625244, 0.42782777547836304, 0.4279062747955322, 0.4293588399887085, 0.42951029539108276, 0.42968687415122986, 0.4307573735713959, 0.43009883165359497]",pca,32
54,bernoulli,12,0.005,train_items_only_refit_v1,train_items_only,1044,none,,29.0,4551,0.4217992997245528,0.6224986693543821,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3965565264225006, 0.39653196930885315, 0.39311304688453674, 0.3944416046142578, 0.39413249492645264, 0.39224696159362793, 0.39273330569267273, 0.39596882462501526, 0.40068215131759644, 0.3983313739299774, 0.3961222171783447, 0.3997390568256378, 0.39402493834495544, 0.3930915892124176, 0.3963480591773987, 0.39527860283851624, 0.39194074273109436, 0.39766353368759155, 0.3950771689414978, 0.39913660287857056, 0.39728546142578125, 0.39301860332489014, 0.3973693549633026, 0.3946021795272827, 0.3950689733028412, 0.39359042048454285, 0.392839640378952, 0.3996223509311676, 0.39560890197753906, 0.3913017809391022]",pca,32
54,bernoulli,18,0.006,train_items_only_refit_v1,train_items_only,1047,none,,29.0,5039,0.402515763483512,0.6456060536899816,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3573926091194153, 0.3590087294578552, 0.3582001328468323, 0.35728222131729126, 0.3597235083580017, 0.356657475233078, 0.3570147752761841, 0.35756587982177734, 0.3578266203403473, 0.35719242691993713, 0.3579889237880707, 0.35907629132270813, 0.3564831614494324, 0.3595634400844574, 0.3572581112384796, 0.35889700055122375, 0.3621174991130829, 0.3574354350566864, 0.3557782769203186, 0.36032789945602417, 0.357329785823822, 0.35685381293296814, 0.3590223789215088, 0.3584141433238983, 0.3574943244457245, 0.3588160276412964, 0.35706934332847595, 0.35775160789489746, 0.3592931032180786, 0.359316885471344]",pca,32
54,bernoulli,40,0.005,train_items_only_refit_v1,train_items_only,1052,none,,29.0,5042,0.3801304027520898,0.7101593217562254,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.39939168095588684, 0.39862343668937683, 0.39535728096961975, 0.39807653427124023, 0.3984085023403168, 0.3969663679599762, 0.3969421088695526, 0.39809852838516235, 0.402374804019928, 0.3941352665424347, 0.39703765511512756, 0.3963790535926819, 0.4017496705055237, 0.40018516778945923, 0.39975517988204956, 0.39751550555229187, 0.3974437117576599, 0.39619147777557373, 0.39403006434440613, 0.40043413639068604, 0.4050031304359436, 0.39700645208358765, 0.3974236845970154, 0.3963977098464966, 0.39883288741111755, 0.39641913771629333, 0.3990252912044525, 0.3931569755077362, 0.396030455827713, 0.3979554772377014]",pca,32
