n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,0,0.002,train_items_only_refit_v1,train_items_only,969,none,,286.0,11633,0.4346157607412236,0.7457499717611782,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.156996250152588, 3.0622522830963135, 2.9999840259552, 3.1591193675994873, 2.964263677597046, 3.1375277042388916, 3.091362953186035, 3.0448410511016846, 3.061851978302002, 3.2159159183502197, 3.199436902999878, 2.9725399017333984, 3.2092010974884033, 3.180858850479126, 3.1810526847839355, 3.1828055381774902, 2.894897937774658, 3.020850896835327, 3.0247933864593506, 3.21132755279541, 3.0741796493530273, 3.1551640033721924, 2.995790719985962, 3.066941022872925, 3.0500645637512207, 3.1851842403411865, 3.063960552215576, 3.1620328426361084, 3.195600748062134, 3.1675262451171875]",pca,286,Pre-max
1,beta,28,0.002,train_items_only_refit_v1,train_items_only,969,none,,286.0,11889,0.4390867274106063,0.7291240331441454,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.291811227798462, 3.0846261978149414, 3.096278190612793, 3.064471960067749, 3.042712688446045, 3.2963764667510986, 3.265822649002075, 3.114616870880127, 3.055217981338501, 3.2286787033081055, 3.2562384605407715, 3.0921876430511475, 3.1036875247955322, 3.069336414337158, 3.144582986831665, 3.0560765266418457, 3.1031763553619385, 3.1472997665405273, 3.1012468338012695, 3.235266923904419, 3.122236967086792, 3.1103715896606445, 3.2309086322784424, 3.0446221828460693, 3.1165897846221924, 3.253836154937744, 3.2347283363342285, 3.0677366256713867, 3.2921509742736816, 3.0747642517089844]",pca,286,Pre-max
1,beta,14,0.002,train_items_only_refit_v1,train_items_only,969,none,,286.0,11759,0.4580435505082219,0.6715505752951555,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.4631032943725586, 3.4309163093566895, 3.4839508533477783, 3.392184019088745, 3.2933640480041504, 3.4289462566375732, 3.3682281970977783, 3.2668144702911377, 3.247269630432129, 3.2432336807250977, 3.267021656036377, 3.427257776260376, 3.1708691120147705, 3.2451295852661133, 3.3342132568359375, 3.205693483352661, 3.3284718990325928, 3.266660213470459, 3.1722848415374756, 3.419323444366455, 3.2360095977783203, 3.3020358085632324, 3.267751455307007, 3.351670503616333, 3.4798407554626465, 3.4398906230926514, 3.2499630451202393, 3.2702434062957764, 3.397372245788574, 3.2682251930236816]",pca,286,Pre-max
1,beta,6,0.004,train_items_only_refit_v1,train_items_only,969,none,,286.0,11758,0.4596069010101085,0.6908393378493046,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.043673276901245, 3.071692943572998, 3.1640992164611816, 3.1187613010406494, 3.0567357540130615, 3.0930683612823486, 3.0949368476867676, 3.083641767501831, 3.0477850437164307, 3.2096400260925293, 3.2572333812713623, 3.1594009399414062, 3.275803804397583, 3.2253520488739014, 3.2519876956939697, 3.0979461669921875, 3.2329342365264893, 3.182706117630005, 2.961887836456299, 3.0191659927368164, 3.066859006881714, 3.2435457706451416, 3.1529979705810547, 3.142977714538574, 3.2315523624420166, 3.0204660892486572, 3.253157377243042, 3.075986623764038, 3.282114028930664, 3.1047637462615967]",pca,286,Pre-max
1,beta,42,0.002,train_items_only_refit_v1,train_items_only,968,none,,286.0,11681,0.4371918717193709,0.7192254449980632,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.994249105453491, 3.1266796588897705, 3.056027889251709, 2.998361349105835, 3.0339207649230957, 2.9602370262145996, 2.9633476734161377, 2.9828054904937744, 2.9319040775299072, 2.9156196117401123, 3.044908285140991, 3.033416986465454, 3.11240291595459, 2.944571018218994, 2.9181952476501465, 3.140143632888794, 3.1185905933380127, 3.1216883659362793, 3.1347436904907227, 3.132955312728882, 3.144843578338623, 3.133385419845581, 3.1099419593811035, 2.998969078063965, 2.9665756225585938, 3.116373300552368, 2.992232322692871, 3.045081377029419, 2.9404969215393066, 2.8908426761627197]",pca,286,Pre-max
1,beta,20,0.004,train_items_only_refit_v1,train_items_only,969,none,,286.0,11774,0.4269551010993535,0.7066004885821123,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.246426820755005, 3.1910998821258545, 3.2645888328552246, 3.235178232192993, 3.2304883003234863, 3.255955457687378, 3.1217472553253174, 3.173762798309326, 3.184511184692383, 3.1977102756500244, 3.257106065750122, 3.2727153301239014, 3.210092782974243, 3.142986536026001, 2.972722053527832, 3.1068809032440186, 3.189056634902954, 3.1304001808166504, 3.0319480895996094, 3.242255687713623, 3.090622663497925, 3.2601497173309326, 3.116741180419922, 3.229604721069336, 3.2745964527130127, 3.3111484050750732, 3.018179416656494, 3.0651533603668213, 3.3026514053344727, 3.170574903488159]",pca,286,Pre-max
1,beta,34,0.004,train_items_only_refit_v1,train_items_only,969,none,,286.0,11622,0.4286334026321831,0.7482389243192124,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1477534770965576, 3.174436569213867, 2.9985482692718506, 3.251868963241577, 3.2198123931884766, 3.0082244873046875, 3.035658121109009, 3.1221206188201904, 3.21925687789917, 3.203505754470825, 3.0828428268432617, 3.0285675525665283, 3.189593553543091, 3.047372341156006, 3.201594829559326, 3.105821371078491, 3.226595163345337, 3.017577648162842, 3.1660876274108887, 3.091980218887329, 3.0439486503601074, 2.9615352153778076, 3.152045488357544, 3.090686559677124, 3.2126784324645996, 3.094109535217285, 3.222588300704956, 3.2295022010803223, 3.0322182178497314, 3.0525996685028076]",pca,286,Pre-max
1,beta,48,0.004,train_items_only_refit_v1,train_items_only,968,none,,286.0,11870,0.5110537452167144,0.5818941951481836,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.0995755195617676, 3.2199618816375732, 3.0369551181793213, 3.3336730003356934, 3.233269453048706, 3.2418599128723145, 3.028665065765381, 3.176748037338257, 3.2087578773498535, 3.3544673919677734, 3.1535568237304688, 3.283097743988037, 3.09649395942688, 3.3312973976135254, 3.0260543823242188, 3.113600730895996, 3.29801082611084, 3.0724987983703613, 3.193934679031372, 3.1501779556274414, 3.2892801761627197, 3.105193614959717, 3.188181161880493, 3.330629587173462, 3.172288417816162, 3.1480793952941895, 3.2848706245422363, 3.2060909271240234, 3.170210361480713, 3.3326098918914795]",pca,286,Pre-max
1,beta,29,0.002,train_items_only_refit_v1,train_items_only,967,none,,286.0,11674,0.4309582905391133,0.7455283593648374,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.138796806335449, 2.999425172805786, 3.210999011993408, 3.1926701068878174, 3.207411766052246, 2.931845188140869, 3.0465645790100098, 3.122934103012085, 3.0070815086364746, 3.216763496398926, 3.0228781700134277, 3.1793301105499268, 2.975862979888916, 3.183652639389038, 3.0274300575256348, 2.991288423538208, 3.1758503913879395, 3.0481555461883545, 3.2046334743499756, 2.9797685146331787, 3.189568519592285, 3.1633176803588867, 3.111443519592285, 3.1921846866607666, 2.9598073959350586, 3.172673463821411, 3.0074470043182373, 3.055356740951538, 2.990610361099243, 3.1695616245269775]",pca,286,Pre-max
1,beta,1,0.002,train_items_only_refit_v1,train_items_only,968,none,,286.0,11706,0.4489760531080223,0.7119747791247175,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.2077322006225586, 3.2386605739593506, 3.0987932682037354, 3.074399471282959, 2.965573787689209, 3.188415288925171, 3.0995213985443115, 3.206111192703247, 2.9936323165893555, 3.168544292449951, 3.2410244941711426, 2.9311914443969727, 2.9439468383789062, 3.124202251434326, 3.089364528656006, 2.936502695083618, 3.0285961627960205, 3.1996514797210693, 3.136584997177124, 3.1699163913726807, 2.941531181335449, 3.162562608718872, 2.8478612899780273, 3.2084100246429443, 3.2580454349517822, 2.903440475463867, 3.117642879486084, 3.167792797088623, 3.2487776279449463, 2.8932855129241943]",pca,286,Pre-max
