seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
42,beta,1,8,0.3,raw,2,0.4596456593208841,0.44375,0.4508895155608846,0.7428571428571428
42,beta,1,8,0.3,raw,3,0.4704446834970063,0.4156249999999999,0.4103542394972883,0.7865889212827989
42,beta,1,8,0.3,raw,4,0.4637295809977768,0.371875,0.4555951239232005,0.7411078717201166
42,beta,1,8,0.3,raw,5,0.4696969639579105,0.5114583333333333,0.4054536717428186,0.7790087463556852
42,beta,1,8,0.3,raw,6,0.4605792641675931,0.4520833333333333,0.4357785006737655,0.7620991253644315
42,beta,1,8,0.3,raw,7,0.4602631307155489,0.4552083333333333,0.4321897129876554,0.746938775510204
42,beta,1,8,0.3,raw,8,0.4596459997181693,0.4479166666666667,0.4508678353123483,0.7877551020408163
42,beta,1,8,0.3,raw,9,0.4596536342767645,0.4260416666666666,0.4509146977116499,0.7451895043731779
42,beta,1,8,0.3,raw,10,0.459727590538533,0.534375,0.437056674456411,0.7667638483965015
42,beta,1,8,0.3,raw,11,0.4601898919390098,0.4739583333333333,0.4573279338900003,0.7463556851311953
42,beta,1,8,0.3,raw,12,0.4596509273458699,0.3776041666666667,0.4508532600470688,0.7597667638483965
42,beta,1,8,0.3,raw,13,0.4684210735848493,0.4354166666666667,0.410936902412009,0.7282798833819242
42,beta,1,8,0.3,raw,14,0.4663737466243689,0.4885416666666667,0.4015356299765383,0.7848396501457727
42,beta,1,8,0.3,raw,15,0.465893977516405,0.4479166666666666,0.4604933101704503,0.7416909620991254
42,beta,1,8,0.3,raw,16,0.459618734718013,0.540625,0.4508741147598701,0.758600583090379
42,beta,1,8,0.3,raw,17,0.4622570804633411,0.5239583333333333,0.4509343930069336,0.7346938775510204
42,beta,1,8,0.3,raw,18,0.459648722887376,0.4156249999999999,0.450867207362786,0.744606413994169
42,beta,1,8,0.3,raw,19,0.4621313442963805,0.4791666666666666,0.4498689672643797,0.7446064139941692
42,beta,1,8,0.3,raw,20,0.4616303651385841,0.5114583333333333,0.4148596342102577,0.7440233236151604
42,beta,1,8,0.3,raw,21,0.460373274526229,0.4125,0.4277637941877468,0.7510204081632653
42,beta,1,8,0.3,raw,22,0.4658171295761031,0.4625,0.4525027277374246,0.7411078717201165
42,beta,1,8,0.3,raw,23,0.4594925846719813,0.4125,0.4487895739858991,0.7714285714285715
42,beta,1,8,0.3,raw,24,0.4594394781313726,0.3885416666666667,0.4463393101692057,0.746938775510204
42,beta,1,8,0.3,raw,25,0.4610733220052133,0.6145833333333334,0.4162699320606018,0.7766763848396501
42,beta,1,8,0.3,raw,26,0.4596316866052439,0.5333333333333333,0.4508290825759173,0.7842565597667638
42,beta,1,8,0.3,raw,27,0.4605400182004873,0.5333333333333333,0.4202778748782283,0.7743440233236152
42,beta,1,8,0.3,raw,28,0.4600406909650465,0.45625,0.4321750422273087,0.7638483965014577
42,beta,1,8,0.3,raw,29,0.4607170515331203,0.6312500000000001,0.4135299893163033,0.7865889212827989
42,beta,1,8,0.3,raw,30,0.4619185143028404,0.49375,0.4505152196663039,0.7358600583090378
0,beta,1,8,0.3,raw,2,0.4551996551780534,0.5342717258261933,0.4602591161596936,0.4693877551020408
0,beta,1,8,0.3,raw,3,0.4208808063257249,0.5826193390452876,0.4220910755224402,0.6377551020408163
0,beta,1,8,0.3,raw,4,0.4237389184971308,0.6291309669522644,0.4215686533530436,0.6256377551020409
0,beta,1,8,0.3,raw,5,0.4208423196506702,0.6499388004895961,0.4689381063051408,0.3864795918367347
0,beta,1,8,0.3,raw,6,0.4409900830206971,0.6328029375764994,0.4499892220266051,0.4292091836734694
0,beta,1,8,0.3,raw,7,0.4219087834430137,0.6376988984088128,0.4209435033901116,0.6281887755102041
0,beta,1,8,0.3,raw,8,0.4230057609213155,0.7025703794369645,0.4259137463680686,0.6447704081632654
20,beta,1,8,0.3,raw,2,0.4639111949725198,0.5359605911330049,0.4535766521073691,0.5978835978835978
0,beta,1,8,0.3,raw,9,0.442412082806929,0.5208078335373317,0.4506264729945304,0.454719387755102
1,beta,1,8,0.3,raw,2,0.456196144269832,0.6881720430107527,0.4299082102502464,0.6001103143960287
20,beta,1,8,0.3,raw,3,0.460129854646632,0.4748768472906404,0.4437488576041547,0.6111111111111112
0,beta,1,8,0.3,raw,10,0.4235080969823481,0.653610771113831,0.4258204100912899,0.6320153061224489
26,beta,1,8,0.3,raw,2,0.460311367398673,0.561128526645768,0.3818897297230123,0.8167067307692307
1,beta,1,8,0.3,raw,3,0.4612405718121529,0.5419354838709678,0.4336551072980528,0.638168781025924
18,beta,1,8,0.3,raw,2,0.4453533555412886,0.4901315789473684,0.3860079658518959,0.7994318181818182
46,beta,1,8,0.3,raw,2,0.4469213868454488,0.5589189189189189,0.3888956891990429,0.7925925925925925
40,beta,1,8,0.3,raw,2,0.4510721534075531,0.5438034188034189,0.4513081101332282,0.6366213151927438
17,beta,1,8,0.3,raw,2,0.4385950145152814,0.5042016806722689,0.3205061304023858,0.8682352941176471
20,beta,1,8,0.3,raw,4,0.4609809467077127,0.4137931034482759,0.5336474289709845,0.5544973544973545
0,beta,1,8,0.3,raw,11,0.4374591944602142,0.4724602203182374,0.4486106903640433,0.4375
1,beta,1,8,0.3,raw,4,0.4612572417685752,0.4763440860215053,0.4337061658966285,0.6243794815223387
26,beta,1,8,0.3,raw,3,0.4784329557047282,0.5402298850574713,0.3785951458019262,0.8401442307692307
18,beta,1,8,0.3,raw,3,0.4453704193997431,0.4769736842105263,0.383857682089924,0.8227272727272728
46,beta,1,8,0.3,raw,3,0.4480999157746944,0.6151351351351352,0.4250222361581858,0.8043209876543209
17,beta,1,8,0.3,raw,3,0.4442867545270986,0.523109243697479,0.3266949599446802,0.8605882352941175
25,beta,1,8,0.3,raw,2,0.4425462500868781,0.5893416927899686,0.474086221970231,0.4174927113702624
40,beta,1,8,0.3,raw,3,0.4497743901970216,0.6004273504273504,0.4539835622737859,0.6343537414965986
20,beta,1,8,0.3,raw,5,0.4600627810717422,0.5280788177339901,0.4684375198242101,0.5492063492063493
0,beta,1,8,0.3,raw,12,0.4230124187438856,0.6744186046511628,0.4237522285819176,0.6454081632653061
35,beta,1,8,0.3,raw,2,0.4471298078193718,0.6121794871794872,0.4445452354389923,0.7897727272727273
9,beta,1,8,0.3,raw,2,0.4471383892472254,0.5329153605015674,0.4853985339640454,0.7329545454545455
1,beta,1,8,0.3,raw,5,0.4527345323274354,0.6720430107526881,0.4273250833789679,0.6039713182570327
26,beta,1,8,0.3,raw,4,0.4606018784205189,0.5245559038662486,0.3839758304487371,0.828125
8,beta,1,8,0.3,raw,2,0.4411558943512827,0.6153846153846154,0.3368059399472607,0.8826530612244898
