seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.7051503924340662,0.4192027477006914
1,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6244900884932685,0.4527606321262871
21,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6068190895114919,0.4254924774838535
15,bernoulli,54,none,1.0,0.5,pca,none,,54,31.0,10,0.7226962928427265,0.395265764180254
25,bernoulli,54,none,1.0,0.5,pca,none,,54,31.0,10,0.6958110164435537,0.4068395847957365
32,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6079331188997339,0.42778000958316
39,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.7089293986843325,0.4110593390335272
2,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6938459646721697,0.3960186332186517
4,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6249006482997693,0.4416588760834493
34,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6907711447144785,0.4145952611993293
3,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6245004670598444,0.4449357061605815
45,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6590341050093949,0.4405064484214111
8,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6336556603773585,0.4353705763568827
5,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6141023153537705,0.4420769920697292
16,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6454742935875639,0.4374122701967681
20,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6833453785812632,0.3987126242003143
12,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6485311937306772,0.4329329601901751
36,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6261573771349358,0.4531101520341847
40,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6461080848623855,0.4257577487164258
6,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6679714936700186,0.4357268470515771
28,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6481439697820565,0.4502683402387082
24,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.628028726200483,0.460902859307481
7,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6778030303030302,0.4097623841309368
44,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6253960929087833,0.4155445565985394
48,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6477169611574622,0.4240271984128593
13,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.7062968393613555,0.4243794208964894
10,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6744861590589439,0.4135787225002893
9,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6622762457668118,0.4258286161061915
18,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6609989399956383,0.4189830487379841
11,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6365498097678393,0.4351115938349867
19,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6362963879267689,0.4241641597854839
14,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6545083229183648,0.4135388535981224
35,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.673383609506348,0.4070593584426455
23,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6362529846834779,0.4271207440281186
43,bernoulli,54,none,1.0,0.5,pca,none,,54,31.0,10,0.6909595141241657,0.4132039327716342
31,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6940433406066829,0.4081397121400688
27,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6249369066218002,0.432818914703317
38,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6112334416832688,0.4365908167508905
22,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6903357610816839,0.4285591395495177
37,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6603458507569797,0.4250371713370983
30,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.5746660634264047,0.4370096558250454
41,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,10,0.6426764983698467,0.4103340127016378
46,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6348735791797664,0.4315979189912725
17,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6444284114186537,0.4244130049866563
33,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.5889234765399521,0.4525047529613769
49,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.609238738945852,0.4404410214879485
26,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6063496776382762,0.4565858708587488
29,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6496056622851365,0.4265951200036658
47,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6342394496182565,0.4224983837164486
42,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,10,0.6864359839043382,0.4132245059079476
