seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7473959602853475,0.3988586705510529
2,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.738708780633848,0.3674334047598326
1,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6832705582852204,0.4159201570674081
43,bernoulli,54,none,1.0,0.5,pca,none,,54,31.0,50,2,0.7041545329903799,0.4006638129918691
16,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6804060135337844,0.4059231800669358
24,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6870438564890791,0.4282624455651651
4,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6807554559644536,0.4053807679494394
6,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7034545080773646,0.4051253266455332
8,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6757429245283019,0.4002945016988422
5,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6571941349298741,0.4117053976192044
28,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6839755482016313,0.4212544610497589
36,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6778274004132555,0.4161212231930747
40,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6889360460353866,0.3926283011942875
12,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6932776915846574,0.4014428246133253
20,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.7335397730569784,0.3659877453000523
48,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6934754114889219,0.3885457203153319
32,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6581447796509908,0.390075564216568
44,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6766299690157558,0.3853133703254467
3,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.66271093693863,0.4071358412721328
15,bernoulli,54,none,1.0,0.5,pca,none,,54,31.0,50,2,0.7469894300314706,0.3774276869082975
19,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7023948540326571,0.377896684491951
7,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7132786195286195,0.3795473829211596
21,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6849946110372522,0.3824368015138918
13,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.713630361338341,0.409736745742173
11,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6985383181924063,0.3978119221313786
23,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.708747306505154,0.3960124246449536
27,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6934102471658053,0.3981281089062476
30,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6735026714925888,0.3930514694124286
26,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6679462164913471,0.4213676757753088
31,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7091729773670474,0.3789034971156843
9,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.6855043541364296,0.3979963777834952
39,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7165528455284551,0.396448481396083
41,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.713988847923459,0.3694489619310307
17,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6884567259664383,0.3951687525064408
10,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7095440161104718,0.3951779720901969
14,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7313255085221612,0.374876876327739
35,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.7272978863251116,0.380260524912583
22,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6995378275717871,0.4116819976964788
37,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.7110158848452227,0.3959096115635637
34,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.6963978018907464,0.3954980919667744
46,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7201657005999236,0.3940323044705854
47,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6594063500053935,0.3938184663495891
42,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7288825896420832,0.3844409289069915
45,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6799343797967181,0.4129644084389004
33,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6486435227179022,0.4132654507939645
25,bernoulli,54,none,1.0,0.5,pca,none,,54,31.0,50,2,0.7556093623890232,0.3872607507758716
29,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6985439838220425,0.3932315834762712
38,bernoulli,54,none,1.0,0.5,pca,none,,54,30.0,50,2,0.6310310220344822,0.4055685600372376
49,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.7017544867963279,0.3958900206112918
18,bernoulli,54,none,1.0,0.5,pca,none,,54,29.0,50,2,0.6970821985200514,0.39144738413284724
