seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,54,none,1.0,0.5,raw,54,0.7053066190551612,0.2795767415634513
14,beta,54,none,1.0,0.5,raw,54,0.6948366631234464,0.2663572260701188
20,beta,54,none,1.0,0.5,raw,54,0.7083076306211832,0.2668959421119848
48,beta,54,none,1.0,0.5,raw,54,0.6759353442695715,0.2698792132657871
16,beta,54,none,1.0,0.5,raw,54,0.7247818559556787,0.2634182876151669
22,beta,54,none,1.0,0.5,raw,54,0.6675615302840687,0.2879410330793903
44,beta,54,none,1.0,0.5,raw,54,0.674066924066924,0.2628134281128451
24,beta,54,none,1.0,0.5,raw,54,0.6917443806791009,0.2719456301398552
28,beta,54,none,1.0,0.5,raw,54,0.6718633931381807,0.2899473025890654
18,beta,54,none,1.0,0.5,raw,54,0.7196910314194265,0.2512655709314463
40,beta,54,none,1.0,0.5,raw,54,0.6826267056530214,0.2748048246880835
34,beta,54,none,1.0,0.5,raw,54,0.6520284721865749,0.2722800006108825
6,beta,54,none,1.0,0.5,raw,54,0.6979215995790582,0.271300576105079
12,beta,54,none,1.0,0.5,raw,54,0.638235294117647,0.2746449785227681
42,beta,54,none,1.0,0.5,raw,54,0.7204494191076505,0.2457145463869424
30,beta,54,none,1.0,0.5,raw,54,0.6860589508148892,0.2593219524737717
36,beta,54,none,1.0,0.5,raw,54,0.7242858826475744,0.2520175673997502
46,beta,54,none,1.0,0.5,raw,54,0.6603787878787879,0.2736734053830048
1,beta,54,none,1.0,0.5,raw,54,0.6591089249062212,0.2843344617601731
8,beta,54,none,1.0,0.5,raw,54,0.6823707415723654,0.2575334136542421
2,beta,54,none,1.0,0.5,raw,54,0.7027965108915907,0.2548317693704333
26,beta,54,none,1.0,0.5,raw,54,0.6577064787671785,0.2776149847250003
32,beta,54,none,1.0,0.5,raw,54,0.6207087486157253,0.2759327388668047
4,beta,54,none,1.0,0.5,raw,54,0.701066909464444,0.2595496749997883
10,beta,54,none,1.0,0.5,raw,54,0.745874183006536,0.2591934355687856
38,beta,54,none,1.0,0.5,raw,54,0.5975150517509639,0.3072007888100537
15,beta,54,none,1.0,0.5,raw,54,0.7296806583119432,0.2622324329198159
37,beta,54,none,1.0,0.5,raw,54,0.6292254054873427,0.2759829434725562
13,beta,54,none,1.0,0.5,raw,54,0.6931451501696131,0.2469066107708316
21,beta,54,none,1.0,0.5,raw,54,0.5669353380350823,0.2812703840498296
49,beta,54,none,1.0,0.5,raw,54,0.6783712121212121,0.2546457379276006
19,beta,54,none,1.0,0.5,raw,54,0.6947286712299768,0.2663563589324861
43,beta,54,none,1.0,0.5,raw,54,0.6714812007075504,0.2775589819678534
29,beta,54,none,1.0,0.5,raw,54,0.6300171718680005,0.2912165185200381
35,beta,54,none,1.0,0.5,raw,54,0.7168267915122737,0.2498162234866079
7,beta,54,none,1.0,0.5,raw,54,0.721539394713319,0.2537528234709956
3,beta,54,none,1.0,0.5,raw,54,0.5777454863045671,0.2965316920663596
31,beta,54,none,1.0,0.5,raw,54,0.6466460771564804,0.2693241540047639
47,beta,54,none,1.0,0.5,raw,54,0.687032987926609,0.2569305332745363
41,beta,54,none,1.0,0.5,raw,54,0.6568557639053723,0.2669053355715949
9,beta,54,none,1.0,0.5,raw,54,0.6344932432432432,0.2741569183064917
5,beta,54,none,1.0,0.5,raw,54,0.6136350264036597,0.2916249546242297
11,beta,54,none,1.0,0.5,raw,54,0.6229177683765204,0.276588553478424
17,beta,54,none,1.0,0.5,raw,54,0.6878489920262005,0.2691810655039622
33,beta,54,none,1.0,0.5,raw,54,0.5969170266817849,0.2975234428754145
25,beta,54,none,1.0,0.5,raw,54,0.7337745202843551,0.2678209163941273
45,beta,54,none,1.0,0.5,raw,54,0.6070839288034298,0.2983219622108966
27,beta,54,none,1.0,0.5,raw,54,0.6581506889997624,0.2665944779680906
39,beta,54,none,1.0,0.5,raw,54,0.7250852700332795,0.2694059025193958
23,beta,54,none,1.0,0.5,raw,54,0.7003678052138003,0.27632632812830354
