seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6688847722582427,0.4275988185453642
16,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6562924942597919,0.4326059929839555
1,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6100105566343885,0.4547394568787156
2,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6887242846755913,0.4065253351745856
3,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.5641806554314361,0.4639644801853612
32,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.5729859878734103,0.4447612361935997
4,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6216974537236538,0.4449102190883889
26,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6124363759755684,0.4557151428971384
30,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6325900551533953,0.4169958145734289
31,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6190690112522995,0.4281547953686256
38,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.5997118990198574,0.4398601257907544
5,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.5776119334035515,0.4646822705003461
42,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6583785412899336,0.4158540510445607
6,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6453561578126874,0.4459390582489825
28,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6285641462762401,0.458715644246392
12,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6117091152055989,0.4433431748442731
8,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6274371069182391,0.4297010072839253
24,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6316245046631709,0.4573471249324553
20,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6727499564788487,0.4037922460344363
36,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6593453299505663,0.4358406273734168
7,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6482386363636363,0.417393743419183
44,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6043751510756588,0.4298127078651723
10,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6848229126710139,0.4155873346112526
40,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6141157437745741,0.4249107842208708
48,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6371083608499484,0.4277523333119662
11,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6088593834925072,0.4460254449877527
22,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6304014496793978,0.4514721948420014
35,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6641586236321075,0.4117541115213314
9,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6149159409772618,0.440389948572516
13,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6579654782116582,0.4393485898617469
14,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6270218623775109,0.4165805866810728
18,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.673074874853552,0.4208854974231218
34,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6585188376100218,0.4250449367215786
39,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6918025551684087,0.4149547177049445
15,bernoulli,54,none,1.0,0.5,raw,none,,54,31.0,10,0.7015502211534332,0.4001397440111641
17,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6188560155800649,0.43947670767344
23,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6179576029351814,0.4392336148813891
19,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6410118753092529,0.4253774005105852
25,bernoulli,54,none,1.0,0.5,raw,none,,54,31.0,10,0.7058178638687114,0.4113201158691149
41,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6230567658978031,0.4162643298125415
33,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.5675785437453614,0.4576432458782393
45,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6011351591465854,0.4558368464822117
29,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6052224469160769,0.4372432159521334
37,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,10,0.6040519466180875,0.4432657790013821
46,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6387079409906149,0.4299307568100743
21,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.5672170521006014,0.4371262043431015
49,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6333279691020277,0.4354145208181165
27,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.597806753995914,0.4424332175265136
47,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,10,0.6065136097227716,0.4341690782905908
43,bernoulli,54,none,1.0,0.5,raw,none,,54,31.0,10,0.6510656861523121,0.42077225920218747
