seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7112684639009408,0.292955728877302
18,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6890645988521188,0.2853302098404821
1,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6630044268355727,0.3088909480540751
2,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.7494226081005945,0.2318474218003472
34,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.691320909517112,0.2949488545386651
32,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6358603223898255,0.2904699829920824
4,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6540406216783017,0.297487305081809
38,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.625418794968968,0.3082099894446937
40,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6822037803079948,0.3014976095639386
29,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6991279069767442,0.2925982357595139
42,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7192341527784566,0.2733299725144677
6,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6830683706508146,0.2945838152779427
9,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.687959603289792,0.2934655999124367
28,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6656220751437358,0.3076058764118992
16,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.679364312143738,0.292314358064049
12,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6858770370202598,0.2941448256963957
13,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7048712935809711,0.2798864104844269
8,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6617158018867924,0.2883547676233034
15,beta,54,none,1.0,0.5,pca,none,,54,31.0,20,0.7533142341833887,0.2456777401836435
36,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6618758663981377,0.3048747905333215
10,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7137474427822529,0.2809682335342346
11,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.69091932603463,0.2887288178068538
44,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6571186850374668,0.2829893555029386
24,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6903727868283766,0.2956272809059591
14,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7082993714792878,0.2769851380907575
48,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6816726741108562,0.3017352197578081
20,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.7181622996048806,0.2476699172499649
3,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6360166704436792,0.3053798634020436
7,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7135690235690235,0.2738847072766571
5,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6204219561320842,0.2983441016959409
26,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6529924499491009,0.2990777961063903
17,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6604196728590025,0.2930702796484309
19,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6940376051459674,0.2785657770658654
49,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6874837157263934,0.2796900456062276
39,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.7217421602787456,0.2896298948540299
23,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.7046939607477724,0.2654788091818242
21,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6290779676224553,0.288315787998903
22,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6874128798438807,0.3042318164388126
37,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.6942960846823719,0.2836461909335419
46,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6638828861861559,0.2932878917659446
47,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6504950079704673,0.3035585076122768
27,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6853423066137884,0.2819176669720877
30,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6451999310582557,0.293060542667334
25,beta,54,none,1.0,0.5,pca,none,,54,31.0,20,0.7369249394673124,0.2630922233210105
35,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.7146077651318596,0.2533643074037801
41,beta,54,none,1.0,0.5,pca,none,,54,30.0,20,0.6610439074926111,0.288851648187417
45,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6792812564597637,0.2957753595893124
31,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6998406280751295,0.2866127363867881
43,beta,54,none,1.0,0.5,pca,none,,54,31.0,20,0.7032083895165037,0.2591234601799003
33,beta,54,none,1.0,0.5,pca,none,,54,29.0,20,0.6035994062834996,0.3131644932745233
