seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,54,none,1.0,0.5,pca,54,0.7523505781054268,0.2533447218570817
20,beta,54,none,1.0,0.5,pca,54,0.7875439516377768,0.2342701836494019
28,beta,54,none,1.0,0.5,pca,54,0.7141202392193895,0.2708986399236581
44,beta,54,none,1.0,0.5,pca,54,0.7050890175890177,0.2342369944851126
16,beta,54,none,1.0,0.5,pca,54,0.7230609418282549,0.2528007207986207
12,beta,54,none,1.0,0.5,pca,54,0.678497615262321,0.2467045621192857
48,beta,54,none,1.0,0.5,pca,54,0.708522128312774,0.2381021733494419
4,beta,54,none,1.0,0.5,pca,54,0.7158487805637266,0.243050905118837
24,beta,54,none,1.0,0.5,pca,54,0.7056252989000478,0.2695535705833379
8,beta,54,none,1.0,0.5,pca,54,0.7095049740516588,0.2456395635582532
40,beta,54,none,1.0,0.5,pca,54,0.7172793093845725,0.2518447080859742
36,beta,54,none,1.0,0.5,pca,54,0.7571853685125439,0.237031080337695
32,beta,54,none,1.0,0.5,pca,54,0.7056360951709789,0.244122916533061
11,beta,54,none,1.0,0.5,pca,54,0.6843203776089684,0.2477510445338921
10,beta,54,none,1.0,0.5,pca,54,0.7394162210338682,0.2500864564889589
1,beta,54,none,1.0,0.5,pca,54,0.698294288343124,0.2630960888734294
23,beta,54,none,1.0,0.5,pca,54,0.7734735725142677,0.2450868200207377
3,beta,54,none,1.0,0.5,pca,54,0.6855998433947206,0.2504965500089592
15,beta,54,none,1.0,0.5,pca,54,0.7925260455986713,0.2390600905577468
5,beta,54,none,1.0,0.5,pca,54,0.6522660076783903,0.2555444978412748
21,beta,54,none,1.0,0.5,pca,54,0.6712048016395844,0.2411608624701232
9,beta,54,none,1.0,0.5,pca,54,0.6865582770270271,0.2473770393795437
13,beta,54,none,1.0,0.5,pca,54,0.7409126010094046,0.2304315779498979
7,beta,54,none,1.0,0.5,pca,54,0.7341495339037161,0.2346632456532377
2,beta,54,none,1.0,0.5,pca,54,0.7866483029381965,0.2227291606853359
19,beta,54,none,1.0,0.5,pca,54,0.7228847646602217,0.2440419493581815
6,beta,54,none,1.0,0.5,pca,54,0.7304985530123652,0.2520008485530009
27,beta,54,none,1.0,0.5,pca,54,0.7010721073889286,0.2480583939168023
18,beta,54,none,1.0,0.5,pca,54,0.7582876085962506,0.2292015182841361
17,beta,54,none,1.0,0.5,pca,54,0.7260804461196881,0.2424443866801916
30,beta,54,none,1.0,0.5,pca,54,0.7046056843692005,0.2410557823174835
42,beta,54,none,1.0,0.5,pca,54,0.7680061179087875,0.2293129890927422
26,beta,54,none,1.0,0.5,pca,54,0.7235161229594169,0.2525205949136451
22,beta,54,none,1.0,0.5,pca,54,0.7453070122320455,0.2618586038450313
47,beta,54,none,1.0,0.5,pca,54,0.7232769274645877,0.2338238195525739
14,beta,54,none,1.0,0.5,pca,54,0.7727596106363568,0.2426818447775474
31,beta,54,none,1.0,0.5,pca,54,0.730512209218321,0.2371086048321101
38,beta,54,none,1.0,0.5,pca,54,0.6328913643162635,0.2744614366792485
37,beta,54,none,1.0,0.5,pca,54,0.7202335838079358,0.246067181924195
35,beta,54,none,1.0,0.5,pca,54,0.7608038045367473,0.2396521996262656
49,beta,54,none,1.0,0.5,pca,54,0.7003939393939393,0.2399668483263848
45,beta,54,none,1.0,0.5,pca,54,0.6653112858046444,0.2652452503160206
41,beta,54,none,1.0,0.5,pca,54,0.7030421710578368,0.2415930929218199
43,beta,54,none,1.0,0.5,pca,54,0.721674713056431,0.2560749019787969
29,beta,54,none,1.0,0.5,pca,54,0.7097183182379274,0.2633931841744339
25,beta,54,none,1.0,0.5,pca,54,0.7845103719242167,0.2526809470822277
46,beta,54,none,1.0,0.5,pca,54,0.7244166666666666,0.2489437125247506
39,beta,54,none,1.0,0.5,pca,54,0.737725023905542,0.2621193851202475
33,beta,54,none,1.0,0.5,pca,54,0.655515214384509,0.2770892842927693
34,beta,54,none,1.0,0.5,pca,54,0.7255188816453637,0.24203861182279135
