seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
16,beta,54,none,1.0,0.5,raw,54,0.7247818559556787,0.2634182876151669
0,beta,54,none,1.0,0.5,raw,54,0.7053066190551612,0.2795767415634513
12,beta,54,none,1.0,0.5,raw,54,0.638235294117647,0.2746449785227681
8,beta,54,none,1.0,0.5,raw,54,0.6823707415723654,0.2575334136542421
24,beta,54,none,1.0,0.5,raw,54,0.6917443806791009,0.2719456301398552
4,beta,54,none,1.0,0.5,raw,54,0.701066909464444,0.2595496749997883
20,beta,54,none,1.0,0.5,raw,54,0.7083076306211832,0.2668959421119848
36,beta,54,none,1.0,0.5,raw,54,0.7242858826475744,0.2520175673997502
40,beta,54,none,1.0,0.5,raw,54,0.6826267056530214,0.2748048246880835
28,beta,54,none,1.0,0.5,raw,54,0.6718633931381807,0.2899473025890654
32,beta,54,none,1.0,0.5,raw,54,0.6207087486157253,0.2759327388668047
44,beta,54,none,1.0,0.5,raw,54,0.674066924066924,0.2628134281128451
48,beta,54,none,1.0,0.5,raw,54,0.6759353442695715,0.2698792132657871
10,beta,54,none,1.0,0.5,raw,54,0.745874183006536,0.2591934355687856
14,beta,54,none,1.0,0.5,raw,54,0.6948366631234464,0.2663572260701188
7,beta,54,none,1.0,0.5,raw,54,0.7238778572340698,0.2531837895492742
5,beta,54,none,1.0,0.5,raw,54,0.6142086992336319,0.2899609341699126
18,beta,54,none,1.0,0.5,raw,54,0.7196910314194265,0.2512655709314463
1,beta,54,none,1.0,0.5,raw,54,0.6586276452685965,0.2841953653422088
39,beta,54,none,1.0,0.5,raw,54,0.7291640682381961,0.2693040830324257
23,beta,54,none,1.0,0.5,raw,54,0.7002315810605408,0.2760249333738045
3,beta,54,none,1.0,0.5,raw,54,0.5777756027044526,0.2950078321079938
6,beta,54,none,1.0,0.5,raw,54,0.6979215995790582,0.271300576105079
21,beta,54,none,1.0,0.5,raw,54,0.5666081100863709,0.281842627284014
17,beta,54,none,1.0,0.5,raw,54,0.6874064129705169,0.2692171699402283
15,beta,54,none,1.0,0.5,raw,54,0.7305186471387589,0.2628526039460053
11,beta,54,none,1.0,0.5,raw,54,0.6269894534995205,0.2762067079496723
41,beta,54,none,1.0,0.5,raw,54,0.6565392831711369,0.2671435230716196
22,beta,54,none,1.0,0.5,raw,54,0.6675615302840687,0.2879410330793903
30,beta,54,none,1.0,0.5,raw,54,0.6860589508148892,0.2593219524737717
38,beta,54,none,1.0,0.5,raw,54,0.5975150517509639,0.3072007888100537
19,beta,54,none,1.0,0.5,raw,54,0.695055041987157,0.2663250561708294
34,beta,54,none,1.0,0.5,raw,54,0.6520284721865749,0.2722800006108825
35,beta,54,none,1.0,0.5,raw,54,0.7170560695821961,0.2496560233737415
9,beta,54,none,1.0,0.5,raw,54,0.6339189189189189,0.2743415736776818
26,beta,54,none,1.0,0.5,raw,54,0.6577064787671785,0.2776149847250003
29,beta,54,none,1.0,0.5,raw,54,0.6288203274885111,0.2909136984090101
2,beta,54,none,1.0,0.5,raw,54,0.7027965108915907,0.2548317693704333
42,beta,54,none,1.0,0.5,raw,54,0.7204494191076505,0.2457145463869424
45,beta,54,none,1.0,0.5,raw,54,0.6094276420245519,0.2977298925818597
13,beta,54,none,1.0,0.5,raw,54,0.6935036818445075,0.2463195839346962
43,beta,54,none,1.0,0.5,raw,54,0.6712950032584554,0.2772614397220521
37,beta,54,none,1.0,0.5,raw,54,0.6292542786403633,0.2758957039099356
49,beta,54,none,1.0,0.5,raw,54,0.6777575757575758,0.2547376226473076
25,beta,54,none,1.0,0.5,raw,54,0.7343355642126994,0.2677062904091947
47,beta,54,none,1.0,0.5,raw,54,0.6869284152485978,0.2574183746007282
46,beta,54,none,1.0,0.5,raw,54,0.6603787878787879,0.2736734053830048
27,beta,54,none,1.0,0.5,raw,54,0.658670408648135,0.2663648483681615
31,beta,54,none,1.0,0.5,raw,54,0.6461584308625921,0.2693207789768849
33,beta,54,none,1.0,0.5,raw,54,0.5956157791609036,0.2973080538372537
