seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
0,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6922444215491304,0.4291358354135571
1,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6977768003903841,0.4249772521550786
4,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6849961362256445,0.4343596215578976
5,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7364694257446699,0.3908960546392502
6,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6677474795414995,0.431780330782048
2,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6911527681788854,0.4165394131729656
3,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7042165785266264,0.4242345908844691
11,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.712124270530074,0.4174645136411147
28,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7069501092608602,0.424371537993612
30,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6825997157671164,0.4367053956257312
34,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7298985790150101,0.4104552859162649
8,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7262177596660468,0.4107888384350642
37,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6948293747871055,0.4254640920372157
40,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7262908509228102,0.4053298175615112
42,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7011586575616844,0.4259058568763584
7,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.776320972788964,0.3863172469810995
17,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6601478052126201,0.4416854279360082
44,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6624421635416687,0.4345513157496418
13,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7097051681893827,0.4245895191593053
49,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6848485947655305,0.4316564013329604
48,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6005168499043977,0.4602259623597711
38,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.693805331022257,0.4159249578543915
46,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7173533720128676,0.4188453181515711
12,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.741780472698529,0.397882074413631
16,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7245012916761133,0.4113768806797043
20,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6956389930857694,0.4121155941751553
24,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.685162949093672,0.4247196156173888
32,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6648703109747595,0.4365370746163609
10,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.706589476921155,0.4160836929727461
36,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6377332136445242,0.4448678155465232
29,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7191359537271487,0.4152333780816815
18,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7475189083506589,0.4053238067579272
14,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.636693507517315,0.4456608396994237
22,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6721519924158859,0.430679684310233
9,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7146083970581072,0.4114208164092088
26,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6674392787058987,0.4351657003475745
15,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.681887655609314,0.4334085257870181
33,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6981266637881725,0.4191946252627101
41,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7047304274169519,0.4216623830137932
25,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6579547431375372,0.4335375225279079
21,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6762368310155921,0.4255061704645435
27,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6427082842581635,0.4485285390759865
45,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7202292722901114,0.4062863113607986
35,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7608704556252766,0.3968451225869226
19,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.69594917612697,0.4157474889455765
23,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7069323367916647,0.4104196520114251
31,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.74260845355356,0.3963467025388197
43,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.6896011007828612,0.4267115098638647
47,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7633987081605347,0.3852037172297092
39,beta,1,max,1.0,0.5,pca,none,,max,286.0,20,0.7354758582027243,0.40012039741912625
