seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,max,1.0,0.5,pca,max,0.7033475839548726,0.4225645258403142
8,beta,1,max,1.0,0.5,pca,max,0.7171328379242211,0.4136616007651957
28,beta,1,max,1.0,0.5,pca,max,0.7022238948077001,0.4258797557868698
20,beta,1,max,1.0,0.5,pca,max,0.6946427941487735,0.4092915275153047
24,beta,1,max,1.0,0.5,pca,max,0.6727518180831433,0.4287001276065431
12,beta,1,max,1.0,0.5,pca,max,0.7426304677368026,0.3973719241781313
36,beta,1,max,1.0,0.5,pca,max,0.6393414721723518,0.4422418399217546
48,beta,1,max,1.0,0.5,pca,max,0.6036261651529637,0.4587073118892809
40,beta,1,max,1.0,0.5,pca,max,0.7341194427449781,0.4025105806405345
16,beta,1,max,1.0,0.5,pca,max,0.7197193757803543,0.4104056553727041
44,beta,1,max,1.0,0.5,pca,max,0.6542619923598483,0.4359433375415518
32,beta,1,max,1.0,0.5,pca,max,0.6455829033607585,0.4412586674365795
4,beta,1,max,1.0,0.5,pca,max,0.6669278164155213,0.4395408373294597
25,beta,1,max,1.0,0.5,pca,max,0.6538471632354352,0.434449356905136
15,beta,1,max,1.0,0.5,pca,max,0.6961474506951691,0.4268135889821217
26,beta,1,max,1.0,0.5,pca,max,0.6674969537110894,0.4328300520715373
5,beta,1,max,1.0,0.5,pca,max,0.7430423065100978,0.3877286728503648
6,beta,1,max,1.0,0.5,pca,max,0.6630154175835238,0.4351046416876954
38,beta,1,max,1.0,0.5,pca,max,0.6940077952051403,0.4158534060559912
1,beta,1,max,1.0,0.5,pca,max,0.7128977681323196,0.4197867952479068
13,beta,1,max,1.0,0.5,pca,max,0.7086778008594194,0.4227909458753635
49,beta,1,max,1.0,0.5,pca,max,0.691081880504783,0.4313526487504158
18,beta,1,max,1.0,0.5,pca,max,0.7316802017716993,0.4128747314454561
35,beta,1,max,1.0,0.5,pca,max,0.7690496279774096,0.3933113235475436
2,beta,1,max,1.0,0.5,pca,max,0.6927221339549166,0.4150883005892043
7,beta,1,max,1.0,0.5,pca,max,0.7659563884729448,0.3921165979741999
3,beta,1,max,1.0,0.5,pca,max,0.6996138236379289,0.4241216671399819
9,beta,1,max,1.0,0.5,pca,max,0.718793531732502,0.4109323697078129
43,beta,1,max,1.0,0.5,pca,max,0.6833917030846816,0.4280292069683736
10,beta,1,max,1.0,0.5,pca,max,0.7018948484914007,0.4185096235843688
42,beta,1,max,1.0,0.5,pca,max,0.7042359334098542,0.4237585933624166
34,beta,1,max,1.0,0.5,pca,max,0.7178708261597032,0.4146616218041272
30,beta,1,max,1.0,0.5,pca,max,0.6794844765117442,0.4377658581173309
17,beta,1,max,1.0,0.5,pca,max,0.6595788751714677,0.4414669433997472
31,beta,1,max,1.0,0.5,pca,max,0.7443102349051336,0.3962870703544197
46,beta,1,max,1.0,0.5,pca,max,0.7186237410003063,0.4167919705646697
22,beta,1,max,1.0,0.5,pca,max,0.6758693361433088,0.4289827636399484
14,beta,1,max,1.0,0.5,pca,max,0.6353315689697242,0.4434899125365825
11,beta,1,max,1.0,0.5,pca,max,0.7126566543819526,0.4164168701821538
33,beta,1,max,1.0,0.5,pca,max,0.694709161801291,0.4178236237031656
27,beta,1,max,1.0,0.5,pca,max,0.6338851460892748,0.4503227434177919
21,beta,1,max,1.0,0.5,pca,max,0.6617660486023317,0.4316270403213069
41,beta,1,max,1.0,0.5,pca,max,0.7182691809158765,0.4169980479773337
39,beta,1,max,1.0,0.5,pca,max,0.7278426847014479,0.4007359759839098
19,beta,1,max,1.0,0.5,pca,max,0.7032390058415079,0.4127403057826867
47,beta,1,max,1.0,0.5,pca,max,0.7595744666970675,0.3847213177415947
29,beta,1,max,1.0,0.5,pca,max,0.7205949885195168,0.4152686348074829
37,beta,1,max,1.0,0.5,pca,max,0.704155441323713,0.4201736227850814
23,beta,1,max,1.0,0.5,pca,max,0.6966861020830922,0.4141781843273815
45,beta,1,max,1.0,0.5,pca,max,0.7215896572322229,0.4050631241701624
