seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_2pl,rmse_2pl
42,bernoulli,54,none,1.0,0.5,raw,54,50,0.5261092571993573,0.4372793049706017
15,bernoulli,54,none,1.0,0.5,raw,54,50,0.5211988524837687,0.463245690253149
1,bernoulli,54,none,1.0,0.5,raw,54,50,0.5320687946776135,0.4604610469912933
46,bernoulli,54,none,1.0,0.5,raw,54,50,0.5400416666666668,0.4342569828943425
29,bernoulli,54,none,1.0,0.5,raw,54,50,0.5510009072115885,0.4569640476997303
11,bernoulli,54,none,1.0,0.5,raw,54,50,0.5166088944612435,0.444606338219803
17,bernoulli,54,none,1.0,0.5,raw,54,20,0.5113189593491136,0.4676709789603879
9,bernoulli,54,none,1.0,0.5,raw,54,50,0.5708108108108108,0.4383760944632341
41,bernoulli,54,none,1.0,0.5,raw,54,50,0.5769245984650684,0.390747222852692
30,bernoulli,54,none,1.0,0.5,raw,54,50,0.5413279736771726,0.439253206343393
21,bernoulli,54,none,1.0,0.5,raw,54,50,0.5279478501984896,0.4147659120973652
7,bernoulli,54,none,1.0,0.5,raw,54,50,0.5511907802324096,0.4208111418012771
5,bernoulli,54,none,1.0,0.5,raw,54,50,0.5741619228336496,0.4382177663918692
3,bernoulli,54,none,1.0,0.5,raw,54,50,0.5178740833320785,0.4432045586460433
33,bernoulli,54,none,1.0,0.5,raw,54,20,0.529294173582296,0.4628172707682053
43,bernoulli,54,none,1.0,0.5,raw,54,50,0.5134062163348362,0.4955308228451382
39,bernoulli,54,none,1.0,0.5,raw,54,50,0.5459194279299879,0.4632640893340667
37,bernoulli,54,none,1.0,0.5,raw,54,50,0.5536932371857337,0.4580622398718211
25,bernoulli,54,none,1.0,0.5,raw,54,50,0.5206872440315652,0.48501610628402
48,bernoulli,54,none,1.0,0.5,raw,54,50,0.5832978861127036,0.3998926741440552
38,bernoulli,54,none,1.0,0.5,raw,54,50,0.5409760900774949,0.4539535445295838
13,bernoulli,54,none,1.0,0.5,raw,54,50,0.4976385173336275,0.4811789683150348
6,bernoulli,54,none,1.0,0.5,raw,54,20,0.5165482767692712,0.4862821779415684
0,bernoulli,54,none,1.0,0.5,raw,54,50,0.5161696735828138,0.4675118943603555
22,bernoulli,54,none,1.0,0.5,raw,54,50,0.5141630670273035,0.4728973026204353
31,bernoulli,54,none,1.0,0.5,raw,54,50,0.5205533882386938,0.4020581759684761
27,bernoulli,54,none,1.0,0.5,raw,54,50,0.5106691019244476,0.4456044628659477
44,bernoulli,54,none,1.0,0.5,raw,54,20,0.535035035035035,0.4035710624435153
23,bernoulli,54,none,1.0,0.5,raw,54,50,0.5557228483753477,0.4657129447885946
19,bernoulli,54,none,1.0,0.5,raw,54,50,0.5576088490579353,0.4302667181777795
26,bernoulli,54,none,1.0,0.5,raw,54,50,0.5312575639405104,0.4856839030369099
35,bernoulli,54,none,1.0,0.5,raw,54,20,0.5658286923014341,0.4445353804465142
34,bernoulli,54,none,1.0,0.5,raw,54,50,0.5445049022124121,0.4111093437400981
47,bernoulli,54,none,1.0,0.5,raw,54,20,0.5369141553379599,0.3825083127396299
2,bernoulli,54,none,1.0,0.5,raw,54,50,0.5065935283687943,0.4260582329188181
14,bernoulli,54,none,1.0,0.5,raw,54,50,0.5416858474852901,0.4176501013135154
10,bernoulli,54,none,1.0,0.5,raw,54,50,0.555770944741533,0.4470109172678352
18,bernoulli,54,none,1.0,0.5,raw,54,20,0.614148540074466,0.4222772411403724
12,bernoulli,54,none,1.0,0.5,raw,54,50,0.5165620031796503,0.4403757032648124
36,bernoulli,54,none,1.0,0.5,raw,54,50,0.5247270959473196,0.4542457433710019
24,bernoulli,54,none,1.0,0.5,raw,54,10,0.5146251793400287,0.5028071281947504
20,bernoulli,54,none,1.0,0.5,raw,54,50,0.528452902350256,0.4470694832317082
4,bernoulli,54,none,1.0,0.5,raw,54,50,0.5682401830321707,0.4302628912825889
49,bernoulli,54,none,1.0,0.5,raw,54,50,0.5267007575757576,0.4409148088344082
8,bernoulli,54,none,1.0,0.5,raw,54,50,0.5245393983553659,0.451783892204061
40,bernoulli,54,none,1.0,0.5,raw,54,50,0.5340129838485101,0.4095349465283034
45,bernoulli,54,none,1.0,0.5,raw,54,50,0.529934554466948,0.4958503756946857
28,bernoulli,54,none,1.0,0.5,raw,54,20,0.515687755744413,0.4930836073711502
16,bernoulli,54,none,1.0,0.5,raw,54,50,0.5335249307479225,0.4617724695599073
32,bernoulli,54,none,1.0,0.5,raw,54,50,0.5257475083056479,0.3988000678674569
