seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_2pl,rmse_2pl
42,beta,54,none,1.0,0.5,raw,54,50,0.5068285749598319,0.362121823785117
40,beta,54,none,1.0,0.5,raw,54,20,0.5076841409078251,0.2825925229691452
46,beta,54,none,1.0,0.5,raw,54,50,0.5051742424242425,0.3376785891944204
41,beta,54,none,1.0,0.5,raw,54,50,0.5678059973099138,0.3052814880402967
5,beta,54,none,1.0,0.5,raw,54,20,0.5668108203521468,0.3473532781696932
13,beta,54,none,1.0,0.5,raw,54,50,0.5644391737223862,0.3516879917390137
33,beta,54,none,1.0,0.5,raw,54,20,0.474134825956662,0.3611979275762789
15,beta,54,none,1.0,0.5,raw,54,50,0.5086441189793145,0.3670210562533153
17,beta,54,none,1.0,0.5,raw,54,20,0.5730366086642227,0.3549269435150358
1,beta,54,none,1.0,0.5,raw,54,50,0.474258617028806,0.3847230606934507
29,beta,54,none,1.0,0.5,raw,54,50,0.4976427371019795,0.3579581776210366
9,beta,54,none,1.0,0.5,raw,54,50,0.5576266891891892,0.3513395556218441
25,beta,54,none,1.0,0.5,raw,54,50,0.5803016681650184,0.3710648776417215
37,beta,54,none,1.0,0.5,raw,54,50,0.624324187762114,0.3601101943087132
21,beta,54,none,1.0,0.5,raw,54,50,0.5878477873362784,0.3185826437241114
47,beta,54,none,1.0,0.5,raw,54,20,0.4409259435307538,0.3021657587374579
27,beta,54,none,1.0,0.5,raw,54,50,0.5224147659776668,0.3288867033996887
2,beta,54,none,1.0,0.5,raw,54,50,0.5952618414387032,0.3327098531435509
11,beta,54,none,1.0,0.5,raw,54,50,0.5335865476805074,0.3316076830711281
48,beta,54,none,1.0,0.5,raw,54,20,0.5228403395535499,0.3221169331006431
39,beta,54,none,1.0,0.5,raw,54,10,0.5690904807439128,0.3745553837951066
19,beta,54,none,1.0,0.5,raw,54,50,0.6213217133582668,0.3360275657925087
14,beta,54,none,1.0,0.5,raw,54,20,0.4983637018003465,0.3321710068025498
3,beta,54,none,1.0,0.5,raw,54,50,0.4327689018054781,0.3407643225732122
31,beta,54,none,1.0,0.5,raw,54,20,0.4885944950151712,0.3146447965860015
18,beta,54,none,1.0,0.5,raw,54,20,0.5666438042981252,0.3273028905855398
44,beta,54,none,1.0,0.5,raw,54,20,0.5277599027599028,0.3055091562889053
10,beta,54,none,1.0,0.5,raw,54,10,0.5524881164587047,0.3662619593363513
35,beta,54,none,1.0,0.5,raw,54,20,0.515572418587795,0.3510205648326388
22,beta,54,none,1.0,0.5,raw,54,50,0.5178838157522909,0.3755608179794636
7,beta,54,none,1.0,0.5,raw,54,50,0.4862326012003575,0.3264765201891633
23,beta,54,none,1.0,0.5,raw,54,50,0.611965499440764,0.3616565964032205
43,beta,54,none,1.0,0.5,raw,54,50,0.4498929364667704,0.3759798718591672
38,beta,54,none,1.0,0.5,raw,54,50,0.5268751738185973,0.3531722303048729
34,beta,54,none,1.0,0.5,raw,54,50,0.6165494584466916,0.3183039283444714
30,beta,54,none,1.0,0.5,raw,54,50,0.550996425995413,0.3282673390785099
26,beta,54,none,1.0,0.5,raw,54,50,0.4286569131054514,0.3642380123535289
6,beta,54,none,1.0,0.5,raw,54,20,0.5881412786108919,0.3594670592444624
16,beta,54,none,1.0,0.5,raw,54,5,0.5037603878116343,0.3512723042917121
0,beta,54,none,1.0,0.5,raw,54,50,0.5219291298901383,0.349755389873483
12,beta,54,none,1.0,0.5,raw,54,50,0.5365580286168522,0.344767441095392
4,beta,54,none,1.0,0.5,raw,54,50,0.6505112760890881,0.3441169254313153
24,beta,54,none,1.0,0.5,raw,54,10,0.5525047824007652,0.3858483470229822
8,beta,54,none,1.0,0.5,raw,54,50,0.5300673615964551,0.3455755353922775
45,beta,54,none,1.0,0.5,raw,54,50,0.6062166802204754,0.3618467166369516
49,beta,54,none,1.0,0.5,raw,54,50,0.5520378787878788,0.3459095850246212
32,beta,54,none,1.0,0.5,raw,54,50,0.5932833316554247,0.3142990421919288
20,beta,54,none,1.0,0.5,raw,54,50,0.5304654247116155,0.3372918484910958
28,beta,54,none,1.0,0.5,raw,54,20,0.5653824362606232,0.3821984056053761
36,beta,54,none,1.0,0.5,raw,54,50,0.5416464106303679,0.34369521354694854
