seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
46,bernoulli,54,none,1.0,0.5,pca,54,0.6618863636363637,0.4036303568508473
28,bernoulli,54,none,1.0,0.5,pca,54,0.655955303745672,0.4376037338437515
0,bernoulli,54,none,1.0,0.5,pca,54,0.7122719615268319,0.3990917257541837
6,bernoulli,54,none,1.0,0.5,pca,54,0.7050052617732175,0.4123545997293698
44,bernoulli,54,none,1.0,0.5,pca,54,0.658015158015158,0.3822895877202992
12,bernoulli,54,none,1.0,0.5,pca,54,0.6118004769475358,0.415013983473679
34,bernoulli,54,none,1.0,0.5,pca,54,0.6895821569734614,0.3827892802456016
22,bernoulli,54,none,1.0,0.5,pca,54,0.7205165987108582,0.4059596491314699
24,bernoulli,54,none,1.0,0.5,pca,54,0.6662332615973219,0.4417846205788469
2,bernoulli,54,none,1.0,0.5,pca,54,0.7151484929078014,0.3961304461392803
30,bernoulli,54,none,1.0,0.5,pca,54,0.5992616965580958,0.4075806722475477
18,bernoulli,54,none,1.0,0.5,pca,54,0.680514729897446,0.3883910770250188
40,bernoulli,54,none,1.0,0.5,pca,54,0.6950840643274854,0.3745593422422903
8,bernoulli,54,none,1.0,0.5,pca,54,0.6560841053398563,0.4104131348291751
14,bernoulli,54,none,1.0,0.5,pca,54,0.7125597395314579,0.374047579870106
42,bernoulli,54,none,1.0,0.5,pca,54,0.6970708194289951,0.3880845237364453
16,bernoulli,54,none,1.0,0.5,pca,54,0.7174826869806094,0.4079205570808238
36,bernoulli,54,none,1.0,0.5,pca,54,0.6794169207878493,0.4103938005180381
20,bernoulli,54,none,1.0,0.5,pca,54,0.6857535007093949,0.4004231137376251
26,bernoulli,54,none,1.0,0.5,pca,54,0.598805233574483,0.4431995826497591
4,bernoulli,54,none,1.0,0.5,pca,54,0.6832345021867364,0.406997616306326
48,bernoulli,54,none,1.0,0.5,pca,54,0.6975088309814873,0.3757864136846672
32,bernoulli,54,none,1.0,0.5,pca,54,0.6104441424208866,0.4066045204573208
10,bernoulli,54,none,1.0,0.5,pca,54,0.6977124183006536,0.3955492351174509
47,bernoulli,54,none,1.0,0.5,pca,54,0.6707481699781348,0.3787990890455219
1,bernoulli,54,none,1.0,0.5,pca,54,0.6660697855474556,0.4145233900099316
38,bernoulli,54,none,1.0,0.5,pca,54,0.6131117475064078,0.4234384951984492
35,bernoulli,54,none,1.0,0.5,pca,54,0.7384417966525402,0.3881236479915346
31,bernoulli,54,none,1.0,0.5,pca,54,0.6873103597745991,0.373365276327548
3,bernoulli,54,none,1.0,0.5,pca,54,0.6334307096929633,0.4193430259897901
29,bernoulli,54,none,1.0,0.5,pca,54,0.6402381663431387,0.42107097514602
7,bernoulli,54,none,1.0,0.5,pca,54,0.7099947324735028,0.3800050396647805
13,bernoulli,54,none,1.0,0.5,pca,54,0.7098547946716677,0.4050229504934813
41,bernoulli,54,none,1.0,0.5,pca,54,0.643697088377245,0.3867867149971084
19,bernoulli,54,none,1.0,0.5,pca,54,0.707157222496648,0.3873116350729079
37,bernoulli,54,none,1.0,0.5,pca,54,0.6780715621097613,0.4060412934531383
25,bernoulli,54,none,1.0,0.5,pca,54,0.706207573894917,0.4037402463035986
43,bernoulli,54,none,1.0,0.5,pca,54,0.6934391998829617,0.4184934940721163
49,bernoulli,54,none,1.0,0.5,pca,54,0.6238484848484849,0.4174456487043918
9,bernoulli,54,none,1.0,0.5,pca,54,0.7001773648648648,0.3854098469758034
15,bernoulli,54,none,1.0,0.5,pca,54,0.7176241884342442,0.3867925900950256
21,bernoulli,54,none,1.0,0.5,pca,54,0.5985989477038071,0.4041200702719357
33,bernoulli,54,none,1.0,0.5,pca,54,0.6281127552997574,0.4275247940045581
5,bernoulli,54,none,1.0,0.5,pca,54,0.6465072150390538,0.4125111867370351
27,bernoulli,54,none,1.0,0.5,pca,54,0.6930572879543836,0.3960153219914589
17,bernoulli,54,none,1.0,0.5,pca,54,0.6748039743599201,0.4102679509240329
45,bernoulli,54,none,1.0,0.5,pca,54,0.6415876315447577,0.4426905591051976
39,bernoulli,54,none,1.0,0.5,pca,54,0.7378999406216773,0.3928133131942889
11,bernoulli,54,none,1.0,0.5,pca,54,0.6429101298548681,0.4221699884257383
23,bernoulli,54,none,1.0,0.5,pca,54,0.6870142533482462,0.40752222685078926
