seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version,knn_selection_version
1,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5752105896510229,0.4493608167158215,28,2,30,2,2.0
2,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.5526522603823617,0.4179651491954818,5,2,30,2,2.0
3,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.600006080068981,0.4266761509609853,3,2,30,2,2.0
0,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,20,0.5682047157087375,0.4410843815013011,12,2,30,2,2.0
15,bernoulli,54,none,1.0,0.5,raw,none,,54,31.0,50,0.5666834346569821,0.4153093422855058,2,2,30,2,2.0
4,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.6026219272793435,0.4304850026574328,6,2,30,2,2.0
6,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5603853665221935,0.4452354464875324,23,2,30,2,2.0
7,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5669654882154882,0.4298696998631066,19,2,30,2,2.0
5,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5897684646229466,0.4461031303154411,16,2,30,2,2.0
10,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.6081483346119422,0.438955219914361,30,2,30,2,2.0
8,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5641548742138365,0.4367709556862663,18,2,30,2,2.0
43,bernoulli,54,none,1.0,0.5,raw,none,,54,31.0,50,0.5250529727034775,0.442914445431302,24,2,30,2,2.0
31,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.611664634407222,0.4348631654298475,30,2,30,2,2.0
12,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5947363056747789,0.4394730457453203,20,2,30,2,2.0
30,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5996703722854188,0.4343827260654458,12,2,30,2,2.0
19,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.6226224641266699,0.4290334926226798,23,2,30,2,2.0
47,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5994001174595184,0.4404704377465798,16,2,30,2,2.0
39,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.561212543554007,0.4280334889977986,4,2,30,2,2.0
16,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.566982788315166,0.4440023993908427,22,2,30,2,2.0
23,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.5318356531361016,0.434309840632394,11,2,30,2,2.0
32,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,20,0.5900390047323277,0.4227675427136278,12,2,30,2,2.0
27,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5716700717061249,0.4427215088024389,25,2,30,2,2.0
24,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5379841625638768,0.4493964797339184,5,2,30,2,2.0
36,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5795778515941725,0.4478599896908695,21,2,30,2,2.0
42,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.6112013912646823,0.439523055552482,29,2,30,2,2.0
14,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5917649296310384,0.4177028665953838,6,2,30,2,2.0
11,bernoulli,54,none,1.0,0.5,raw,none,,54,29.0,50,0.5951510210420065,0.426139121191177,6,2,30,2,2.0
35,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.6078804441830699,0.4169041453557797,3,2,30,2,2.0
34,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,50,0.6138348158152098,0.4409450383288812,21,2,30,2,2.0
20,bernoulli,54,none,1.0,0.5,raw,none,,54,30.0,20,0.5433839937118531,0.4392983397110535,22,2,30,2,2.0
