seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
1,beta,1,max,1.0,0.5,raw,none,,2,0.4370189474349771,0.6394455003081979,0.3647848004047676,0.8548103149020579
2,beta,1,max,1.0,0.5,raw,none,,2,0.4212045286749331,0.6577864514927942,0.3493152851943108,0.8642229098790845
3,beta,1,max,1.0,0.5,raw,none,,2,0.4289683826795389,0.6493955233058664,0.3464900075461105,0.8807749482217222
1,beta,1,max,1.0,0.5,raw,none,,3,0.4368529473552321,0.6566975292788164,0.364021777057023,0.8578298481968206
4,beta,1,max,1.0,0.5,raw,none,,2,0.4418896416662321,0.643095573218524,0.357905784673912,0.866865254427077
2,beta,1,max,1.0,0.5,raw,none,,3,0.4234941106868676,0.6507630375627682,0.3641760276635904,0.8472770151451123
3,beta,1,max,1.0,0.5,raw,none,,3,0.4303967258133841,0.6498127536588365,0.3563242249378898,0.8578978576041689
1,beta,1,max,1.0,0.5,raw,none,,4,0.44008812696433,0.6451372123484692,0.3472294169581252,0.8530319310135823
4,beta,1,max,1.0,0.5,raw,none,,3,0.4392448270717842,0.6563648782911078,0.36173996008364,0.8560279210074011
0,beta,1,max,1.0,0.5,raw,none,,2,0.4427652958145369,0.6282357411064826,0.3637847487575747,0.8622325560535603
2,beta,1,max,1.0,0.5,raw,none,,4,0.4235353645322435,0.636550442852516,0.3561478510187029,0.8596930081655465
3,beta,1,max,1.0,0.5,raw,none,,4,0.4311940571532034,0.6434583692042799,0.3525849309864932,0.8760272142173129
1,beta,1,max,1.0,0.5,raw,none,,5,0.4375111544413261,0.6513695551674542,0.3490585164361069,0.8586604953577431
0,beta,1,max,1.0,0.5,raw,none,,3,0.4410223008386287,0.641019883553368,0.3591367304858191,0.8633439568109385
4,beta,1,max,1.0,0.5,raw,none,,4,0.4403736391796317,0.6489112435833747,0.3553185826957703,0.8529141944379237
2,beta,1,max,1.0,0.5,raw,none,,5,0.4241160456361155,0.636805468775901,0.3569989855522146,0.8600624343961721
3,beta,1,max,1.0,0.5,raw,none,,5,0.430943612435016,0.654846267371787,0.346519476178064,0.872506430528027
1,beta,1,max,1.0,0.5,raw,none,,6,0.4390078174572803,0.6282248433326485,0.3577464771577137,0.8621945339835246
0,beta,1,max,1.0,0.5,raw,none,,4,0.442337387481174,0.6296973140601949,0.357637163372054,0.8658414551080988
4,beta,1,max,1.0,0.5,raw,none,,5,0.4408288910064462,0.6405851548269581,0.3487988672235888,0.8685813117045359
2,beta,1,max,1.0,0.5,raw,none,,6,0.4237886401650877,0.6487540708513021,0.3541415243013258,0.8564186103575664
3,beta,1,max,1.0,0.5,raw,none,,6,0.4318057991321757,0.647367175009224,0.3425480462922405,0.8809545019263746
1,beta,1,max,1.0,0.5,raw,none,,7,0.4386436466907482,0.6384746763920279,0.3576178925203617,0.8528776482904923
0,beta,1,max,1.0,0.5,raw,none,,5,0.441871027031591,0.6299163788588777,0.3551753163957425,0.862909487410198
4,beta,1,max,1.0,0.5,raw,none,,6,0.4407659798850289,0.6590263978583651,0.3469141852094383,0.859460035562319
3,beta,1,max,1.0,0.5,raw,none,,7,0.4317627643372683,0.6516052761038003,0.3447127515063281,0.8771950092421443
2,beta,1,max,1.0,0.5,raw,none,,7,0.4251747536409159,0.6425397266632152,0.34942638147344,0.8549586269885627
1,beta,1,max,1.0,0.5,raw,none,,8,0.4386237732083853,0.6409489290117114,0.363666494229314,0.853252334903711
3,beta,1,max,1.0,0.5,raw,none,,8,0.4325564236301644,0.6334276226786373,0.357417664216466,0.8700810636260383
2,beta,1,max,1.0,0.5,raw,none,,8,0.4251157301520525,0.643915591519878,0.3565668395344201,0.8529860817645215
0,beta,1,max,1.0,0.5,raw,none,,6,0.4422653412796941,0.6393864816481888,0.3684225212333205,0.841497153524668
4,beta,1,max,1.0,0.5,raw,none,,7,0.4413316883139814,0.655712866368604,0.3482374626348335,0.8682912548533931
1,beta,1,max,1.0,0.5,raw,none,,9,0.4392128181396221,0.6396008835011301,0.3556072887374709,0.8638702923106594
10,beta,1,max,1.0,0.5,raw,none,,2,0.4285262976736992,0.6463728267110634,0.3533306059173516,0.8701026151750617
3,beta,1,max,1.0,0.5,raw,none,,9,0.4324950482796127,0.6480906407575945,0.3499620033824455,0.8717930873215597
36,beta,1,max,1.0,0.5,raw,none,,2,0.4537227404106483,0.6128222621184918,0.358250413308767,0.8659222291870925
2,beta,1,max,1.0,0.5,raw,none,,9,0.4252098869520878,0.6492813369479007,0.3517417238952308,0.8628406287061902
0,beta,1,max,1.0,0.5,raw,none,,7,0.4427747022209396,0.6396787962389313,0.3577800686060645,0.8548774095532814
4,beta,1,max,1.0,0.5,raw,none,,8,0.4414338803716099,0.6491792929292929,0.3516658419144406,0.8678420040095299
42,beta,1,max,1.0,0.5,raw,none,,2,0.4328990388419852,0.6680216784463955,0.3663731126909116,0.8527530659079923
31,beta,1,max,1.0,0.5,raw,none,,2,0.4105152738624331,0.7008236533879396,0.3561349641216722,0.8663246697619249
13,beta,1,max,1.0,0.5,raw,none,,2,0.44051837239721,0.6588572081644228,0.369185954545175,0.8548322316124174
16,beta,1,max,1.0,0.5,raw,none,,2,0.4234746698485538,0.6685166321261724,0.3683178325055374,0.8529719613211798
37,beta,1,max,1.0,0.5,raw,none,,2,0.434255833368646,0.6652244681509926,0.3566745386784977,0.8582612394605846
38,beta,1,max,1.0,0.5,raw,none,,2,0.4224843992648542,0.6448424086956697,0.3602613217218044,0.862849413886384
1,beta,1,max,1.0,0.5,raw,none,,10,0.4395262254738999,0.6240233973700431,0.3662377309534357,0.8541642559991185
30,beta,1,max,1.0,0.5,raw,none,,2,0.4538419576209069,0.61711488005997,0.3577693854930405,0.8620558402175049
3,beta,1,max,1.0,0.5,raw,none,,10,0.4331308075761821,0.6417125814782929,0.3482228280685953,0.8773119279335457
10,beta,1,max,1.0,0.5,raw,none,,3,0.4288554892875927,0.6477458095794083,0.361878053919106,0.8686559048805319
2,beta,1,max,1.0,0.5,raw,none,,10,0.425728365912391,0.6324244421945491,0.3536192178425397,0.863650367381436
17,beta,1,max,1.0,0.5,raw,none,,2,0.4481032411727536,0.63950548696845,0.3550761014001506,0.854223548050022
36,beta,1,max,1.0,0.5,raw,none,,3,0.453478675145336,0.6115073608617594,0.3603204646557781,0.8636747191282126
21,beta,1,max,1.0,0.5,raw,none,,2,0.4271173075987186,0.6605485320972047,0.3381298188766937,0.886437078014488
0,beta,1,max,1.0,0.5,raw,none,,8,0.4421832411328437,0.6347269049224544,0.3660901493509245,0.8393738595178232
42,beta,1,max,1.0,0.5,raw,none,,3,0.4345859481913289,0.6637593525210406,0.3582054262908926,0.8570136639198057
4,beta,1,max,1.0,0.5,raw,none,,9,0.4423544666227763,0.6355494839101397,0.362506799798527,0.8563705928222397
31,beta,1,max,1.0,0.5,raw,none,,3,0.4135643643733099,0.706756549716562,0.3456161734504183,0.8665868260041801
13,beta,1,max,1.0,0.5,raw,none,,3,0.4403119320997768,0.6650742778634425,0.3685416554389349,0.8560859621231138
16,beta,1,max,1.0,0.5,raw,none,,3,0.4237534593480334,0.6720209222790978,0.3606855917063607,0.8559304058503451
37,beta,1,max,1.0,0.5,raw,none,,3,0.4336970438222515,0.66161139152964,0.3638111269934297,0.8596190739118308
38,beta,1,max,1.0,0.5,raw,none,,3,0.422190936432469,0.6505254379874926,0.357818112891538,0.859373719157308
1,beta,1,max,1.0,0.5,raw,none,,11,0.4401960070187605,0.6253383757961785,0.3541171399249729,0.8561038102322506
30,beta,1,max,1.0,0.5,raw,none,,3,0.4531812304103988,0.6206388993003498,0.3597934815663454,0.8523531667189513
3,beta,1,max,1.0,0.5,raw,none,,11,0.4339824171734588,0.6291747632517526,0.3505002610440989,0.8809517181480079
10,beta,1,max,1.0,0.5,raw,none,,4,0.4288183264604101,0.6517737665376567,0.3493776032652796,0.8710638522163935
2,beta,1,max,1.0,0.5,raw,none,,11,0.4256434086251069,0.6440357724862732,0.3525909956195887,0.8640116144335237
17,beta,1,max,1.0,0.5,raw,none,,3,0.4464937571209817,0.6367585733882031,0.3499317813705124,0.8699326412062784
36,beta,1,max,1.0,0.5,raw,none,,4,0.4523856609739999,0.6111220825852783,0.3577730923403272,0.8684376188715839
14,beta,1,max,1.0,0.5,raw,none,,2,0.4486735809097128,0.5936100005630948,0.3747850437791339,0.8532993083254086
21,beta,1,max,1.0,0.5,raw,none,,3,0.4272915363668054,0.6624592639415647,0.3415353919228433,0.8881210075221759
4,beta,1,max,1.0,0.5,raw,none,,10,0.4421906043169488,0.6463373488988243,0.3511536446020052,0.8666993149261908
42,beta,1,max,1.0,0.5,raw,none,,4,0.4344222427310079,0.6626644550958133,0.3778254441598868,0.8436720325844758
0,beta,1,max,1.0,0.5,raw,none,,9,0.4422976683474323,0.6411992428572896,0.3567968437941545,0.8618772722048902
31,beta,1,max,1.0,0.5,raw,none,,4,0.4161859978337811,0.706186818141132,0.3460402595913226,0.8676153953043948
5,beta,1,max,1.0,0.5,raw,none,,2,0.4027052801298993,0.7035767815090129,0.3728334705245667,0.8462557510875597
