seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
42,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3921978945323506
15,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3960312193921178
1,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4141597273774232
46,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3923925653957344
29,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4035336205161678
11,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3972333214153198
17,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.3959368980180338
9,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3828922500062157
41,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3601182839000069
30,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3827876647366874
21,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3746792892116367
7,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3818822183878895
5,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4021708848569726
3,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3958189129294086
33,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.4075981658460025
43,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.423765169029712
39,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4140355443277565
37,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4037478861443422
25,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4238091214046308
48,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3636623967264156
38,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4008327183384979
13,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4146290448002703
6,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.4181777752298717
0,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4165868285301438
22,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4176865810650745
31,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3674177503019708
27,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3993457092146348
44,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.3657454316772396
23,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4129338627085332
19,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3709263072458304
26,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4162516394574295
35,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.3963447663257239
34,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3764495450682721
47,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.3576513085580142
2,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3869821633915583
14,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3778301965625081
10,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3955401372062559
18,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.381579124938297
12,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3902088618983517
36,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4036164385849543
24,bernoulli,54,none,1.0,0.5,raw,54,10,0.5,0.4467739417775192
20,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3889733108874644
4,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3969959472730449
49,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3923873627675573
8,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3981975318975422
40,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.3748773334464894
45,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4241509328908125
28,bernoulli,54,none,1.0,0.5,raw,54,20,0.5,0.430498277236513
16,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.4127890960966541
32,bernoulli,54,none,1.0,0.5,raw,54,50,0.5,0.37437677252450163
