seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive,knn_selection_version
1,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,0.5,0.4519207671640249,2.0
2,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.439090884638532,2.0
3,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4486019710158179,2.0
4,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4581784416503245,2.0
0,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4572692805511853,2.0
36,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4698657109285388,2.0
16,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4431848896860511,2.0
10,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4477944724905884,2.0
42,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4527525522106406,2.0
31,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4401935528002284,2.0
13,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4608541025266575,2.0
37,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4538360968264103,2.0
30,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4633516036291869,2.0
38,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4399247584437297,2.0
17,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4657848672556807,2.0
21,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4448958505683931,2.0
32,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,0.5,0.4550154319441313,2.0
14,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4440462782203532,2.0
5,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.433716043632744,2.0
24,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4432202259451465,2.0
28,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4571778315045238,2.0
40,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4411445618408086,2.0
44,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4458913220219234,2.0
18,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4483141207684988,2.0
8,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.446185026834978,2.0
23,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4405139411133933,2.0
12,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4378403293605871,2.0
20,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4323944482832472,2.0
48,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4575555842147519,2.0
26,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4528952377792484,2.0
34,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.451873052785432,2.0
46,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4487900222262044,2.0
6,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4519126887188894,2.0
22,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4495646430465253,2.0
29,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4473075847017217,2.0
25,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,0.5,0.4439251688303011,2.0
9,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4453070288874178,2.0
33,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4458528051699426,2.0
49,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4619487080071751,2.0
41,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4519343188435927,2.0
45,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4383538293156276,2.0
35,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.446100307757116,2.0
19,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4402610980557017,2.0
7,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4409924145411643,2.0
15,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4514922618688672,2.0
27,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4653038985083119,2.0
11,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4581451372818387,2.0
43,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4497722367222631,2.0
47,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4367547329186016,2.0
39,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5,0.4383563788173425,2.0
