n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,42,30.0,23406,0.4189710275720851,0.7199865162990116,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2799230813980103, 1.364837646484375, 1.2103936672210693, 1.3023091554641724, 1.266707181930542, 1.2780746221542358, 1.2729893922805786, 1.3477721214294434, 1.2836726903915405, 1.380360722541809, 1.3207018375396729, 1.391440987586975, 1.2624661922454834, 1.2999473810195923, 1.2144577503204346, 1.30595064163208, 1.2408292293548584, 1.2623225450515747, 1.3790831565856934, 1.2744145393371582, 1.2709078788757324, 1.36422860622406, 1.2652220726013184, 1.2872207164764404, 1.2630949020385742, 1.2881256341934204, 1.2856842279434204, 1.2525994777679443, 1.3698824644088745, 1.2940908670425415]",sae,Pre-max
1,beta,16,30.0,23340,0.3960978686477844,0.7646301080281901,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2981131076812744, 1.2967021465301514, 1.2671377658843994, 1.2566200494766235, 1.2662397623062134, 1.3071708679199219, 1.1885207891464233, 1.2969168424606323, 1.2556815147399902, 1.3632737398147583, 1.260355830192566, 1.2144888639450073, 1.3621859550476074, 1.281126856803894, 1.355659008026123, 1.2696006298065186, 1.2337620258331299, 1.304775357246399, 1.2643485069274902, 1.239621877670288, 1.255158543586731, 1.2940115928649902, 1.2877449989318848, 1.2461721897125244, 1.3486641645431519, 1.3415192365646362, 1.237524390220642, 1.2541197538375854, 1.2967520952224731, 1.2949551343917847]",sae,Pre-max
1,beta,0,30.0,23500,0.4104982857302464,0.7613241097925388,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3134045600891113, 1.3142825365066528, 1.2440341711044312, 1.3242050409317017, 1.3801523447036743, 1.3958146572113037, 1.3068554401397705, 1.3981744050979614, 1.279329776763916, 1.3288888931274414, 1.3413827419281006, 1.2736055850982666, 1.2664833068847656, 1.286489725112915, 1.3547309637069702, 1.3303661346435547, 1.3377594947814941, 1.3982768058776855, 1.3838008642196655, 1.2787959575653076, 1.3178541660308838, 1.3251750469207764, 1.3330830335617065, 1.3456676006317139, 1.320247769355774, 1.2817914485931396, 1.3416225910186768, 1.3201481103897095, 1.3342115879058838, 1.377549171447754]",sae,Pre-max
1,beta,36,30.0,23604,0.441177697215058,0.6983526032315979,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.291354775428772, 1.3510520458221436, 1.2246711254119873, 1.2589726448059082, 1.249510407447815, 1.263830542564392, 1.312287449836731, 1.2827054262161255, 1.3018327951431274, 1.3702360391616821, 1.2988824844360352, 1.3777363300323486, 1.2208465337753296, 1.3513879776000977, 1.3324933052062988, 1.295029878616333, 1.250028371810913, 1.216975450515747, 1.25850510597229, 1.2767599821090698, 1.2784055471420288, 1.2811378240585327, 1.3532402515411377, 1.3092834949493408, 1.3328582048416138, 1.3037153482437134, 1.2508845329284668, 1.2231900691986084, 1.376116156578064, 1.3032783269882202]",sae,Pre-max
1,beta,32,30.0,23538,0.4373281004934758,0.6683398410263561,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3443750143051147, 1.3257700204849243, 1.3382573127746582, 1.2301154136657715, 1.3068773746490479, 1.3568724393844604, 1.45376718044281, 1.3238855600357056, 1.3842746019363403, 1.334621787071228, 1.3307644128799438, 1.3006623983383179, 1.4357738494873047, 1.371569275856018, 1.353787899017334, 1.2057194709777832, 1.3189607858657837, 1.2964330911636353, 1.4463262557983398, 1.3917356729507446, 1.4282727241516113, 1.4286398887634277, 1.2538299560546875, 1.4148163795471191, 1.3358030319213867, 1.3346153497695923, 1.2893017530441284, 1.3672642707824707, 1.3673045635223389, 1.3013280630111694]",sae,Pre-max
1,beta,4,30.0,23514,0.4222463986292332,0.7221332174201026,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2894136905670166, 1.2830212116241455, 1.3983887434005737, 1.2837778329849243, 1.3065907955169678, 1.3120232820510864, 1.3816168308258057, 1.2731038331985474, 1.2838314771652222, 1.2791906595230103, 1.4028105735778809, 1.2810226678848267, 1.357878565788269, 1.283663272857666, 1.330120325088501, 1.2576932907104492, 1.3349905014038086, 1.3461244106292725, 1.2604258060455322, 1.2591898441314697, 1.3867124319076538, 1.3404066562652588, 1.3186460733413696, 1.3542311191558838, 1.2471505403518677, 1.3043463230133057, 1.257907748222351, 1.405689001083374, 1.234567403793335, 1.3574215173721313]",sae,Pre-max
1,beta,45,30.0,23194,0.3913639898575987,0.748311375663758,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3496408462524414, 1.3205715417861938, 1.28162682056427, 1.3217041492462158, 1.3297600746154785, 1.2418832778930664, 1.314030408859253, 1.3414597511291504, 1.2748851776123047, 1.3752281665802002, 1.4081854820251465, 1.3574388027191162, 1.3143633604049683, 1.3197976350784302, 1.3106480836868286, 1.4123045206069946, 1.3761509656906128, 1.2816228866577148, 1.332959532737732, 1.3503919839859009, 1.405328631401062, 1.2961798906326294, 1.3271446228027344, 1.2463542222976685, 1.3206353187561035, 1.3983373641967773, 1.3221641778945923, 1.2851979732513428, 1.3191239833831787, 1.3286330699920654]",sae,Pre-max
1,beta,24,30.0,23420,0.4170863918410792,0.6719716704656464,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.415392279624939, 1.2478736639022827, 1.3363447189331055, 1.4006434679031372, 1.3909727334976196, 1.381826400756836, 1.3507230281829834, 1.297124981880188, 1.3457939624786377, 1.356031060218811, 1.3362263441085815, 1.377747654914856, 1.3051351308822632, 1.3488249778747559, 1.3300868272781372, 1.3132960796356201, 1.3187158107757568, 1.3767898082733154, 1.33957839012146, 1.3047915697097778, 1.4476057291030884, 1.2253895998001099, 1.3318408727645874, 1.3832472562789917, 1.3061351776123047, 1.3514881134033203, 1.351835012435913, 1.3061026334762573, 1.3258246183395386, 1.3966143131256104]",sae,Pre-max
1,beta,20,30.0,23476,0.3969973923599929,0.7127412043460878,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3787795305252075, 1.3584840297698975, 1.4315977096557617, 1.3188070058822632, 1.3597240447998047, 1.3114311695098877, 1.3272844552993774, 1.3318434953689575, 1.3457847833633423, 1.3639508485794067, 1.3046085834503174, 1.4474753141403198, 1.4107811450958252, 1.2363191843032837, 1.2609649896621704, 1.3875681161880493, 1.425485610961914, 1.3216512203216553, 1.2756259441375732, 1.347020149230957, 1.3868476152420044, 1.3620131015777588, 1.3008546829223633, 1.24425208568573, 1.3039401769638062, 1.340340495109558, 1.3668698072433472, 1.451664686203003, 1.3252615928649902, 1.325778603553772]",sae,Pre-max
1,beta,8,30.0,23284,0.4018560805843326,0.7419940943165969,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3172036409378052, 1.3064541816711426, 1.3030729293823242, 1.2509723901748657, 1.3560901880264282, 1.3170547485351562, 1.3111927509307861, 1.2272698879241943, 1.362720012664795, 1.2113169431686401, 1.3540905714035034, 1.377806544303894, 1.3252880573272705, 1.3300364017486572, 1.2843222618103027, 1.249621868133545, 1.2680712938308716, 1.241732120513916, 1.251189947128296, 1.2697054147720337, 1.3146871328353882, 1.2163227796554565, 1.3125516176223755, 1.3118606805801392, 1.374558925628662, 1.3419358730316162, 1.1893712282180786, 1.2233784198760986, 1.3652187585830688, 1.1760878562927246]",sae,Pre-max
