n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,0,0.002,external_raw_frozen_v1,external_frozen,0,none,,29.0,10986,0.3136232692356025,0.6648426201270738,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9218743443489075, 0.9002474546432495, 0.9053717851638794, 0.9069086909294128, 0.9051162600517273, 1.0184394121170044, 0.9018331170082092, 0.9768357872962952, 0.9195923805236816, 0.9349473118782043, 0.8869143724441528, 0.9169257283210754, 0.9251869916915894, 0.901894211769104, 0.9045816659927368, 0.8861936330795288, 0.9195712804794312, 1.000536322593689, 0.9450557231903076, 0.9742878079414368, 0.8979747891426086, 0.9961738586425781, 0.9101845622062683, 0.9360373616218567, 0.9678178429603577, 0.9190164804458618, 0.9707697033882141, 0.8963186144828796, 0.9836049675941467, 0.903872549533844]",raw,32
54,beta,14,0.002,external_raw_frozen_v1,external_frozen,0,none,,29.0,10827,0.2877640040707684,0.6523528772482747,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9019699692726135, 0.8197953104972839, 0.8034127950668335, 0.9138656258583069, 0.8523672223091125, 0.8193913698196411, 0.8565969467163086, 0.817807137966156, 0.8342958092689514, 0.8102779388427734, 0.9186580777168274, 0.7961492538452148, 0.8671888113021851, 0.9144858121871948, 0.9460684061050415, 0.8369482159614563, 0.8249434232711792, 0.9084445238113403, 0.826262891292572, 0.8361212611198425, 0.8058419227600098, 0.8354783654212952, 0.8361749649047852, 0.8852784633636475, 0.8430015444755554, 0.8248496055603027, 0.7953131794929504, 0.8042855858802795, 0.8114350438117981, 0.8838291168212891]",raw,32
54,beta,28,0.002,external_raw_frozen_v1,external_frozen,0,none,,29.0,10062,0.316882587319453,0.6653170544190399,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.922095775604248, 0.8433827757835388, 0.8914775252342224, 0.8315175771713257, 0.8714876174926758, 0.8281410336494446, 0.8507468700408936, 0.8942020535469055, 0.8314071297645569, 0.865790843963623, 0.9044362902641296, 0.8608097434043884, 0.8356965184211731, 0.8829935789108276, 0.831572413444519, 0.9069714546203613, 0.8424181342124939, 0.852186918258667, 0.8733944892883301, 0.9480354189872742, 0.9764641523361206, 0.8456366658210754, 0.8566783666610718, 0.8451918959617615, 0.8583875894546509, 0.8396983742713928, 0.8258156776428223, 0.9446221590042114, 0.9997999668121338, 0.8488951325416565]",raw,32
54,beta,42,0.002,external_raw_frozen_v1,external_frozen,0,none,,29.0,10870,0.2874642080335304,0.6725640649691282,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8268022537231445, 0.9489467144012451, 0.8377898335456848, 0.8461650013923645, 0.8527480363845825, 0.8368152976036072, 0.9698479175567627, 0.9552387595176697, 0.8238478302955627, 0.9670063257217407, 0.9392023086547852, 0.819773256778717, 0.8649308085441589, 0.8254700899124146, 0.8874695897102356, 0.8386014699935913, 0.8377991318702698, 0.8599424362182617, 0.8208246827125549, 0.8476830124855042, 0.8725765347480774, 0.9645871520042419, 0.9134060740470886, 0.8636396527290344, 0.9044261574745178, 0.8293147683143616, 0.8595756888389587, 0.8404405117034912, 0.9090350866317749, 0.9039313197135925]",raw,32
54,beta,6,0.004,external_raw_frozen_v1,external_frozen,0,none,,29.0,9983,0.3014330675130242,0.6672091549175132,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8558297157287598, 0.8180882930755615, 0.8025617599487305, 0.9674369096755981, 0.844750165939331, 0.8285297155380249, 0.8335226774215698, 0.893459677696228, 0.8959861993789673, 0.8077409863471985, 0.8340896964073181, 0.8159617185592651, 0.860002338886261, 0.8116174936294556, 0.9267422556877136, 0.8021097183227539, 0.9032411575317383, 0.8091256618499756, 0.8340993523597717, 0.9509801864624023, 0.813921332359314, 0.9143117070198059, 0.8776821494102478, 0.8127021193504333, 0.8130345940589905, 0.9345287680625916, 0.7908638715744019, 0.8153626918792725, 0.8058640360832214, 0.8018528819084167]",raw,32
54,beta,34,0.004,external_raw_frozen_v1,external_frozen,0,none,,30.0,9142,0.310369440887757,0.6548892795603782,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8997076749801636, 0.8853143453598022, 0.8858007788658142, 0.911509096622467, 0.9735619425773621, 0.8785908222198486, 0.9533013701438904, 0.8740297555923462, 1.0094412565231323, 1.0033831596374512, 0.8353240489959717, 0.9244142174720764, 0.8940820693969727, 0.8551331758499146, 0.844902515411377, 0.8781510591506958, 0.9183099269866943, 0.8919087648391724, 0.8503069281578064, 0.9674307107925415, 0.8784860968589783, 1.0450376272201538, 0.8902892470359802, 0.9090686440467834, 0.8933135271072388, 0.9129349589347839, 0.9352163672447205, 0.9265156388282776, 0.8948948979377747, 0.9590935707092285]",raw,32
54,beta,12,0.005,external_raw_frozen_v1,external_frozen,0,none,,29.0,9145,0.3267989612123352,0.60363181318868,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8771296143531799, 0.8448057770729065, 1.0355788469314575, 0.8445782661437988, 0.8717926740646362, 0.8653337359428406, 0.8515745997428894, 0.8967248797416687, 0.9032163023948669, 0.9286035895347595, 0.9253484606742859, 0.926472544670105, 0.8253428936004639, 0.9428550004959106, 0.8623380661010742, 0.882622241973877, 0.8655588030815125, 0.864431619644165, 0.8539685606956482, 0.9901375770568848, 0.9884060621261597, 0.8174342513084412, 0.8116663098335266, 0.881631076335907, 0.916942834854126, 0.8824562430381775, 0.9256306886672974, 0.8847647905349731, 0.8767428994178772, 0.9306319952011108]",raw,32
54,beta,20,0.004,external_raw_frozen_v1,external_frozen,0,none,,30.0,9990,0.2499433170074759,0.7185869605355476,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9661962389945984, 0.9198865294456482, 0.8732838034629822, 0.8719223141670227, 0.7988759279251099, 0.949134886264801, 0.8368103504180908, 0.8396691083908081, 0.813424289226532, 0.7906163930892944, 0.8196759819984436, 0.8966324925422668, 0.8265840411186218, 0.810579776763916, 0.8295996785163879, 0.8917694091796875, 0.8190358281135559, 0.8252195119857788, 0.8298819661140442, 0.8773646950721741, 0.8379130959510803, 0.8185643553733826, 0.9072344303131104, 0.7914190888404846, 0.8660364151000977, 0.8267002701759338, 0.83796626329422, 0.8497422933578491, 0.8427907824516296, 0.8410655856132507]",raw,32
54,beta,48,0.004,external_raw_frozen_v1,external_frozen,0,none,,29.0,9135,0.3069853454712747,0.6210647039548307,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.0153411626815796, 0.9299922585487366, 0.878566563129425, 0.958153486251831, 0.9146866798400879, 0.917903482913971, 0.9277847409248352, 0.9324876666069031, 0.9077741503715515, 0.9397458434104919, 0.9201266765594482, 0.88985276222229, 0.8696078658103943, 0.9410379528999329, 0.86785489320755, 1.018175721168518, 0.8786147832870483, 0.977491021156311, 0.897459864616394, 0.8582696914672852, 0.9088406562805176, 0.9879451394081116, 0.9870092868804932, 0.9847750067710876, 0.9305563569068909, 0.9204074144363403, 0.8603003025054932, 0.9578878283500671, 0.9011244773864746, 0.9119423627853394]",raw,32
54,beta,18,0.006,external_raw_frozen_v1,external_frozen,0,none,,29.0,9969,0.2951614467876211,0.6471351987381384,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7891618013381958, 0.7175933122634888, 0.7792160511016846, 0.7444976568222046, 0.7981541752815247, 0.7869528532028198, 0.7720969319343567, 0.7694132924079895, 0.7845325469970703, 0.813976526260376, 0.7730967998504639, 0.8766533732414246, 0.7110838890075684, 0.7688890695571899, 0.8326638340950012, 0.7386623024940491, 0.748051643371582, 0.9086931347846985, 0.8014761209487915, 0.7219204902648926, 0.7560643553733826, 0.81706702709198, 0.7655178308486938, 0.7596086263656616, 0.750673234462738, 0.9093291163444519, 0.784726619720459, 0.805095911026001, 0.7949068546295166, 0.7427535653114319]",raw,32
